County,Dem_Active,Rep_Active,NoParty_Active,Other_Active,Total_Active,Dem_Inactive,Rep_Inactive,NoParty_Inactive,Other_Inactive,Total_Inactive,GrandTotal_All
Adair,"1,071","1,901","2,012",4,"4,988",119,123,293,1,536,"5,524"
Adams,655,921,"1,178",3,"2,757",47,51,187,0,285,"3,042"
Allamakee,"2,174","4,239","3,149",5,"9,567",144,156,322,0,622,"10,189"
Appanoose,"2,494","2,736","3,035",4,"8,269",269,239,463,0,971,"9,240"
Audubon,"1,256","1,540","1,408",3,"4,207",80,87,183,0,350,"4,557"
Benton,"4,407","4,866","7,479",23,"16,775",322,240,640,2,"1,204","17,979"
Black Hawk,"28,253","19,927","31,529",223,"79,932","2,958","1,652","3,891",24,"8,525","88,457"
Boone,"5,162","5,388","6,848",30,"17,428",301,340,706,1,"1,348","18,776"
Bremer,"3,644","4,870","7,449",22,"15,985",408,321,825,3,"1,557","17,542"
Buchanan,"3,690","3,001","6,527",12,"13,230",201,147,534,0,882,"14,112"
Buena Vista,"2,925","3,850","4,718",9,"11,502",236,181,361,2,780,"12,282"
Butler,"1,715","4,426","3,527",11,"9,679",133,155,279,0,567,"10,246"
Calhoun,"1,403","2,326","2,757",11,"6,497",115,122,331,1,569,"7,066"
Carroll,"3,889","3,829","6,098",33,"13,849",261,236,642,1,"1,140","14,989"
Cass,"1,580","4,601","3,085",9,"9,275",169,333,525,1,"1,028","10,303"
Cedar,"3,079","3,576","4,666",17,"11,338",246,160,469,0,875,"12,213"
Cerro Gordo,"9,202","7,700","12,597",27,"29,526",718,527,"1,359",1,"2,605","32,131"
Cherokee,"1,904","3,034","3,108",12,"8,058",126,164,377,2,669,"8,727"
Chickasaw,"2,759","2,071","3,553",6,"8,389",148,127,355,1,631,"9,020"
Clarke,"1,578","1,698","2,181",8,"5,465",149,150,362,1,662,"6,127"
Clay,"2,411","4,339","4,270",12,"11,032",286,313,544,0,"1,143","12,175"
Clayton,"3,307","3,220","4,789",7,"11,323",243,205,516,2,966,"12,289"
Clinton,"10,262","6,947","12,929",32,"30,170","1,362",577,"1,835",5,"3,779","33,949"
Crawford,"2,680","3,019","3,461",9,"9,169",229,166,422,1,818,"9,987"
Dallas,"10,157","16,032","18,364",81,"44,634","1,435","1,910","3,432",8,"6,785","51,419"
Davis,"1,809","1,496","1,460",3,"4,768",149,90,229,0,468,"5,236"
Decatur,"1,505","1,596","1,540",9,"4,650",329,244,566,4,"1,143","5,793"
Delaware,"2,513","3,789","4,937",3,"11,242",154,157,411,0,722,"11,964"
Des Moines,"11,085","5,902","8,528",38,"25,553","1,002",465,"1,142",3,"2,612","28,165"
Dickinson,"2,431","4,978","4,444",16,"11,869",149,214,316,2,681,"12,550"
Dubuque,"24,417","14,640","22,851",129,"62,037","1,898","1,087","2,329",20,"5,334","67,371"
Emmet,"1,956","1,599","2,833",6,"6,394",231,162,554,1,948,"7,342"
Fayette,"3,588","3,914","4,162",27,"11,691",227,137,314,1,679,"12,370"
Floyd,"3,067","2,606","4,755",11,"10,439",174,131,324,4,633,"11,072"
Franklin,"1,269","3,009","2,354",7,"6,639",100,109,274,1,484,"7,123"
Fremont,"1,193","1,958","1,669",6,"4,826",179,302,403,0,884,"5,710"
Greene,"1,876","2,030","2,278",8,"6,192",132,141,293,2,568,"6,760"
Grundy,"1,414","4,000","3,007",11,"8,432",79,160,262,4,505,"8,937"
Guthrie,"1,834","2,585","2,835",15,"7,269",142,161,335,1,639,"7,908"
Hamilton,"2,624","3,416","3,795",12,"9,847",217,244,515,1,977,"10,824"
Hancock,"1,504","3,150","2,826",2,"7,482",127,145,266,1,539,"8,021"
Hardin,"2,551","4,381","3,972",15,"10,919",324,287,597,1,"1,209","12,128"
Harrison,"2,211","3,333","2,265",20,"7,829",35,34,39,0,108,"7,937"
Henry,"2,805","5,110","4,853",13,"12,781",342,300,618,1,"1,261","14,042"
Howard,"1,805","1,409","2,518",3,"5,735",118,73,270,0,461,"6,196"
Humboldt,"1,326","2,422","2,535",2,"6,285",125,142,344,1,612,"6,897"
Ida,886,"2,035","1,872",7,"4,800",61,127,210,0,398,"5,198"
Iowa,"2,676","3,643","4,843",7,"11,169",190,213,441,1,845,"12,014"
Jackson,"5,478","2,584","5,560",15,"13,637",398,185,679,2,"1,264","14,901"
Jasper,"8,523","7,010","8,239",30,"23,802",812,622,"1,270",4,"2,708","26,510"
Jefferson,"3,330","3,386","3,380",56,"10,152",432,310,769,9,"1,520","11,672"
Johnson,"37,821","18,029","31,348",451,"87,649","7,938","3,637","8,681",106,"20,362","108,011"
Jones,"3,359","3,523","5,931",12,"12,825",203,168,497,0,868,"13,693"
Keokuk,"2,161","2,237","2,322",3,"6,723",141,96,272,1,510,"7,233"
Kossuth,"3,346","3,317","4,227",8,"10,898",178,153,480,1,812,"11,710"
Lee,"9,458","4,010","8,175",37,"21,680",761,353,"1,076",1,"2,191","23,871"
Linn,"48,634","37,036","52,537",423,"138,630","5,113","3,065","5,947",38,"14,163","152,793"
Louisa,"1,731","2,346","2,476",6,"6,559",245,149,454,0,848,"7,407"
Lucas,"1,382","2,009","2,024",3,"5,418",130,142,310,0,582,"6,000"
Lyon,864,"5,275","1,715",3,"7,857",112,233,272,0,617,"8,474"
Madison,"2,791","3,766","3,750",15,"10,322",225,279,473,0,977,"11,299"
