County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,021","1,892","2,014",9,"4,936",69,69,171,0,309,"5,245"
Adams,598,954,"1,171",3,"2,726",30,32,108,0,170,"2,896"
Allamakee,"2,089","4,137","3,133",11,"9,370",130,135,254,0,519,"9,889"
Appanoose,"2,387","2,769","2,988",10,"8,154",222,189,400,0,811,"8,965"
Audubon,"1,211","1,524","1,410",10,"4,155",46,53,107,0,206,"4,361"
Benton,"4,232","4,959","7,486",37,"16,714",283,196,612,3,"1,094","17,808"
Black Hawk,"28,066","20,115","31,130",377,"79,688","2,012","1,029","2,511",38,"5,590","85,278"
Boone,"5,034","5,378","7,017",57,"17,486",266,286,619,3,"1,174","18,660"
Bremer,"3,560","4,900","7,511",42,"16,013",208,190,492,4,894,"16,907"
Buchanan,"3,608","3,055","6,427",17,"13,107",185,132,457,1,775,"13,882"
Buena Vista,"2,839","3,925","4,652",20,"11,436",172,181,256,2,611,"12,047"
Butler,"1,650","4,423","3,493",12,"9,578",89,105,199,0,393,"9,971"
Calhoun,"1,316","2,342","2,653",14,"6,325",89,91,214,3,397,"6,722"
Carroll,"3,831","3,834","6,171",47,"13,883",212,203,554,4,973,"14,856"
Cass,"1,490","4,641","3,004",13,"9,148",113,242,337,0,692,"9,840"
Cedar,"3,012","3,637","4,635",30,"11,314",178,136,299,2,615,"11,929"
Cerro Gordo,"8,844","7,777","12,399",52,"29,072",610,411,"1,173",3,"2,197","31,269"
Cherokee,"1,790","3,132","2,995",19,"7,936",138,171,379,2,690,"8,626"
Chickasaw,"2,638","2,174","3,581",13,"8,406",132,110,296,1,539,"8,945"
Clarke,"1,496","1,754","2,198",10,"5,458",105,119,280,1,505,"5,963"
Clay,"2,303","4,413","4,175",14,"10,905",243,268,493,0,"1,004","11,909"
Clayton,"3,266","3,271","4,801",26,"11,364",140,117,272,2,531,"11,895"
Clinton,"9,877","7,149","13,189",52,"30,267","1,221",501,"1,707",6,"3,435","33,702"
Crawford,"2,545","3,092","3,448",7,"9,092",147,106,264,0,517,"9,609"
Dallas,"10,195","16,991","19,792",159,"47,137",931,"1,406","2,246",10,"4,593","51,730"
Davis,"1,787","1,495","1,432",3,"4,717",116,75,181,1,373,"5,090"
Decatur,"1,359","1,533","1,474",10,"4,376",66,48,81,0,195,"4,571"
Delaware,"2,469","3,760","4,964",7,"11,200",84,107,206,0,397,"11,597"
Des Moines,"10,730","5,953","8,701",58,"25,442",800,411,962,6,"2,179","27,621"
Dickinson,"2,341","5,067","4,534",28,"11,970",139,218,305,3,665,"12,635"
Dubuque,"24,315","14,877","22,325",208,"61,725","1,640",905,"2,035",20,"4,600","66,325"
Emmet,"1,852","1,599","2,750",8,"6,209",243,167,543,0,953,"7,162"
Fayette,"3,464","3,874","4,172",34,"11,544",203,127,309,5,644,"12,188"
Floyd,"3,026","2,572","4,726",14,"10,338",172,109,323,3,607,"10,945"
Franklin,"1,221","3,016","2,291",6,"6,534",61,68,173,2,304,"6,838"
Fremont,"1,093","1,953","1,609",6,"4,661",156,217,323,1,697,"5,358"
Greene,"1,770","2,066","2,271",11,"6,118",107,126,253,1,487,"6,605"
Grundy,"1,381","3,951","3,041",17,"8,390",70,125,237,3,435,"8,825"
Guthrie,"1,717","2,630","2,901",26,"7,274",110,142,295,0,547,"7,821"
Hamilton,"2,467","3,421","3,796",24,"9,708",141,170,294,1,606,"10,314"
Hancock,"1,447","3,194","2,786",7,"7,434",120,121,296,1,538,"7,972"
Hardin,"2,475","4,544","3,936",17,"10,972",235,207,400,2,844,"11,816"
Harrison,"2,060","3,529","2,323",31,"7,943",37,48,63,2,150,"8,093"
Henry,"2,651","5,009","4,805",25,"12,490",387,324,717,2,"1,430","13,920"
Howard,"1,719","1,377","2,624",4,"5,724",113,80,277,0,470,"6,194"
Humboldt,"1,230","2,573","2,374",5,"6,182",89,92,198,0,379,"6,561"
Ida,827,"2,157","1,766",12,"4,762",54,106,207,0,367,"5,129"
Iowa,"2,587","3,796","4,923",23,"11,329",158,200,377,2,737,"12,066"
Jackson,"5,193","2,770","5,645",19,"13,627",291,159,541,3,994,"14,621"
Jasper,"8,006","7,072","8,567",41,"23,686",497,382,875,3,"1,757","25,443"
Jefferson,"3,314","3,318","3,307",70,"10,009",273,178,433,12,896,"10,905"
Johnson,"37,384","17,626","31,246",599,"86,855","5,443","2,545","6,119",100,"14,207","101,062"
Jones,"3,193","3,625","5,905",18,"12,741",137,118,366,1,622,"13,363"
Keokuk,"1,990","2,228","2,308",7,"6,533",143,93,267,2,505,"7,038"
Kossuth,"3,198","3,321","4,311",11,"10,841",108,110,288,1,507,"11,348"
Lee,"9,234","3,969","8,078",47,"21,328",760,336,"1,106",5,"2,207","23,535"
Linn,"46,095","36,511","50,382",692,"133,680","5,102","2,749","6,181",78,"14,110","147,790"
Louisa,"1,627","2,317","2,502",12,"6,458",204,143,392,1,740,"7,198"
Lucas,"1,305","2,155","1,971",8,"5,439",80,104,214,1,399,"5,838"
Lyon,830,"5,331","1,687",5,"7,853",93,193,168,0,454,"8,307"
Madison,"2,670","3,881","3,812",21,"10,384",160,225,347,0,732,"11,116"
Mahaska,"2,806","5,815","4,825",51,"13,497",292,275,495,3,"1,065","14,562"
Marion,"5,053","8,974","7,604",47,"21,678",409,567,744,5,"1,725","23,403"
Marshall,"6,824","7,266","9,045",33,"23,168",657,516,"1,086",2,"2,261","25,429"
Mills,"1,892","4,787","3,041",25,"9,745",184,286,401,3,874,"10,619"
Mitchell,"1,693","2,396","2,721",10,"6,820",107,109,182,1,399,"7,219"
Monona,"1,881","1,839","2,342",9,"6,071",127,127,226,0,480,"6,551"
Monroe,"1,595","1,482","1,524",6,"4,607",101,76,140,3,320,"4,927"
Montgomery,967,"3,621","2,078",5,"6,671",95,202,262,1,560,"7,231"
Muscatine,"7,466","7,856","10,411",53,"25,786",620,587,"1,157",1,"2,365","28,151"
O'Brien,"1,262","5,238","2,621",15,"9,136",97,229,305,2,633,"9,769"
Osceola,488,"2,479","1,085",4,"4,056",32,101,128,0,261,"4,317"
Page,"1,504","4,197","3,365",14,"9,080",172,250,540,5,967,"10,047"
Palo Alto,"2,185","1,582","2,165",12,"5,944",128,88,226,0,442,"6,386"
Plymouth,"3,051","7,655","5,426",34,"16,166",297,443,620,3,"1,363","17,529"
Pocahontas,"1,032","1,642","2,190",14,"4,878",55,75,181,1,312,"5,190"
Polk,"100,681","80,949","84,752","1,467","267,849","5,833","3,961","6,359",84,"16,237","284,086"
Pottawattamie,"14,730","19,877","18,493",214,"53,314","1,966","1,630","2,935",31,"6,562","59,876"
Poweshiek,"3,521","3,628","5,205",47,"12,401",546,124,490,2,"1,162","13,563"
Ringgold,825,"1,428",740,2,"2,995",48,50,71,0,169,"3,164"
Sac,"1,279","3,051","2,525",6,"6,861",80,121,216,0,417,"7,278"
Scott,"34,179","30,209","45,393",525,"110,306","3,462","2,306","5,221",37,"11,026","121,332"
Shelby,"1,719","3,484","2,517",9,"7,729",62,60,124,1,247,"7,976"
Sioux,"1,596","14,278","3,860",27,"19,761",115,496,415,3,"1,029","20,790"
Story,"15,388","15,768","21,675",394,"53,225","2,284","1,572","3,477",64,"7,397","60,622"
Tama,"3,091","3,228","4,595",16,"10,930",163,130,391,0,684,"11,614"
Taylor,696,"1,790","1,214",7,"3,707",80,110,241,0,431,"4,138"
Union,"1,624","2,677","3,144",13,"7,458",84,100,242,0,426,"7,884"
Van Buren,970,"2,080","1,544",20,"4,614",71,110,194,0,375,"4,989"
Wapello,"8,541","4,953","6,966",41,"20,501",727,354,876,3,"1,960","22,461"
Warren,"9,222","10,653","11,031",81,"30,987",618,605,"1,079",7,"2,309","33,296"
Washington,"2,858","5,539","5,233",50,"13,680",166,210,428,2,806,"14,486"
Wayne,935,"1,323","1,146",3,"3,407",57,81,90,0,228,"3,635"
Webster,"8,148","6,358","8,407",56,"22,969",683,453,"1,078",6,"2,220","25,189"
Winnebago,"1,483","2,830","2,817",8,"7,138",130,120,252,0,502,"7,640"
Winneshiek,"3,457","4,252","5,287",24,"13,020",208,117,300,0,625,"13,645"
Woodbury,"17,659","18,538","18,918",164,"55,279","1,646","1,198","2,142",19,"5,005","60,284"
Worth,"1,429","1,689","2,040",4,"5,162",123,78,265,2,468,"5,630"
Wright,"1,848","3,412","2,614",13,"7,887",152,225,305,1,683,"8,570"
Totals,"584,503","609,131","708,277","6,718","1,908,629","49,240","36,148","74,936",639,"160,963","2,069,592"
