County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,021","1,886","2,072",9,"4,988",67,67,159,0,293,"5,281"
Adams,600,947,"1,192",4,"2,743",28,31,103,0,162,"2,905"
Allamakee,"2,070","4,105","3,224",13,"9,412",122,126,252,0,500,"9,912"
Appanoose,"2,384","2,776","3,037",11,"8,208",212,181,392,0,785,"8,993"
Audubon,"1,193","1,526","1,453",11,"4,183",44,51,103,0,198,"4,381"
Benton,"4,200","4,965","7,621",45,"16,831",267,179,591,3,"1,040","17,871"
Black Hawk,"28,169","20,214","31,678",427,"80,488","1,940",995,"2,447",34,"5,416","85,904"
Boone,"4,982","5,433","7,194",62,"17,671",258,283,608,3,"1,152","18,823"
Bremer,"3,543","4,929","7,697",43,"16,212",197,180,460,4,841,"17,053"
Buchanan,"3,567","3,062","6,576",17,"13,222",174,127,440,1,742,"13,964"
Buena Vista,"2,864","3,942","4,720",23,"11,549",169,179,251,2,601,"12,150"
Butler,"1,640","4,404","3,608",13,"9,665",85,102,192,0,379,"10,044"
Calhoun,"1,285","2,332","2,665",11,"6,293",95,100,233,4,432,"6,725"
Carroll,"3,793","3,882","6,277",47,"13,999",202,199,529,4,934,"14,933"
Cass,"1,494","4,632","3,087",13,"9,226",108,230,329,0,667,"9,893"
Cedar,"3,019","3,668","4,732",31,"11,450",170,130,295,2,597,"12,047"
Cerro Gordo,"8,807","7,821","12,740",52,"29,420",583,395,"1,119",3,"2,100","31,520"
Cherokee,"1,753","3,116","3,049",18,"7,936",141,173,382,2,698,"8,634"
Chickasaw,"2,615","2,186","3,655",17,"8,473",133,106,290,1,530,"9,003"
Clarke,"1,494","1,754","2,260",11,"5,519",103,116,268,1,488,"6,007"
Clay,"2,297","4,419","4,283",20,"11,019",241,260,479,0,980,"11,999"
Clayton,"3,263","3,292","4,885",28,"11,468",137,114,264,2,517,"11,985"
Clinton,"9,812","7,170","13,509",64,"30,555","1,032",388,"1,416",6,"2,842","33,397"
Crawford,"2,524","3,112","3,577",7,"9,220",140,103,252,0,495,"9,715"
Dallas,"10,427","17,405","20,803",188,"48,823",893,"1,333","2,139",11,"4,376","53,199"
Davis,"1,760","1,505","1,487",5,"4,757",110,70,173,1,354,"5,111"
Decatur,"1,362","1,530","1,485",11,"4,388",64,46,78,0,188,"4,576"
Delaware,"2,460","3,749","5,033",8,"11,250",79,105,198,0,382,"11,632"
Des Moines,"10,687","6,006","8,964",71,"25,728",782,399,937,6,"2,124","27,852"
Dickinson,"2,348","5,118","4,718",31,"12,215",137,206,289,3,635,"12,850"
Dubuque,"24,204","14,966","22,861",227,"62,258","1,664",907,"2,049",23,"4,643","66,901"
Emmet,"1,823","1,620","2,815",8,"6,266",238,168,528,0,934,"7,200"
Fayette,"3,423","3,867","4,226",38,"11,554",190,118,296,5,609,"12,163"
Floyd,"3,036","2,563","4,837",14,"10,450",163,102,320,3,588,"11,038"
Franklin,"1,214","3,001","2,330",7,"6,552",58,65,166,2,291,"6,843"
Fremont,"1,092","1,960","1,641",7,"4,700",153,211,316,1,681,"5,381"
Greene,"1,778","2,065","2,334",13,"6,190",102,122,244,1,469,"6,659"
Grundy,"1,363","3,963","3,142",19,"8,487",67,120,228,3,418,"8,905"
Guthrie,"1,700","2,625","3,034",26,"7,385",103,135,289,0,527,"7,912"
Hamilton,"2,443","3,427","3,868",31,"9,769",137,164,285,1,587,"10,356"
Hancock,"1,455","3,193","2,878",9,"7,535",114,114,286,1,515,"8,050"
Hardin,"2,478","4,555","3,973",20,"11,026",232,215,409,3,859,"11,885"
Harrison,"2,053","3,538","2,408",31,"8,030",35,46,57,1,139,"8,169"
Henry,"2,653","4,997","4,956",25,"12,631",381,318,697,2,"1,398","14,029"
Howard,"1,709","1,368","2,708",4,"5,789",106,80,276,0,462,"6,251"
Humboldt,"1,208","2,571","2,423",4,"6,206",83,87,193,0,363,"6,569"
