County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,"1,002","1,956",13,"2,059",3,"5,033",38,27,0,81,0,146,"5,179"
Adams,584,989,5,"1,166",2,"2,746",34,34,0,114,0,182,"2,928"
Allamakee,"2,146","4,268",22,"3,163",5,"9,604",72,88,1,159,0,320,"9,924"
Appanoose,"2,363","2,975",14,"3,055",10,"8,417",75,94,1,173,0,343,"8,760"
Audubon,953,"2,036",10,"1,254",5,"4,258",28,43,0,52,0,123,"4,381"
Benton,"4,047","5,973",57,"7,281",18,"17,376",120,123,2,305,0,550,"17,926"
Black Hawk,"30,517","22,022",428,"30,946",173,"84,086","1,400",904,34,"1,697",13,"4,048","88,134"
Boone,"5,304","5,870",74,"7,013",23,"18,284",189,246,4,435,0,874,"19,158"
Bremer,"3,960","5,346",59,"7,427",13,"16,805",119,125,4,290,0,538,"17,343"
Buchanan,"3,588","3,323",32,"6,452",5,"13,400",93,67,0,288,1,449,"13,849"
Buena Vista,"3,023","4,175",34,"4,608",17,"11,857",140,134,1,221,0,496,"12,353"
Butler,"1,715","4,587",23,"3,516",7,"9,848",64,94,1,155,0,314,"10,162"
Calhoun,"1,302","2,581",14,"2,638",5,"6,540",66,58,2,126,2,254,"6,794"
Carroll,"3,719","4,249",48,"6,117",16,"14,149",97,90,5,182,0,374,"14,523"
Cass,"1,501","4,806",21,"2,955",9,"9,292",65,140,2,208,0,415,"9,707"
Cedar,"3,126","3,943",47,"4,840",15,"11,971",78,81,5,148,1,313,"12,284"
Cerro Gordo,"8,959","8,424",62,"12,688",21,"30,154",303,241,0,580,2,"1,126","31,280"
Cherokee,"1,574","3,732",19,"2,751",6,"8,082",46,69,0,128,0,243,"8,325"
Chickasaw,"2,524","2,480",19,"3,438",9,"8,470",55,59,1,138,0,253,"8,723"
Clarke,"1,549","1,873",19,"2,266",5,"5,712",77,78,0,175,0,330,"6,042"
Clay,"1,945","5,773",34,"3,521",5,"11,278",95,159,0,236,1,491,"11,769"
Clayton,"3,439","3,577",35,"4,654",6,"11,711",98,84,0,172,2,356,"12,067"
Clinton,"10,025","7,765",75,"13,587",48,"31,500",413,212,3,625,1,"1,254","32,754"
Crawford,"2,515","3,339",19,"3,675",6,"9,554",122,120,2,206,0,450,"10,004"
Dallas,"12,773","19,847",266,"20,591",47,"53,524",617,961,8,"1,407",3,"2,996","56,520"
Davis,"1,698","1,759",7,"1,470",4,"4,938",86,73,1,120,1,281,"5,219"
Decatur,"1,456","1,830",21,"1,495",5,"4,807",51,52,2,65,0,170,"4,977"
Delaware,"2,344","4,457",23,"4,701",8,"11,533",62,74,2,151,0,289,"11,822"
Des Moines,"10,595","6,644",98,"8,929",41,"26,307",518,306,5,653,2,"1,484","27,791"
Dickinson,"2,432","5,536",40,"4,732",10,"12,750",104,182,1,235,2,524,"13,274"
Dubuque,"26,022","16,524",264,"22,039",90,"64,939","1,050",616,13,"1,221",10,"2,910","67,849"
Emmet,"1,797","1,847",16,"2,834",3,"6,497",77,76,0,202,0,355,"6,852"
Fayette,"3,506","4,200",39,"4,393",14,"12,152",78,60,1,137,2,278,"12,430"
Floyd,"2,992","2,752",24,"4,769",9,"10,546",149,95,4,243,1,492,"11,038"
Franklin,"1,194","3,178",14,"2,145",2,"6,533",44,64,0,110,1,219,"6,752"
Fremont,"1,029","2,285",12,"1,556",7,"4,889",48,51,0,82,0,181,"5,070"
Greene,"1,604","2,423",24,"2,249",4,"6,304",43,61,3,109,0,216,"6,520"
Grundy,"1,399","4,101",21,"3,095",7,"8,623",45,92,2,134,0,273,"8,896"
Guthrie,"1,670","2,826",32,"2,988",2,"7,518",123,173,2,317,0,615,"8,133"
Hamilton,"2,378","4,038",30,"3,483",9,"9,938",68,92,1,172,0,333,"10,271"
Hancock,"1,466","3,317",13,"2,812",7,"7,615",40,61,1,146,0,248,"7,863"
Hardin,"2,536","4,701",39,"3,936",10,"11,222",83,127,4,185,1,400,"11,622"
Harrison,"2,112","3,845",36,"2,698",14,"8,705",26,59,1,64,1,151,"8,856"
Henry,"2,755","5,147",42,"5,034",10,"12,988",179,182,1,368,1,731,"13,719"
Howard,"1,744","1,484",14,"2,728",1,"5,971",38,34,0,117,0,189,"6,160"
Humboldt,"1,196","2,686",14,"2,444",1,"6,341",50,64,1,112,0,227,"6,568"
Ida,804,"2,270",14,"1,705",3,"4,796",19,47,0,74,0,140,"4,936"
Iowa,"2,671","3,956",41,"4,921",5,"11,594",54,106,0,178,0,338,"11,932"
Jackson,"5,033","3,205",25,"5,737",8,"14,008",106,86,2,242,1,437,"14,445"
Jasper,"8,420","7,403",62,"8,663",16,"24,564",243,192,3,405,1,844,"25,408"
Jefferson,"3,953","3,389",46,"3,115",48,"10,551",202,121,7,231,6,567,"11,118"
Johnson,"43,596","19,453",645,"29,977",231,"93,902","4,843","2,334",77,"5,422",42,"12,718","106,620"
Jones,"3,198","3,822",22,"6,079",7,"13,128",73,64,1,225,1,364,"13,492"
Keokuk,"1,903","2,414",13,"2,293",4,"6,627",81,56,0,117,0,254,"6,881"
Kossuth,"3,038","3,546",22,"4,350",8,"10,964",98,106,0,240,0,444,"11,408"
Lee,"9,207","4,514",85,"8,116",25,"21,947",516,251,9,746,0,"1,522","23,469"
Linn,"50,384","38,727",941,"50,703",312,"141,067","2,639","1,509",61,"3,300",16,"7,525","148,592"
Louisa,"1,670","2,505",15,"2,643",5,"6,838",107,110,0,253,1,471,"7,309"
Lucas,"1,286","2,315",12,"2,031",2,"5,646",42,78,0,119,1,240,"5,886"
Lyon,880,"5,503",9,"1,705",2,"8,099",79,173,2,145,0,399,"8,498"
Madison,"2,709","4,358",35,"3,796",10,"10,908",86,145,3,188,1,423,"11,331"
Mahaska,"2,610","6,933",55,"4,447",14,"14,059",203,233,2,410,0,848,"14,907"
Marion,"5,309","9,663",68,"7,782",20,"22,842",194,283,7,399,0,883,"23,725"
Marshall,"7,286","7,622",62,"9,041",21,"24,032",211,184,3,398,0,796,"24,828"
Mills,"2,015","5,087",50,"3,077",18,"10,247",172,278,4,385,1,840,"11,087"
Mitchell,"1,671","2,555",7,"2,784",5,"7,022",72,77,1,149,0,299,"7,321"
Monona,"1,729","2,089",14,"2,272",6,"6,110",29,35,1,37,0,102,"6,212"
Monroe,"1,520","1,747",11,"1,584",0,"4,862",56,43,0,76,1,176,"5,038"
Montgomery,"1,037","3,646",14,"2,204",6,"6,907",42,99,1,131,0,273,"7,180"
Muscatine,"8,091","8,212",80,"10,342",43,"26,768",709,701,2,"1,340",0,"2,752","29,520"
O'Brien,"1,184","5,765",26,"2,440",8,"9,423",66,129,2,128,1,326,"9,749"
Osceola,478,"2,539",3,"1,153",5,"4,178",21,70,0,76,0,167,"4,345"
Page,"1,485","5,190",23,"2,846",11,"9,555",83,152,5,206,0,446,"10,001"
Palo Alto,"2,008","1,807",15,"2,280",3,"6,113",55,30,1,79,0,165,"6,278"
Plymouth,"3,072","8,431",50,"5,493",24,"17,070",98,195,2,196,0,491,"17,561"
Pocahontas,958,"2,072",14,"1,921",4,"4,969",64,80,2,183,0,329,"5,298"
Polk,"112,837","87,016","1,967","86,824",549,"289,193","4,348","2,922",93,"4,357",25,"11,745","300,938"
Pottawattamie,"15,641","21,320",355,"19,978",113,"57,407","1,820","1,630",25,"2,724",13,"6,212","63,619"
Poweshiek,"4,196","3,756",39,"4,899",13,"12,903",561,107,7,491,1,"1,167","14,070"
Ringgold,829,"1,556",5,795,0,"3,185",28,28,0,42,0,98,"3,283"
Sac,"1,267","3,159",10,"2,519",5,"6,960",39,71,0,132,2,244,"7,204"
Scott,"37,012","32,748",616,"46,426",180,"116,982","1,958","1,504",45,"3,066",13,"6,586","123,568"
Shelby,"1,762","3,636",19,"2,687",4,"8,108",47,96,2,94,1,240,"8,348"
Sioux,"1,727","15,493",50,"3,983",20,"21,273",107,444,2,281,0,834,"22,107"
Story,"19,715","18,598",550,"24,081",158,"63,102","1,487","1,047",48,"2,069",16,"4,667","67,769"
Tama,"3,133","3,415",27,"4,737",7,"11,319",107,85,2,233,0,427,"11,746"
Taylor,687,"1,911",22,"1,280",0,"3,900",44,76,0,92,0,212,"4,112"
Union,"1,707","2,780",22,"3,333",4,"7,846",58,75,0,174,1,308,"8,154"
Van Buren,984,"2,114",11,"1,626",10,"4,745",29,34,4,62,0,129,"4,874"
Wapello,"8,386","5,517",63,"7,125",40,"21,131",340,174,1,460,1,976,"22,107"
Warren,"9,743","11,835",147,"11,774",23,"33,522",320,362,4,556,1,"1,243","34,765"
Washington,"3,015","6,209",70,"5,063",28,"14,385",88,140,1,221,1,451,"14,836"
Wayne,937,"1,472",11,"1,267",2,"3,689",25,44,0,52,0,121,"3,810"
Webster,"8,008","6,965",79,"8,924",37,"24,013",237,182,4,373,1,797,"24,810"
Winnebago,"1,525","2,869",19,"3,000",6,"7,419",138,113,1,234,0,486,"7,905"
Winneshiek,"4,158","4,523",30,"5,494",23,"14,228",109,77,0,186,1,373,"14,601"
Woodbury,"18,170","20,633",209,"19,434",88,"58,534",999,851,17,"1,302",5,"3,174","61,708"
Worth,"1,368","1,981",5,"2,042",1,"5,397",92,67,2,184,0,345,"5,742"
Wright,"1,847","3,432",23,"2,672",8,"7,982",88,97,2,164,1,352,"8,334"
Totals,"625,937","665,165","9,100","717,654","2,930","2,020,786","31,798","25,118",579,"46,871",204,"104,570","2,125,356"
