County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,981,"1,935",13,"2,050",3,"4,982",46,41,1,111,0,199,"5,181"
Adams,570,973,6,"1,164",2,"2,715",39,39,0,122,0,200,"2,915"
Allamakee,"2,036","4,183",21,"2,967",5,"9,212",149,146,2,331,0,628,"9,840"
Appanoose,"2,258","2,908",15,"2,903",10,"8,094",161,135,1,342,0,639,"8,733"
Audubon,935,"2,018",10,"1,215",5,"4,183",37,49,0,82,0,168,"4,351"
Benton,"3,963","5,935",59,"7,208",18,"17,183",168,153,3,406,0,730,"17,913"
Black Hawk,"29,604","21,611",419,"30,087",170,"81,891","2,016","1,121",41,"2,563",14,"5,755","87,646"
Boone,"5,225","5,832",77,"6,916",25,"18,075",225,269,5,552,0,"1,051","19,126"
Bremer,"3,838","5,265",58,"7,264",12,"16,437",203,177,5,474,1,860,"17,297"
Buchanan,"3,504","3,298",32,"6,352",5,"13,191",142,77,0,404,1,624,"13,815"
Buena Vista,"2,899","4,103",34,"4,377",21,"11,434",266,195,3,446,0,910,"12,344"
Butler,"1,686","4,527",24,"3,469",7,"9,713",84,110,0,208,0,402,"10,115"
Calhoun,"1,285","2,553",15,"2,635",5,"6,493",43,45,0,88,2,178,"6,671"
Carroll,"3,652","4,227",50,"5,920",16,"13,865",112,103,6,237,0,458,"14,323"
Cass,"1,465","4,725",21,"2,867",8,"9,086",89,188,2,285,0,564,"9,650"
Cedar,"3,072","3,908",46,"4,757",14,"11,797",110,105,6,222,2,445,"12,242"
Cerro Gordo,"8,674","8,253",62,"12,397",20,"29,406",424,310,2,835,3,"1,574","30,980"
Cherokee,"1,540","3,694",19,"2,690",6,"7,949",66,88,0,189,0,343,"8,292"
Chickasaw,"2,451","2,433",16,"3,319",9,"8,228",99,96,2,247,0,444,"8,672"
Clarke,"1,524","1,855",18,"2,231",5,"5,633",89,85,2,227,0,403,"6,036"
Clay,"1,874","5,697",34,"3,445",5,"11,055",143,200,0,337,1,681,"11,736"
Clayton,"3,342","3,536",36,"4,583",6,"11,503",152,119,0,262,1,534,"12,037"
Clinton,"9,820","7,692",71,"13,420",46,"31,049",546,247,6,883,2,"1,684","32,733"
Crawford,"2,468","3,284",18,"3,635",6,"9,411",132,134,2,247,0,515,"9,926"
Dallas,"12,690","19,777",274,"20,814",49,"53,604",652,984,10,"1,547",4,"3,197","56,801"
Davis,"1,665","1,748",7,"1,433",4,"4,857",112,81,1,158,1,353,"5,210"
Decatur,"1,364","1,787",21,"1,396",6,"4,574",132,84,2,165,0,383,"4,957"
Delaware,"2,302","4,410",26,"4,655",7,"11,400",89,91,2,212,1,395,"11,795"
Des Moines,"10,389","6,616",102,"8,821",41,"25,969",685,327,6,834,2,"1,854","27,823"
Dickinson,"2,378","5,502",41,"4,613",10,"12,544",144,212,1,337,2,696,"13,240"
Dubuque,"25,532","16,358",268,"21,754",88,"64,000","1,368",751,17,"1,661",14,"3,811","67,811"
Emmet,"1,743","1,812",17,"2,740",2,"6,314",107,96,0,279,1,483,"6,797"
Fayette,"3,373","4,137",39,"4,298",14,"11,861",139,74,2,208,2,425,"12,286"
Floyd,"2,917","2,727",23,"4,688",9,"10,364",203,103,5,331,1,643,"11,007"
Franklin,"1,168","3,123",14,"2,092",2,"6,399",60,85,0,156,1,302,"6,701"
Fremont,998,"2,246",12,"1,481",7,"4,744",64,77,0,144,0,285,"5,029"
Greene,"1,591","2,393",24,"2,186",5,"6,199",57,68,3,152,0,280,"6,479"
