County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,706,1955,21,1115,2,3799,235,446,11,865,3,1560,5359
Adams,391,1006,5,601,2,2005,109,215,0,462,0,786,2791
Allamakee,1573,3436,20,1689,4,6722,539,948,22,1443,6,2958,9680
Appanoose,1298,2893,28,1465,4,5688,611,901,24,1445,9,2990,8678
Audubon,719,1651,12,689,3,3074,209,370,8,493,2,1082,4156
Benton,3176,5586,58,4799,11,13630,847,1098,50,2843,15,4853,18483
Black Hawk,21034,17788,336,16531,76,55765,10948,5117,276,13599,119,30059,85824
Boone,4053,5450,76,4316,17,13912,1199,1426,62,3189,15,5891,19803
Bremer,3302,4935,47,4743,11,13038,1013,1114,30,2690,7,4854,17892
Buchanan,2730,3512,40,3610,4,9896,729,721,28,2605,8,4091,13987
Buena Vista,1557,3309,32,1843,8,6749,1560,1269,35,2299,17,5180,11929
Butler,1401,4005,30,1902,8,7346,422,881,27,1434,6,2770,10116
Calhoun,880,2427,26,1481,2,4816,312,566,17,911,5,1811,6627
Carroll,2454,4519,56,3526,8,10563,826,1114,39,2170,8,4157,14720
Cass,1097,3794,27,1441,7,6366,429,1077,24,1502,9,3041,9407
Cedar,2554,3891,56,2910,10,9421,722,829,32,1775,15,3373,12794
Cerro Gordo,6431,7442,82,6814,20,20789,2441,1916,75,5495,44,9971,30760
Cherokee,869,3451,18,1232,3,5573,425,817,13,1188,6,2449,8022
Chickasaw,1660,2415,17,1828,1,5921,437,521,20,1257,8,2243,8164
Clarke,950,1975,18,1088,5,4036,454,526,20,1064,11,2075,6111
Clay,1449,4553,42,1930,15,7989,625,1283,39,1674,6,3627,11616
Clayton,2337,3720,39,2731,9,8836,696,943,31,1636,12,3318,12154
Clinton,6460,7896,90,7177,21,21644,3003,2195,96,6464,39,11797,33441
Crawford,1304,2918,21,1616,6,5865,1053,980,30,1872,15,3950,9815
Dallas,15788,19797,329,17656,42,53612,4613,4859,228,10112,54,19866,73478
Davis,980,1913,11,762,4,3670,279,469,12,667,6,1433,5103
Decatur,750,1657,15,726,4,3152,433,466,13,722,5,1639,4791
Delaware,1933,4211,32,3060,9,9245,528,785,19,1650,7,2989,12234
Des Moines,6192,6075,101,4773,20,17161,3349,2050,100,4881,30,10410,27571
Dickinson,2007,5518,41,2781,7,10354,714,1516,57,1845,10,4142,14496
Dubuque,18761,15821,260,12683,47,47572,7009,4683,260,10029,82,22063,69635
Emmet,1059,1769,14,1372,8,4222,452,535,21,1238,0,2246,6468
Fayette,2382,3840,29,2696,10,8957,803,862,28,1712,15,3420,12377
Floyd,1904,2558,32,2587,3,7084,830,663,29,2040,11,3573,10657
Franklin,819,2512,12,1037,3,4383,375,612,22,1131,7,2147,6530
Fremont,633,2055,7,598,4,3297,302,743,23,631,9,1708,5005
Greene,1091,2103,33,1219,7,4453,402,571,19,915,6,1913,6366
Grundy,1154,3657,28,1760,5,6604,406,786,20,1135,3,2350,8954
Guthrie,1270,2947,37,1735,3,5992,384,627,17,1240,1,2269,8261
Hamilton,1614,3542,30,1916,3,7105,626,870,24,1440,10,2970,10075
Hancock,1004,3083,20,1265,3,5375,391,753,14,1149,12,2319,7694
Hardin,1799,4106,31,1833,7,7776,718,1213,30,1718,8,3687,11463
Harrison,1347,3917,41,1440,6,6751,475,893,28,905,12,2313,9064
Henry,1871,4302,44,2449,8,8674,794,1259,49,2494,13,4609,13283
Howard,1192,1472,19,1672,1,4356,329,409,14,1155,5,1912,6268
Humboldt,815,2474,16,1487,3,4795,271,574,16,970,4,1835,6630
Ida,528,1915,6,899,2,3350,201,497,5,768,3,1474,4824
Iowa,1980,4116,41,2832,7,8976,642,866,33,1861,11,3413,12389
Jackson,3365,3688,34,2820,6,9913,1094,869,20,2610,11,4604,14517
Jasper,5461,7247,81,5241,15,18045,2118,1918,65,4304,19,8424,26469
Jefferson,3047,2911,41,1641,15,7655,1222,793,35,1539,18,3607,11262
Johnson,39026,13615,385,20425,120,73571,14503,5309,358,15370,134,35674,109245
Jones,2410,4168,35,3336,2,9951,665,893,29,2433,9,4029,13980
Keokuk,1065,2311,17,1164,5,4562,445,675,12,986,2,2120,6682
Kossuth,1823,3931,23,2179,4,7960,497,853,25,1566,4,2945,10905
Lee,5296,4801,81,4135,7,14320,2383,1564,79,4034,28,8088,22408
Linn,42665,32977,730,33882,179,110433,16010,9189,672,22868,209,48948,159381
Louisa,963,2222,14,1295,0,4494,666,631,18,1427,6,2748,7242
Lucas,812,2227,16,1142,5,4202,313,628,14,885,2,1842,6044
Lyon,526,5101,8,743,1,6379,279,1321,11,697,3,2311,8690
Madison,2023,4161,63,2532,5,8784,605,1114,31,1674,9,3433,12217
