County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,733,2237,1427,25,4422,100,203,395,11,709,5131
Adams,378,1168,786,10,2342,49,100,231,1,381,2723
Allamakee,1509,4272,2180,45,8006,278,480,837,18,1613,9619
Appanoose,1321,3606,2101,46,7074,228,382,637,14,1261,8335
Audubon,728,1845,890,23,3486,78,128,199,10,415,3901
Benton,3058,6723,5884,92,15757,346,507,1258,34,2145,17902
Black Hawk,23326,20900,22856,626,67708,4544,2233,6387,189,13353,81061
Boone,4048,6465,6340,125,16978,462,616,1378,34,2490,19468
Bremer,3380,5834,6455,81,15750,401,441,1123,18,1983,17733
Buchanan,2792,4182,4804,68,11846,313,338,1037,16,1704,13550
Buena Vista,1935,3878,2505,56,8374,652,598,1052,22,2324,10698
Butler,1434,4618,2696,49,8797,161,338,548,18,1065,9862
Calhoun,837,2965,1782,36,5620,137,274,395,5,811,6431
Carroll,2385,5648,4414,112,12559,304,494,866,23,1687,14246
Cass,1167,4421,2091,51,7730,175,420,604,15,1214,8944
Cedar,2650,4676,3994,88,11408,295,352,788,23,1458,12866
Cerro Gordo,6777,9059,8914,186,24936,1036,913,2544,56,4549,29485
Cherokee,892,4074,1628,39,6633,173,312,518,8,1011,7644
Chickasaw,1587,2869,2347,27,6830,154,219,476,8,857,7687
Clarke,956,2375,1355,44,4730,185,223,483,15,906,5636
Clay,1533,5308,2575,91,9507,265,573,726,25,1589,11096
Clayton,2190,4983,3077,61,10311,308,457,679,22,1466,11777
Clinton,6764,9474,10138,183,26559,1084,979,3118,67,5248,31807
Crawford,1398,3761,2004,42,7205,410,470,806,25,1711,8916
Dallas,18308,24778,25070,577,68733,2271,2421,5214,131,10037,78770
Davis,822,2511,912,24,4269,110,207,290,9,616,4885
Decatur,755,2119,1014,27,3915,182,228,316,9,735,4650
Delaware,1960,4916,4021,57,10954,170,328,699,10,1207,12161
Des Moines,6453,7239,7288,198,21178,1188,887,2335,53,4463,25641
Dickinson,2107,6652,3704,84,12547,301,682,834,31,1848,14395
Dubuque,19927,20119,17485,498,58029,2935,2111,4994,168,10208,68237
Emmet,1071,2473,1734,28,5306,176,244,477,10,907,6213
Fayette,2311,4812,3495,71,10689,340,383,745,18,1486,12175
Floyd,1978,3045,3431,38,8492,319,276,840,19,1454,9946
Franklin,894,2838,1538,28,5298,141,226,509,7,883,6181
Fremont,654,2536,926,32,4148,105,311,300,15,731,4879
Greene,1089,2554,1644,44,5331,160,263,352,17,792,6123
Grundy,1222,4290,2345,54,7911,143,317,449,14,923,8834
Guthrie,1308,3328,2441,51,7128,140,255,509,12,916,8044
Hamilton,1631,4143,2459,41,8274,252,359,693,12,1316,9590
Hancock,1024,3589,1753,51,6417,168,311,496,11,986,7403
Hardin,1834,4743,2601,60,9238,278,500,695,20,1493,10731
Harrison,1499,4677,2149,90,8415,201,421,419,19,1060,9475
Henry,1951,5002,3426,72,10451,290,554,1043,32,1919,12370
Howard,1176,1806,2342,23,5347,109,152,484,7,752,6099
Humboldt,777,2851,1861,37,5526,121,273,474,4,872,6398
Ida,540,2233,1212,13,3998,63,191,306,9,569,4567
Iowa,2043,4641,3684,72,10440,243,385,837,11,1476,11916
Jackson,3089,4842,3841,55,11827,387,375,1045,15,1822,13649
Jasper,5612,8987,6775,145,21519,791,891,2006,43,3731,25250
Jefferson,3103,3363,2452,90,9008,522,343,760,29,1654,10662
Johnson,42669,17482,31629,766,92546,8519,2758,9208,262,20747,113293
Jones,2453,4786,4549,57,11845,262,404,1000,22,1688,13533
Keokuk,1017,2974,1483,31,5505,156,269,391,9,825,6330
Kossuth,1711,4631,2600,61,9003,228,426,737,19,1410,10413
Lee,5382,6225,5881,130,17618,890,727,1856,47,3520,21138
Linn,46276,38976,47327,1355,133934,7278,4385,11788,428,23879,157813
Louisa,1097,2616,1935,37,5685,231,294,612,11,1148,6833
Lucas,824,2753,1403,34,5014,121,277,389,5,792,5806
Lyon,528,6103,983,18,7632,107,480,316,7,910,8542
Madison,2041,5146,3440,100,10727,244,484,803,21,1552,12279
Mahaska,1751,6714,3406,99,11970,321,670,874,36,1901,13871
Marion,3842,10729,6782,147,21500,576,986,1725,40,3327,24827
Marshall,5339,7378,6298,144,19159,1088,685,1948,52,3773,22932
Mills,1565,5484,2054,135,9238,339,807,806,44,1996,11234
Mitchell,1231,2814,1984,35,6064,215,291,529,20,1055,7119
Monona,1032,2665,1326,48,5071,170,278,356,12,816,5887
Monroe,822,2375,1331,25,4553,102,229,316,6,653,5206
Montgomery,855,3190,1282,43,5370,157,385,568,18,1128,6498
Muscatine,5646,8137,8064,198,22045,1210,1013,2442,80,4745,26790
O'Brien,873,5514,1625,54,8066,172,469,479,21,1141,9207
Osceola,309,2372,801,13,3495,54,202,234,4,494,3989
Page,1112,5176,1874,60,8222,258,694,760,19,1731,9953
Palo Alto,1333,2452,1537,36,5358,157,197,378,8,740,6098
Plymouth,2219,8707,4367,80,15373,385,803,973,29,2190,17563
Pocahontas,600,2158,1139,36,3933,100,213,285,9,607,4540
Polk,102639,82502,89005,2694,276840,17882,9547,23319,804,51552,328392
Pottawattamie,12229,22120,14576,599,49524,2602,3237,4910,257,11006,60530
Poweshiek,2853,3873,4143,56,10925,845,344,1035,23,2247,13172
Ringgold,424,1849,533,15,2821,51,169,121,1,342,3163
Sac,795,3495,1720,24,6034,107,292,447,8,854,6888
Scott,29146,32591,37390,906,100033,5983,3976,11582,308,21849,121882
Shelby,1240,3985,1849,42,7116,199,473,582,23,1277,8393
Sioux,1451,15280,3815,79,20625,339,1209,1174,20,2742,23367
Story,16528,15772,20159,523,52982,3695,2352,5796,218,12061,65043
Tama,2113,4005,2841,56,9015,347,332,838,18,1535,10550
Taylor,439,1990,795,30,3254,73,234,219,11,537,3791
Union,1160,3233,2254,37,6684,160,285,714,16,1175,7859
Van Buren,511,2289,1055,29,3884,91,206,363,11,671,4555
Wapello,4509,6123,5014,119,15765,964,848,1814,58,3684,19449
Warren,8929,14701,11469,294,35393,1070,1357,2352,79,4858,40251
Washington,2659,5999,3870,95,12623,352,572,1025,31,1980,14603
Wayne,471,2008,789,23,3291,88,177,207,3,475,3766
Webster,4587,8544,5813,149,19093,973,1028,2046,56,4103,23196
Winnebago,1199,2873,2133,36,6241,196,312,705,9,1222,7463
Winneshiek,3638,4676,4571,54,12939,548,260,809,15,1632,14571
Woodbury,12217,20333,14434,413,47397,3331,2944,6099,157,12531,59928
Worth,958,2105,1444,31,4538,132,180,369,8,689,5227
Wright,1164,3218,1848,43,6273,188,333,590,9,1120,7393
Totals,"503,302","701,549","591,466","14,855","1,811,172","87,800","75,037","162,095","4,784","329,716","2,140,888"
