County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,010","1,916","1,969",9,"4,904",90,95,189,0,374,"5,278"
Adams,587,974,"1,142",3,"2,706",41,45,128,0,214,"2,920"
Allamakee,"2,115","4,082","3,087",13,"9,297",148,165,303,0,616,"9,913"
Appanoose,"2,364","2,887","2,878",11,"8,140",229,208,421,1,859,"8,999"
Audubon,"1,215","1,571","1,355",12,"4,153",43,67,125,0,235,"4,388"
Benton,"4,231","5,273","7,184",45,"16,733",307,254,687,3,"1,251","17,984"
Black Hawk,"29,410","21,159","29,178",379,"80,126","2,328","1,338","2,961",47,"6,674","86,800"
Boone,"5,211","5,704","6,622",47,"17,584",313,360,728,3,"1,404","18,988"
Bremer,"3,671","5,183","7,202",39,"16,095",247,246,583,9,"1,085","17,180"
Buchanan,"3,636","3,231","6,245",16,"13,128",190,152,548,1,891,"14,019"
Buena Vista,"2,955","4,060","4,405",22,"11,442",219,237,340,2,798,"12,240"
Butler,"1,729","4,447","3,388",9,"9,573",104,126,234,1,465,"10,038"
Calhoun,"1,307","2,383","2,557",8,"6,255",120,117,254,4,495,"6,750"
Carroll,"3,823","4,036","5,956",43,"13,858",253,234,618,4,"1,109","14,967"
Cass,"1,524","4,630","2,941",15,"9,110",125,280,373,0,778,"9,888"
Cedar,"3,104","3,799","4,424",27,"11,354",196,170,349,4,719,"12,073"
Cerro Gordo,"8,940","8,298","11,993",45,"29,276",716,456,"1,322",6,"2,500","31,776"
Cherokee,"1,756","3,227","2,877",16,"7,876",152,192,422,3,769,"8,645"
Chickasaw,"2,614","2,301","3,460",14,"8,389",147,139,349,3,638,"9,027"
Clarke,"1,504","1,814","2,088",8,"5,414",135,149,318,2,604,"6,018"
Clay,"2,330","4,554","3,990",21,"10,895",275,321,559,0,"1,155","12,050"
Clayton,"3,363","3,453","4,572",30,"11,418",163,150,326,2,641,"12,059"
Clinton,"10,073","7,602","12,785",68,"30,528","1,109",464,"1,526",6,"3,105","33,633"
Crawford,"2,526","3,203","3,464",8,"9,201",158,146,298,1,603,"9,804"
Dallas,"11,338","18,677","18,377",162,"48,554","1,228","1,857","2,902",20,"6,007","54,561"
Davis,"1,723","1,618","1,358",6,"4,705",129,91,205,1,426,"5,131"
Decatur,"1,468","1,641","1,393",11,"4,513",78,65,105,1,249,"4,762"
Delaware,"2,463","3,895","4,824",12,"11,194",100,122,232,0,454,"11,648"
Des Moines,"10,608","6,531","8,389",68,"25,596",888,478,"1,095",8,"2,469","28,065"
Dickinson,"2,446","5,307","4,418",25,"12,196",181,267,361,6,815,"13,011"
