County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,998,"1,947",14,"2,070",3,"5,032",35,27,0,77,0,139,"5,171"
Adams,581,985,5,"1,168",2,"2,741",32,36,0,109,0,177,"2,918"
Allamakee,"2,147","4,269",21,"3,158",5,"9,600",64,73,2,149,0,288,"9,888"
Appanoose,"2,360","2,971",15,"3,065",10,"8,421",74,87,1,172,0,334,"8,755"
Audubon,951,"2,031",10,"1,250",5,"4,247",27,42,0,50,0,119,"4,366"
Benton,"4,034","5,968",59,"7,311",18,"17,390",111,115,2,280,0,508,"17,898"
Black Hawk,"30,450","21,974",428,"30,986",173,"84,011","1,356",865,33,"1,622",13,"3,889","87,900"
Boone,"5,292","5,872",75,"7,041",25,"18,305",188,242,4,421,0,855,"19,160"
Bremer,"3,950","5,333",58,"7,442",13,"16,796",109,123,4,280,0,516,"17,312"
Buchanan,"3,579","3,320",32,"6,468",5,"13,404",90,63,0,281,1,435,"13,839"
Buena Vista,"3,027","4,174",34,"4,628",17,"11,880",132,127,1,206,0,466,"12,346"
Butler,"1,713","4,566",23,"3,528",7,"9,837",62,82,0,142,0,286,"10,123"
Calhoun,"1,302","2,580",15,"2,653",5,"6,555",38,34,0,74,2,148,"6,703"
Carroll,"3,710","4,266",48,"6,110",16,"14,150",94,88,5,171,0,358,"14,508"
Cass,"1,502","4,797",21,"2,953",9,"9,282",62,136,2,204,0,404,"9,686"
Cedar,"3,121","3,938",47,"4,840",15,"11,961",74,83,5,147,1,310,"12,271"
Cerro Gordo,"8,897","8,372",63,"12,678",21,"30,031",283,219,0,549,2,"1,053","31,084"
Cherokee,"1,569","3,726",19,"2,754",6,"8,074",45,68,0,125,0,238,"8,312"
Chickasaw,"2,508","2,479",17,"3,438",9,"8,451",54,58,2,146,0,260,"8,711"
Clarke,"1,545","1,867",20,"2,274",5,"5,711",76,77,0,174,0,327,"6,038"
Clay,"1,940","5,761",34,"3,541",5,"11,281",90,153,0,232,1,476,"11,757"
Clayton,"3,425","3,576",35,"4,668",6,"11,710",94,80,0,167,1,342,"12,052"
Clinton,"9,998","7,758",74,"13,617",46,"31,493",397,206,3,622,2,"1,230","32,723"
Crawford,"2,494","3,322",18,"3,679",6,"9,519",115,113,2,203,0,433,"9,952"
Dallas,"12,787","19,862",270,"20,733",50,"53,702",586,900,8,"1,354",3,"2,851","56,553"
Davis,"1,696","1,760",7,"1,471",4,"4,938",86,68,1,119,1,275,"5,213"
Decatur,"1,454","1,828",21,"1,503",5,"4,811",49,46,2,61,0,158,"4,969"
Delaware,"2,339","4,451",24,"4,709",8,"11,531",64,69,2,146,0,281,"11,812"
Des Moines,"10,593","6,654",101,"8,969",41,"26,358",513,288,5,640,2,"1,448","27,806"
Dickinson,"2,430","5,545",40,"4,731",10,"12,756",97,164,1,226,2,490,"13,246"
Dubuque,"25,972","16,521",269,"22,117",91,"64,970","1,023",594,13,"1,197",10,"2,837","67,807"
Emmet,"1,795","1,846",16,"2,826",3,"6,486",68,62,0,191,0,321,"6,807"
Fayette,"3,494","4,188",40,"4,403",14,"12,139",66,51,1,123,2,243,"12,382"
Floyd,"2,985","2,752",23,"4,774",10,"10,544",144,84,4,240,1,473,"11,017"
Franklin,"1,192","3,171",14,"2,151",2,"6,530",41,57,0,108,1,207,"6,737"
Fremont,"1,031","2,291",12,"1,554",7,"4,895",42,47,0,80,0,169,"5,064"
Greene,"1,608","2,421",24,"2,252",4,"6,309",41,54,3,104,0,202,"6,511"
Grundy,"1,392","4,111",21,"3,114",7,"8,645",37,66,2,125,0,230,"8,875"
Guthrie,"1,670","2,825",32,"2,986",2,"7,515",122,171,2,316,0,611,"8,126"
Hamilton,"2,367","4,036",30,"3,498",9,"9,940",62,87,1,171,0,321,"10,261"
Hancock,"1,464","3,321",12,"2,811",7,"7,615",36,58,1,141,0,236,"7,851"
Hardin,"2,530","4,708",39,"3,941",10,"11,228",79,122,2,182,1,386,"11,614"
Harrison,"2,112","3,843",36,"2,699",14,"8,704",24,54,1,61,1,141,"8,845"
Henry,"2,755","5,145",42,"5,042",10,"12,994",171,177,1,361,1,711,"13,705"
Howard,"1,742","1,485",14,"2,723",1,"5,965",38,31,0,115,0,184,"6,149"
Humboldt,"1,197","2,684",14,"2,447",1,"6,343",49,60,1,113,0,223,"6,566"
Ida,800,"2,258",14,"1,711",3,"4,786",17,41,0,71,0,129,"4,915"
Iowa,"2,666","3,955",41,"4,928",5,"11,595",50,97,0,171,0,318,"11,913"
Jackson,"5,020","3,202",25,"5,757",8,"14,012",103,86,2,239,1,431,"14,443"
Jasper,"8,396","7,393",62,"8,697",16,"24,564",230,189,3,393,1,816,"25,380"
Jefferson,"3,933","3,380",46,"3,112",48,"10,519",190,103,6,220,5,524,"11,043"
Johnson,"43,541","19,419",645,"30,024",229,"93,858","4,696","2,256",75,"5,316",41,"12,384","106,242"
Jones,"3,198","3,823",22,"6,091",7,"13,141",68,58,1,218,1,346,"13,487"
Keokuk,"1,905","2,416",13,"2,299",4,"6,637",81,56,0,115,0,252,"6,889"
Kossuth,"3,035","3,539",22,"4,361",8,"10,965",95,101,0,237,0,433,"11,398"
Lee,"9,174","4,511",86,"8,152",25,"21,948",507,243,9,741,0,"1,500","23,448"
Linn,"50,360","38,718",948,"50,865",316,"141,207","2,592","1,457",61,"3,241",16,"7,367","148,574"
Louisa,"1,665","2,501",15,"2,653",5,"6,839",106,111,0,253,1,471,"7,310"
Lucas,"1,284","2,311",13,"2,037",2,"5,647",34,70,0,110,1,215,"5,862"
Lyon,873,"5,510",11,"1,708",2,"8,104",78,164,2,140,0,384,"8,488"
Madison,"2,698","4,359",34,"3,819",10,"10,920",82,141,3,185,1,412,"11,332"
Mahaska,"2,601","6,929",56,"4,457",13,"14,056",198,224,2,405,0,829,"14,885"
Marion,"5,297","9,655",68,"7,813",19,"22,852",188,270,6,384,0,848,"23,700"
Marshall,"7,278","7,608",64,"9,065",24,"24,039",201,166,3,384,0,754,"24,793"
Mills,"2,012","5,098",51,"3,100",17,"10,278",171,272,4,380,2,829,"11,107"
Mitchell,"1,661","2,550",7,"2,790",5,"7,013",71,75,1,145,0,292,"7,305"
Monona,"1,722","2,082",15,"2,274",6,"6,099",31,34,1,40,0,106,"6,205"
Monroe,"1,514","1,743",11,"1,585",0,"4,853",53,43,0,74,1,171,"5,024"
Montgomery,"1,034","3,640",14,"2,220",6,"6,914",37,96,1,120,0,254,"7,168"
Muscatine,"8,086","8,213",82,"10,391",42,"26,814",697,658,2,"1,301",0,"2,658","29,472"
O'Brien,"1,186","5,760",26,"2,448",8,"9,428",58,115,2,119,1,295,"9,723"
Osceola,476,"2,535",3,"1,155",5,"4,174",18,68,0,73,0,159,"4,333"
Page,"1,490","5,199",25,"2,853",11,"9,578",70,136,4,200,0,410,"9,988"
Palo Alto,"2,001","1,809",16,"2,290",3,"6,119",53,27,0,74,0,154,"6,273"
Plymouth,"3,074","8,436",51,"5,496",25,"17,082",85,172,2,191,0,450,"17,532"
Pocahontas,952,"2,062",14,"1,932",4,"4,964",57,74,2,177,0,310,"5,274"
Polk,"112,731","87,002","1,987","87,141",554,"289,415","4,169","2,777",89,"4,227",24,"11,286","300,701"
Pottawattamie,"15,631","21,335",360,"20,034",116,"57,476","1,785","1,566",27,"2,685",12,"6,075","63,551"
Poweshiek,"4,174","3,750",41,"4,901",13,"12,879",543,103,7,481,2,"1,136","14,015"
Ringgold,828,"1,553",5,799,0,"3,185",28,25,0,40,0,93,"3,278"
Sac,"1,266","3,159",11,"2,521",5,"6,962",35,69,0,125,0,229,"7,191"
Scott,"36,961","32,709",618,"46,631",181,"117,100","1,940","1,476",44,"3,027",14,"6,501","123,601"
Shelby,"1,755","3,626",20,"2,697",4,"8,102",36,81,1,87,1,206,"8,308"
Sioux,"1,723","15,499",50,"3,988",20,"21,280",103,434,2,279,0,818,"22,098"
Story,"19,692","18,560",554,"24,050",159,"63,015","1,408","1,019",45,"1,994",16,"4,482","67,497"
Tama,"3,123","3,412",27,"4,761",7,"11,330",100,73,1,227,0,401,"11,731"
Taylor,687,"1,910",22,"1,281",0,"3,900",43,74,0,89,0,206,"4,106"
Union,"1,701","2,769",22,"3,340",5,"7,837",54,74,0,175,0,303,"8,140"
Van Buren,980,"2,113",11,"1,631",10,"4,745",26,30,4,62,0,122,"4,867"
Wapello,"8,373","5,514",63,"7,135",40,"21,125",324,166,1,451,0,942,"22,067"
Warren,"9,711","11,804",150,"11,777",23,"33,465",301,345,4,541,1,"1,192","34,657"
Washington,"3,014","6,209",70,"5,072",28,"14,393",82,129,1,219,1,432,"14,825"
Wayne,933,"1,471",11,"1,263",2,"3,680",24,44,0,53,0,121,"3,801"
