County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,979,"1,992","2,039",29,"5,039",44,63,121,2,230,"5,269"
Adams,555,996,"1,085",8,"2,644",32,38,98,1,169,"2,813"
Allamakee,"2,086","4,046","3,033",40,"9,205",134,145,307,3,589,"9,794"
Appanoose,"2,177","2,958","2,879",38,"8,052",152,161,347,4,664,"8,716"
Audubon,947,"1,901","1,191",20,"4,059",36,55,87,0,178,"4,237"
Benton,"3,936","5,702","7,342",100,"17,080",166,194,378,10,748,"17,828"
Black Hawk,"29,848","20,739","30,385",827,"81,799","2,094","1,341","2,696",67,"6,198","87,997"
Boone,"5,136","5,754","7,048",163,"18,101",252,279,577,12,"1,120","19,221"
Bremer,"3,972","5,113","7,365",104,"16,554",201,205,514,9,929,"17,483"
Buchanan,"3,446","3,178","6,401",49,"13,074",139,87,416,5,647,"13,721"
Buena Vista,"2,882","4,061","4,316",77,"11,336",288,219,438,2,947,"12,283"
Butler,"1,685","4,469","3,417",51,"9,622",60,106,178,1,345,"9,967"
Calhoun,"1,277","2,504","2,536",43,"6,360",46,77,116,3,242,"6,602"
Carroll,"3,543","4,283","5,912",78,"13,816",118,127,236,8,489,"14,305"
Cass,"1,437","4,612","2,895",38,"8,982",109,235,317,2,663,"9,645"
Cedar,"3,118","3,802","4,842",77,"11,839",113,124,227,9,473,"12,312"
Cerro Gordo,"8,485","7,964","12,608",118,"29,175",389,350,862,9,"1,610","30,785"
Cherokee,"1,475","3,644","2,706",42,"7,867",58,90,201,2,351,"8,218"
Chickasaw,"2,355","2,395","3,304",29,"8,083",92,104,249,2,447,"8,530"
Clarke,"1,440","1,962","2,167",31,"5,600",65,85,170,6,326,"5,926"
Clay,"1,945","5,376","3,533",54,"10,908",128,225,334,5,692,"11,600"
Clayton,"3,152","3,655","4,627",53,"11,487",127,127,195,4,453,"11,940"
Clinton,"9,309","7,717","13,685",156,"30,867",599,325,"1,032",13,"1,969","32,836"
Crawford,"2,425","3,255","3,657",34,"9,371",79,93,180,2,354,"9,725"
Dallas,"14,386","19,895","22,467",525,"57,273",791,"1,214","1,846",49,"3,900","61,173"
