County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,022","1,894","2,023",10,"4,949",68,68,170,0,306,"5,255"
Adams,598,951,"1,175",4,"2,728",30,32,107,0,169,"2,897"
Allamakee,"2,089","4,135","3,152",12,"9,388",129,134,252,0,515,"9,903"
Appanoose,"2,387","2,768","2,989",10,"8,154",218,189,398,0,805,"8,959"
Audubon,"1,211","1,520","1,418",11,"4,160",46,54,107,0,207,"4,367"
Benton,"4,215","4,955","7,505",40,"16,715",281,194,613,3,"1,091","17,806"
Black Hawk,"28,065","20,148","31,291",388,"79,892","2,001","1,024","2,491",38,"5,554","85,446"
Boone,"5,021","5,369","7,045",58,"17,493",274,293,626,3,"1,196","18,689"
Bremer,"3,560","4,899","7,576",42,"16,077",206,189,484,4,883,"16,960"
Buchanan,"3,602","3,056","6,455",17,"13,130",183,130,455,1,769,"13,899"
Buena Vista,"2,847","3,928","4,657",20,"11,452",171,180,252,2,605,"12,057"
Butler,"1,641","4,414","3,501",12,"9,568",89,105,198,0,392,"9,960"
Calhoun,"1,294","2,327","2,616",13,"6,250",103,102,249,4,458,"6,708"
Carroll,"3,826","3,838","6,183",47,"13,894",209,201,551,4,965,"14,859"
Cass,"1,495","4,640","3,020",13,"9,168",112,240,336,0,688,"9,856"
Cedar,"3,005","3,633","4,644",32,"11,314",176,135,297,2,610,"11,924"
Cerro Gordo,"8,856","7,785","12,484",52,"29,177",607,402,"1,162",3,"2,174","31,351"
Cherokee,"1,781","3,129","3,005",19,"7,934",138,170,377,2,687,"8,621"
Chickasaw,"2,630","2,171","3,589",14,"8,404",132,110,295,1,538,"8,942"
Clarke,"1,489","1,755","2,211",10,"5,465",105,119,278,1,503,"5,968"
Clay,"2,305","4,418","4,204",15,"10,942",241,268,493,0,"1,002","11,944"
Clayton,"3,259","3,272","4,821",26,"11,378",140,118,272,2,532,"11,910"
Clinton,"9,857","7,153","13,226",58,"30,294","1,061",405,"1,455",6,"2,927","33,221"
Crawford,"2,545","3,101","3,465",7,"9,118",147,106,264,0,517,"9,635"
Dallas,"10,218","17,037","19,917",166,"47,338",927,"1,390","2,226",10,"4,553","51,891"
Davis,"1,782","1,495","1,442",3,"4,722",113,73,181,1,368,"5,090"
Decatur,"1,361","1,529","1,470",10,"4,370",66,48,80,0,194,"4,564"
Delaware,"2,475","3,750","4,969",7,"11,201",83,107,204,0,394,"11,595"
Des Moines,"10,734","5,954","8,761",60,"25,509",797,407,956,6,"2,166","27,675"
Dickinson,"2,347","5,068","4,560",30,"12,005",139,217,303,3,662,"12,667"
Dubuque,"24,302","14,900","22,422",215,"61,839","1,633",899,"2,029",21,"4,582","66,421"
Emmet,"1,850","1,602","2,756",8,"6,216",243,167,539,0,949,"7,165"
Fayette,"3,456","3,867","4,184",37,"11,544",202,126,307,5,640,"12,184"
Floyd,"3,023","2,569","4,738",14,"10,344",171,108,324,3,606,"10,950"
Franklin,"1,221","3,009","2,299",6,"6,535",61,68,174,2,305,"6,840"
Fremont,"1,091","1,952","1,617",6,"4,666",155,216,321,1,693,"5,359"
Greene,"1,773","2,070","2,285",11,"6,139",107,126,252,1,486,"6,625"
Grundy,"1,380","3,956","3,054",17,"8,407",70,123,235,3,431,"8,838"
Guthrie,"1,721","2,639","2,966",26,"7,352",109,142,290,0,541,"7,893"
Hamilton,"2,460","3,424","3,810",26,"9,720",140,169,294,1,604,"10,324"
Hancock,"1,448","3,191","2,797",7,"7,443",120,120,293,1,534,"7,977"
Hardin,"2,476","4,538","3,940",17,"10,971",233,206,399,3,841,"11,812"
Harrison,"2,059","3,527","2,328",32,"7,946",37,49,63,2,151,"8,097"
Henry,"2,652","4,997","4,817",25,"12,491",386,324,715,2,"1,427","13,918"
Howard,"1,714","1,378","2,622",4,"5,718",112,80,280,0,472,"6,190"
Humboldt,"1,228","2,576","2,379",5,"6,188",88,92,197,0,377,"6,565"
Ida,823,"2,157","1,772",12,"4,764",54,105,205,0,364,"5,128"
Iowa,"2,589","3,797","4,946",24,"11,356",156,200,375,2,733,"12,089"
Jackson,"5,193","2,769","5,694",20,"13,676",291,158,538,3,990,"14,666"
Jasper,"7,990","7,073","8,631",41,"23,735",487,381,867,3,"1,738","25,473"
Jefferson,"3,317","3,311","3,307",72,"10,007",277,180,438,13,908,"10,915"
Johnson,"37,471","17,667","31,368",616,"87,122","5,423","2,531","6,091",102,"14,147","101,269"
Jones,"3,190","3,624","5,925",19,"12,758",135,118,358,1,612,"13,370"
Keokuk,"1,984","2,231","2,313",7,"6,535",141,91,267,2,501,"7,036"
Kossuth,"3,191","3,328","4,319",12,"10,850",106,109,286,1,502,"11,352"
Lee,"9,209","3,977","8,115",49,"21,350",751,334,"1,104",4,"2,193","23,543"
Linn,"46,152","36,560","50,644",702,"134,058","5,064","2,728","6,149",77,"14,018","148,076"
Louisa,"1,618","2,323","2,519",12,"6,472",203,143,393,1,740,"7,212"
Lucas,"1,301","2,161","1,985",8,"5,455",79,105,212,1,397,"5,852"
Lyon,828,"5,341","1,697",5,"7,871",93,191,166,0,450,"8,321"
Madison,"2,672","3,887","3,841",22,"10,422",158,224,344,0,726,"11,148"
Mahaska,"2,804","5,816","4,837",52,"13,509",292,274,490,3,"1,059","14,568"
Marion,"5,057","8,992","7,636",46,"21,731",407,566,744,6,"1,723","23,454"
Marshall,"6,825","7,247","9,082",37,"23,191",654,512,"1,083",2,"2,251","25,442"
Mills,"1,899","4,811","3,056",26,"9,792",184,281,396,3,864,"10,656"
Mitchell,"1,687","2,395","2,728",10,"6,820",107,108,182,1,398,"7,218"
Monona,"1,874","1,847","2,347",9,"6,077",126,127,226,0,479,"6,556"
Monroe,"1,592","1,477","1,534",6,"4,609",100,73,140,3,316,"4,925"
Montgomery,969,"3,617","2,100",5,"6,691",92,201,258,1,552,"7,243"
