County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,977,"1,930",14,"2,046",3,"4,970",48,47,1,126,0,222,"5,192"
Adams,569,971,7,"1,164",1,"2,712",40,40,0,126,0,206,"2,918"
Allamakee,"2,030","4,181",21,"2,976",6,"9,214",151,151,2,339,0,643,"9,857"
Appanoose,"2,227","2,906",15,"2,910",9,"8,067",175,143,1,358,0,677,"8,744"
Audubon,926,"2,000",11,"1,216",5,"4,158",44,55,0,87,0,186,"4,344"
Benton,"3,933","5,909",59,"7,237",18,"17,156",176,184,4,429,0,793,"17,949"
Black Hawk,"29,409","21,454",409,"30,095",167,"81,534","2,155","1,186",46,"2,724",16,"6,127","87,661"
Boone,"5,194","5,808",80,"6,931",25,"18,038",241,279,5,566,0,"1,091","19,129"
Bremer,"3,814","5,245",57,"7,304",12,"16,432",216,189,6,501,1,913,"17,345"
Buchanan,"3,491","3,278",31,"6,370",5,"13,175",145,95,1,424,1,666,"13,841"
Buena Vista,"2,883","4,089",34,"4,384",21,"11,411",287,217,3,478,0,985,"12,396"
Butler,"1,677","4,516",23,"3,473",7,"9,696",70,105,0,196,0,371,"10,067"
Calhoun,"1,280","2,550",16,"2,655",6,"6,507",42,44,0,89,2,177,"6,684"
Carroll,"3,625","4,227",51,"5,932",15,"13,850",119,115,6,250,0,490,"14,340"
Cass,"1,447","4,709",24,"2,882",8,"9,070",102,207,2,306,0,617,"9,687"
Cedar,"3,049","3,895",48,"4,743",14,"11,749",116,118,6,235,1,476,"12,225"
Cerro Gordo,"8,651","8,251",63,"12,515",21,"29,501",419,302,2,822,3,"1,548","31,049"
Cherokee,"1,532","3,675",19,"2,688",5,"7,919",69,93,0,207,0,369,"8,288"
Chickasaw,"2,437","2,418",16,"3,333",8,"8,212",104,108,2,258,1,473,"8,685"
Clarke,"1,515","1,856",19,"2,238",5,"5,633",60,64,2,181,0,307,"5,940"
