County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,986,"1,984",19,"1,964",5,"4,958",68,67,3,162,0,300,"5,258"
Adams,568,"1,001",6,"1,099",1,"2,675",45,53,1,129,0,228,"2,903"
Allamakee,"2,105","4,089",23,"3,006",7,"9,230",162,163,4,368,0,697,"9,927"
Appanoose,"2,191","2,958",27,"2,830",9,"8,015",190,180,3,408,1,782,"8,797"
Audubon,967,"1,932",16,"1,206",2,"4,123",41,64,0,97,0,202,"4,325"
Benton,"4,026","5,718",70,"7,249",14,"17,077",207,219,7,482,2,917,"17,994"
Black Hawk,"29,322","20,603",462,"29,525",162,"80,074","2,525","1,497",44,"3,213",22,"7,301","87,375"
Boone,"5,254","5,738",103,"6,921",19,"18,035",288,350,14,675,0,"1,327","19,362"
Bremer,"3,955","5,098",64,"7,249",7,"16,373",257,245,4,594,3,"1,103","17,476"
Buchanan,"3,552","3,178",38,"6,336",4,"13,108",159,111,4,508,1,783,"13,891"
Buena Vista,"2,883","4,077",43,"4,293",22,"11,318",322,241,3,516,0,"1,082","12,400"
Butler,"1,707","4,507",36,"3,364",7,"9,621",86,129,0,234,0,449,"10,070"
Calhoun,"1,287","2,504",24,"2,512",7,"6,334",64,83,2,150,2,301,"6,635"
Carroll,"3,633","4,258",64,"5,845",16,"13,816",140,134,7,280,0,561,"14,377"
Cass,"1,472","4,650",29,"2,834",7,"8,992",110,227,0,340,0,677,"9,669"
Cedar,"3,196","3,780",51,"4,620",10,"11,657",128,146,5,261,2,542,"12,199"
Cerro Gordo,"8,645","8,053",81,"12,513",17,"29,309",487,392,4,994,4,"1,881","31,190"
Cherokee,"1,485","3,709",27,"2,662",5,"7,888",74,106,1,236,0,417,"8,305"
Chickasaw,"2,426","2,389",17,"3,266",8,"8,106",107,121,2,296,0,526,"8,632"
Clarke,"1,470","1,971",21,"2,122",3,"5,587",66,83,3,214,0,366,"5,953"
Clay,"1,993","5,458",45,"3,424",6,"10,926",156,264,3,418,1,842,"11,768"
Clayton,"3,231","3,636",47,"4,537",4,"11,455",174,156,0,304,2,636,"12,091"
Clinton,"9,481","7,765",101,"13,514",33,"30,894",694,363,8,"1,169",8,"2,242","33,136"
Crawford,"2,462","3,276",27,"3,705",9,"9,479",152,157,2,292,0,603,"10,082"
Dallas,"13,712","19,352",347,"21,513",50,"54,974",946,"1,515",32,"2,218",7,"4,718","59,692"
Davis,"1,715","1,695",13,"1,388",3,"4,814",88,89,1,147,2,327,"5,141"
Decatur,"1,297","1,735",29,"1,324",7,"4,392",159,116,3,189,1,468,"4,860"
Delaware,"2,335","4,338",36,"4,636",9,"11,354",103,111,2,238,1,455,"11,809"
Des Moines,"10,241","6,622",132,"8,844",32,"25,871",829,414,12,"1,058",5,"2,318","28,189"
Dickinson,"2,396","5,828",59,"4,428",7,"12,718",161,245,3,383,2,794,"13,512"
Dubuque,"25,894","15,871",338,"21,933",88,"64,124","1,663",987,32,"1,989",19,"4,690","68,814"
Emmet,"1,697","1,840",17,"2,712",2,"6,268",113,120,1,305,1,540,"6,808"
Fayette,"3,377","3,994",44,"4,203",13,"11,631",171,108,2,264,2,547,"12,178"
