County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,867,2252,1540,20,4679,117,196,433,8,754,5433
Adams,474,1144,790,8,2416,56,78,253,0,387,2803
Allamakee,1950,4040,2265,39,8294,294,412,749,12,1467,9761
Appanoose,1683,3454,2152,57,7346,372,363,762,10,1507,8853
Audubon,874,1886,892,18,3670,94,180,277,4,555,4225
Benton,3773,6223,5946,111,16053,466,474,1459,28,2427,18480
Black Hawk,28091,20842,22633,588,72154,5494,2585,6984,207,15270,87424
Boone,4918,6299,5521,123,16861,622,641,1713,46,3022,19883
Bremer,3994,5648,5861,77,15580,567,477,1310,23,2377,17957
Buchanan,3308,3963,4781,59,12111,337,295,1340,14,1986,14097
Buena Vista,2495,4076,2907,68,9546,766,555,1294,20,2635,12181
Butler,1725,4541,2551,55,8872,191,345,742,11,1289,10161
Calhoun,1130,2771,1931,40,5872,152,217,474,13,856,6728
Carroll,3067,5137,4522,90,12816,407,482,1086,23,1998,14814
Cass,1399,4441,2233,44,8117,211,514,743,18,1486,9603
Cedar,3063,4435,3658,79,11235,327,356,839,26,1548,12783
Cerro Gordo,8123,8513,9342,157,26135,1217,941,2917,48,5123,31258
Cherokee,1179,4079,1745,26,7029,222,333,724,9,1288,8317
Chickasaw,1996,2775,2327,35,7133,242,195,706,12,1155,8288
Clarke,1247,2273,1551,32,5103,224,241,560,17,1042,6145
Clay,1851,5365,2694,76,9986,309,576,973,20,1878,11864
Clayton,2825,4251,3523,72,10671,325,365,783,15,1488,12159
Clinton,8513,9249,9808,171,27741,1603,917,3380,75,5975,33716
Crawford,1998,3537,2679,56,8270,496,384,914,22,1816,10086
Dallas,18279,22112,20693,488,61572,2315,2468,4865,166,9814,71386
Davis,1179,2191,1046,20,4436,156,217,312,11,696,5132
Decatur,1027,1866,1195,21,4109,269,208,321,15,813,4922
Delaware,2313,4701,3944,45,11003,256,290,696,17,1259,12262
Des Moines,8342,7218,6712,174,22446,1788,944,2513,58,5303,27749
Dickinson,2494,6339,3583,88,12504,374,661,968,30,2033,14537
Dubuque,23840,18701,17072,475,60088,3609,2175,4859,162,10805,70893
Emmet,1389,2058,1915,34,5396,270,285,759,7,1321,6717
Fayette,2980,4403,3441,62,10886,406,354,852,26,1638,12524
Floyd,2485,2959,3530,56,9030,540,351,1168,19,2078,11108
Franklin,1105,2922,1642,34,5703,166,240,497,6,909,6612
Fremont,815,2516,856,28,4215,165,295,350,15,825,5040
Greene,1446,2519,1610,48,5623,183,219,492,7,901,6524
Grundy,1491,4236,2215,47,7989,166,310,574,9,1059,9048
Guthrie,1514,3266,2320,47,7147,209,293,643,8,1153,8300
Hamilton,2096,4135,2398,55,8684,293,369,769,16,1447,10131
Hancock,1303,3585,1815,36,6739,180,291,564,14,1049,7788
Hardin,2317,4845,2701,58,9921,393,469,913,18,1793,11714
Harrison,1757,4576,2017,71,8421,115,201,211,11,538,8959
Henry,2425,5133,3533,73,11164,577,689,1647,38,2951,14115
Howard,1440,1756,2221,27,5444,171,140,527,9,847,6291
Humboldt,1042,2845,1909,29,5825,137,240,444,8,829,6654
