County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,724,2062,23,1203,2,4014,208,396,11,784,3,1402,5416
Adams,388,1046,7,660,1,2102,84,206,0,433,0,723,2825
Allamakee,1434,4080,27,1733,7,7281,479,808,20,1306,3,2616,9897
Appanoose,1264,3207,30,1592,5,6098,530,795,22,1316,9,2672,8770
Audubon,714,1730,16,728,3,3191,182,331,9,451,1,974,4165
Benton,2954,6426,74,4906,13,14373,758,982,47,2525,12,4324,18697
Black Hawk,20898,18649,367,17511,78,57503,10356,4784,256,12915,116,28427,85930
Boone,3969,5831,91,4860,17,14768,1051,1276,58,2935,12,5332,20100
Bremer,3270,5194,55,5107,12,13638,905,1000,25,2443,7,4380,18018
Buchanan,2758,3673,56,3814,5,10306,657,658,25,2428,5,3773,14079
Buena Vista,1620,3533,31,2046,13,7243,1421,1124,34,2148,13,4740,11983
Butler,1389,4184,33,2049,9,7664,387,778,27,1287,5,2484,10148
Calhoun,836,2754,21,1475,3,5089,266,497,12,817,4,1596,6685
Carroll,2345,5168,95,3690,14,11312,728,957,33,1919,7,3644,14956
Cass,1090,3940,26,1556,9,6621,398,991,22,1395,7,2813,9434
Cedar,2478,4243,63,3125,7,9916,668,735,26,1618,14,3061,12977
Cerro Gordo,6349,8406,131,7024,24,21934,2281,1768,69,5136,38,9292,31226
Cherokee,848,3865,26,1242,4,5985,373,669,13,1085,5,2145,8130
Chickasaw,1596,2594,18,1960,1,6169,396,470,20,1160,7,2053,8222
Clarke,886,2206,29,1066,6,4193,429,472,20,989,10,1920,6113
Clay,1434,4751,51,2046,13,8295,573,1199,37,1550,7,3366,11661
Clayton,2134,4529,45,2624,7,9339,616,842,22,1465,12,2957,12296
Clinton,6410,8474,115,7976,34,23009,2736,2004,86,5926,39,10791,33800
Crawford,1173,3537,34,1525,5,6274,947,860,26,1717,16,3566,9840
Dallas,16069,21540,321,19141,52,57123,4509,4594,223,9624,49,18999,76122
Davis,810,2360,20,683,4,3877,240,414,9,601,4,1268,5145
Decatur,688,1881,20,690,3,3282,403,424,11,671,5,1514,4796
Delaware,1922,4413,35,3270,7,9647,472,714,16,1512,7,2721,12368
Des Moines,6077,6452,107,5619,29,18284,3061,1914,95,4527,24,9621,27905
Dickinson,1969,6046,52,3101,9,11177,659,1266,47,1623,7,3602,14779
Dubuque,18426,17156,272,13921,62,49837,6430,4301,248,9315,72,20366,70203
Emmet,972,2181,20,1339,7,4519,417,481,20,1137,0,2055,6574
Fayette,2233,4425,36,2805,13,9512,714,734,26,1534,10,3018,12530
Floyd,1899,2686,31,2771,6,7393,752,623,29,1877,12,3293,10686
Franklin,818,2641,15,1163,3,4640,339,540,20,1033,6,1938,6578
Fremont,639,2248,14,686,3,3590,266,647,20,554,9,1496,5086
Greene,1065,2311,33,1383,8,4800,351,504,16,802,4,1677,6477
Grundy,1111,3933,31,1823,4,6902,362,694,17,1041,3,2117,9019
Guthrie,1254,3061,43,1915,3,6276,350,563,16,1136,1,2066,8342
Hamilton,1529,3860,29,2033,3,7454,582,744,23,1318,9,2676,10130
Hancock,984,3243,22,1370,3,5622,361,696,13,1087,12,2169,7791
Hardin,1796,4314,36,2038,10,8194,658,1081,27,1534,8,3308,11502
Harrison,1335,4195,51,1467,9,7057,403,756,24,801,11,1995,9052
Henry,1780,4596,50,2675,10,9111,733,1144,41,2329,11,4258,13369
Howard,1159,1599,20,1858,1,4637,292,363,13,1062,4,1734,6371
Humboldt,762,2655,21,1505,4,4947,258,541,14,932,4,1749,6696
Ida,505,2046,12,952,1,3516,176,437,5,697,3,1318,4834
Iowa,1949,4409,49,2927,6,9340,598,782,32,1729,10,3151,12491
Jackson,2977,4518,38,2915,8,10456,968,766,17,2393,10,4154,14610
Jasper,5281,8209,86,5571,15,19162,1897,1709,58,3940,18,7622,26784
Jefferson,2962,3127,55,1834,14,7992,1165,688,30,1455,17,3355,11347
Johnson,38726,14756,412,22400,133,76427,13738,4925,331,14460,131,33585,110012
Jones,2386,4366,42,3548,5,10347,614,838,26,2291,7,3776,14123
Keokuk,968,2702,25,1125,6,4826,393,578,11,886,1,1869,6695
Kossuth,1677,4425,39,2140,6,8287,454,773,22,1448,4,2701,10988
Lee,5062,5571,92,4356,13,15094,2197,1447,72,3763,25,7504,22598
Linn,42339,34950,778,37805,192,116064,14696,8295,597,21072,196,44856,160920
Louisa,945,2393,25,1434,0,4797,600,570,18,1324,6,2518,7315
Lucas,770,2455,16,1096,5,4342,281,601,13,821,2,1718,6060
Lyon,501,5640,11,783,2,6937,240,1031,9,615,3,1898,8835
Madison,1938,4606,71,2739,6,9360,549,1015,28,1509,8,3109,12469
Mahaska,1560,5985,71,2219,6,9841,849,1594,56,2177,10,4686,14527
Marion,3599,9691,101,5215,21,18627,1207,1959,58,3117,18,6359,24986
Marshall,4708,6736,91,4738,18,16291,2589,1563,68,3968,28,8216,24507
Mills,1371,4849,94,1525,15,7854,647,1425,62,1500,10,3644,11498
Mitchell,1169,2538,24,1615,1,5347,366,552,25,959,10,1912,7259
Monona,996,2379,32,1066,2,4475,245,420,14,512,7,1198,5673
