County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,054","1,921","2,060",8,"5,043",105,103,271,0,479,"5,522"
Adams,628,978,"1,194",3,"2,803",43,43,163,0,249,"3,052"
Allamakee,"2,151","4,223","3,184",9,"9,567",126,133,292,0,551,"10,118"
Appanoose,"2,486","2,835","3,032",7,"8,360",256,218,438,0,912,"9,272"
Audubon,"1,239","1,556","1,421",7,"4,223",72,76,176,0,324,"4,547"
Benton,"4,379","5,046","7,615",34,"17,074",294,204,599,2,"1,099","18,173"
Black Hawk,"29,286","20,688","32,128",321,"82,423","2,542","1,288","3,483",32,"7,345","89,768"
Boone,"5,233","5,558","7,101",47,"17,939",264,297,632,1,"1,194","19,133"
Bremer,"3,646","4,983","7,457",37,"16,123",370,275,760,3,"1,408","17,531"
Buchanan,"3,731","3,118","6,476",16,"13,341",215,147,520,0,882,"14,223"
Buena Vista,"2,907","4,046","4,750",18,"11,721",222,166,339,2,729,"12,450"
Butler,"1,709","4,524","3,500",12,"9,745",119,131,257,0,507,"10,252"
Calhoun,"1,359","2,375","2,656",14,"6,404",138,134,391,3,666,"7,070"
Carroll,"3,942","3,926","6,205",49,"14,122",231,208,590,1,"1,030","15,152"
Cass,"1,552","4,742","3,039",10,"9,343",153,300,491,1,945,"10,288"
Cedar,"3,127","3,707","4,665",28,"11,527",224,146,441,0,811,"12,338"
Cerro Gordo,"9,187","8,022","12,617",40,"29,866",665,471,"1,275",1,"2,412","32,278"
Cherokee,"1,875","3,207","3,055",16,"8,153",121,149,337,2,609,"8,762"
Chickasaw,"2,700","2,225","3,586",12,"8,523",139,112,338,0,589,"9,112"
Clarke,"1,541","1,801","2,241",10,"5,593",133,123,334,1,591,"6,184"
Clay,"2,392","4,511","4,251",12,"11,166",260,281,517,0,"1,058","12,224"
Clayton,"3,344","3,314","4,814",24,"11,496",226,188,488,1,903,"12,399"
Clinton,"10,234","7,315","13,257",44,"30,850","1,198",500,"1,681",5,"3,384","34,234"
Crawford,"2,609","3,161","3,482",7,"9,259",212,142,402,1,757,"10,016"
Dallas,"10,505","17,281","19,668",138,"47,592","1,285","1,650","3,100",5,"6,040","53,632"
Davis,"1,866","1,526","1,446",2,"4,840",137,80,206,1,424,"5,264"
Decatur,"1,493","1,618","1,611",9,"4,731",313,232,544,3,"1,092","5,823"
Delaware,"2,521","3,833","5,053",4,"11,411",138,140,374,0,652,"12,063"
Des Moines,"11,076","6,089","8,798",52,"26,015",917,425,"1,060",3,"2,405","28,420"
Dickinson,"2,400","5,153","4,553",23,"12,129",137,191,293,2,623,"12,752"
Dubuque,"25,204","15,236","22,855",175,"63,470","1,736",993,"2,163",17,"4,909","68,379"
Emmet,"1,946","1,652","2,883",8,"6,489",225,154,524,1,904,"7,393"
Fayette,"3,564","3,971","4,256",35,"11,826",204,107,289,2,602,"12,428"
Floyd,"3,132","2,622","4,827",10,"10,591",166,111,299,2,578,"11,169"
Franklin,"1,278","3,083","2,324",6,"6,691",87,103,256,1,447,"7,138"
