County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,963,"1,932",14,"2,078",5,"4,992",46,44,1,123,0,214,"5,206"
Adams,562,959,7,"1,184",1,"2,713",39,39,0,118,0,196,"2,909"
Allamakee,"2,028","4,188",21,"3,035",6,"9,278",148,145,2,332,0,627,"9,905"
Appanoose,"2,209","2,922",18,"2,974",9,"8,132",170,141,1,349,0,661,"8,793"
Audubon,924,"1,994",11,"1,235",5,"4,169",40,52,0,82,0,174,"4,343"
Benton,"3,921","5,887",64,"7,393",17,"17,282",166,180,4,414,0,764,"18,046"
Black Hawk,"29,227","21,389",416,"30,513",167,"81,712","2,103","1,151",44,"2,670",16,"5,984","87,696"
Boone,"5,156","5,837",84,"7,130",25,"18,232",234,272,5,556,0,"1,067","19,299"
Bremer,"3,793","5,230",57,"7,428",13,"16,521",210,185,6,493,1,895,"17,416"
Buchanan,"3,461","3,259",33,"6,492",5,"13,250",136,92,1,416,1,646,"13,896"
Buena Vista,"2,899","4,096",37,"4,425",21,"11,478",281,212,3,469,0,965,"12,443"
Butler,"1,671","4,491",25,"3,498",7,"9,692",71,98,0,185,0,354,"10,046"
Calhoun,"1,259","2,539",16,"2,669",6,"6,489",47,55,1,107,2,212,"6,701"
Carroll,"3,626","4,259",51,"5,973",16,"13,925",115,112,5,244,0,476,"14,401"
Cass,"1,429","4,707",25,"2,938",8,"9,107",99,202,2,297,0,600,"9,707"
Cedar,"3,035","3,873",50,"4,816",13,"11,787",113,114,5,226,1,459,"12,246"
Cerro Gordo,"8,624","8,221",65,"12,773",20,"29,703",402,286,2,799,3,"1,492","31,195"
Cherokee,"1,514","3,660",19,"2,758",5,"7,956",68,90,0,199,0,357,"8,313"
Chickasaw,"2,411","2,418",16,"3,356",9,"8,210",106,105,2,271,0,484,"8,694"
Clarke,"1,500","1,859",18,"2,261",5,"5,643",58,62,2,179,0,301,"5,944"
Clay,"1,863","5,607",37,"3,542",4,"11,053",144,206,0,359,1,710,"11,763"
Clayton,"3,294","3,545",35,"4,636",5,"11,515",157,125,0,272,1,555,"12,070"
Clinton,"9,639","7,653",73,"13,752",43,"31,160",600,268,7,940,3,"1,818","32,978"
Crawford,"2,461","3,271",19,"3,733",7,"9,491",132,136,2,252,0,522,"10,013"
Dallas,"12,671","19,942",305,"21,903",53,"54,874",698,"1,022",11,"1,650",4,"3,385","58,259"
Davis,"1,649","1,758",8,"1,464",3,"4,882",74,72,0,126,1,273,"5,155"
Decatur,"1,326","1,763",22,"1,409",6,"4,526",146,96,3,172,1,418,"4,944"
Delaware,"2,265","4,377",28,"4,732",8,"11,410",94,94,2,205,1,396,"11,806"
Des Moines,"10,264","6,629",108,"9,025",40,"26,066",726,349,8,885,4,"1,972","28,038"
Dickinson,"2,360","5,526",50,"4,699",8,"12,643",153,226,1,349,2,731,"13,374"
Dubuque,"25,191","16,309",285,"22,441",91,"64,317","1,434",790,19,"1,715",13,"3,971","68,288"
Emmet,"1,723","1,831",13,"2,781",2,"6,350",104,96,0,275,1,476,"6,826"
Fayette,"3,336","4,096",38,"4,342",13,"11,825",144,73,2,210,2,431,"12,256"
Floyd,"2,890","2,702",25,"4,762",10,"10,389",207,106,5,337,1,656,"11,045"
Franklin,"1,167","3,107",15,"2,109",3,"6,401",60,86,0,161,1,308,"6,709"
Fremont,990,"2,230",13,"1,481",7,"4,721",70,89,0,152,0,311,"5,032"
Greene,"1,578","2,419",26,"2,188",4,"6,215",64,69,3,158,1,295,"6,510"
Grundy,"1,369","4,049",21,"3,199",5,"8,643",51,106,3,179,2,341,"8,984"
Guthrie,"1,587","2,752",32,"2,995",3,"7,369",67,100,1,203,0,371,"7,740"
Hamilton,"2,270","3,966",30,"3,500",11,"9,777",100,110,3,262,0,475,"10,252"
Hancock,"1,423","3,291",10,"2,785",7,"7,516",57,79,2,211,0,349,"7,865"
Hardin,"2,452","4,669",41,"3,963",11,"11,136",118,160,2,259,1,540,"11,676"
Harrison,"2,060","3,783",36,"2,717",14,"8,610",29,44,1,72,1,147,"8,757"
Henry,"2,576","4,995",46,"4,911",9,"12,537",273,254,2,587,1,"1,117","13,654"
Howard,"1,682","1,455",13,"2,712",1,"5,863",79,49,0,186,0,314,"6,177"
Humboldt,"1,179","2,635",13,"2,462",3,"6,292",62,84,2,159,0,307,"6,599"
Ida,761,"2,211",15,"1,713",3,"4,703",28,56,0,107,0,191,"4,894"
Iowa,"2,548","3,931",43,"4,941",6,"11,469",106,134,0,272,0,512,"11,981"
Jackson,"4,822","3,141",28,"5,833",8,"13,832",211,123,2,411,1,748,"14,580"
Jasper,"8,168","7,359",70,"8,938",20,"24,555",285,228,2,517,1,"1,033","25,588"
Jefferson,"3,886","3,310",50,"3,064",47,"10,357",274,128,7,342,8,759,"11,116"
Johnson,"42,212","18,750",639,"30,138",221,"91,960","5,911","2,777",101,"6,609",54,"15,452","107,412"
Jones,"3,085","3,775",22,"6,136",7,"13,025",108,87,2,326,1,524,"13,549"
Keokuk,"1,811","2,368",14,"2,272",4,"6,469",115,82,0,172,0,369,"6,838"
Kossuth,"2,942","3,497",21,"4,385",9,"10,854",123,133,1,308,0,565,"11,419"
Lee,"8,919","4,431",85,"8,131",23,"21,589",556,270,11,919,2,"1,758","23,347"
Linn,"49,939","38,617","1,058","52,185",323,"142,122","2,827","1,568",65,"3,558",25,"8,043","150,165"
