County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,752,2213,23,1370,3,4361,161,300,10,621,3,1095,5456
Adams,410,1184,9,811,1,2415,58,104,0,293,0,455,2870
Allamakee,1608,4493,43,2209,10,8363,325,507,12,924,3,1771,10134
Appanoose,1446,3712,45,2126,10,7339,339,444,11,864,5,1663,9002
Audubon,779,1911,22,903,5,3620,108,176,8,303,0,595,4215
Benton,3108,6766,81,5490,16,15461,577,721,37,2062,8,3405,18866
Black Hawk,23557,20867,541,21339,108,66412,8086,3563,183,10321,90,22243,88655
Boone,4318,6655,118,6284,15,17390,658,695,36,1807,9,3205,20595
Bremer,3579,6005,74,6412,14,16084,624,516,15,1454,4,2613,18697
Buchanan,2877,4050,60,4367,7,11361,514,510,19,1921,3,2967,14328
Buena Vista,2069,4103,46,2723,16,8957,989,661,17,1570,12,3249,12206
Butler,1510,4701,40,2698,12,8961,237,411,15,803,2,1468,10429
Calhoun,898,2959,30,1668,4,5559,206,374,11,655,4,1250,6809
Carroll,2548,5683,104,4428,15,12778,461,528,22,1241,5,2257,15035
Cass,1266,4561,40,2146,13,8026,254,547,15,875,4,1695,9721
Cedar,2801,4847,80,4039,13,11780,394,401,17,1012,10,1834,13614
Cerro Gordo,6870,9159,159,8382,36,24606,1766,1321,46,4078,27,7238,31844
Cherokee,961,4212,39,1630,3,6845,261,394,9,763,5,1432,8277
Chickasaw,1704,2938,29,2365,1,7037,247,248,9,766,4,1274,8311
Clarke,1038,2512,42,1487,6,5085,259,268,15,670,7,1219,6304
Clay,1556,5197,68,2429,13,9263,451,888,31,1258,6,2634,11897
Clayton,2324,5039,48,3229,13,10653,413,475,19,914,5,1826,12479
Clinton,6952,9400,132,9398,44,25926,2059,1484,70,4795,26,8434,34360
Crawford,1363,3762,40,1883,6,7054,775,673,20,1435,16,2919,9973
Dallas,18494,24681,515,23422,78,67190,3137,3152,155,7078,30,13552,80742
Davis,844,2506,25,814,3,4192,211,316,8,499,4,1038,5230
Decatur,793,2236,30,1079,6,4144,325,273,6,434,4,1042,5186
Delaware,2093,5000,48,4046,12,11199,274,345,9,850,4,1482,12681
Des Moines,6590,7144,161,6320,35,20250,2433,1456,73,3703,22,7687,27937
Dickinson,2197,6717,79,3779,13,12785,426,731,31,1018,5,2211,14996
Dubuque,21048,20517,477,17263,91,59396,4214,2573,162,6111,42,13102,72498
Emmet,1148,2486,26,1774,8,5442,281,294,10,784,0,1369,6811
Fayette,2471,4983,52,3609,14,11129,469,412,17,972,9,1879,13008
Floyd,2045,2995,32,3163,9,8244,609,453,22,1547,8,2639,10883
Franklin,940,2946,25,1561,6,5478,206,281,9,677,3,1176,6654
Fremont,707,2609,24,950,8,4298,184,395,17,400,4,1000,5298
Greene,1131,2517,41,1612,12,5313,260,342,12,620,1,1235,6548
Grundy,1285,4378,53,2294,9,8019,196,322,12,618,1,1149,9168
Guthrie,1362,3297,49,2213,3,6924,258,403,13,887,0,1561,8485
Hamilton,1751,4320,41,2511,5,8628,387,406,13,849,6,1661,10289
Hancock,1116,3666,48,1776,6,6612,236,368,10,699,5,1318,7930
Hardin,1897,4687,51,2375,14,9024,534,863,22,1286,6,2711,11735
Harrison,1584,4914,81,2217,14,8810,222,364,13,405,4,1008,9818
Henry,2084,5204,67,3530,15,10900,447,645,31,1468,6,2597,13497
Howard,1259,1845,22,2332,4,5462,177,186,11,623,2,999,6461
Humboldt,809,2823,25,1722,4,5383,191,409,10,755,3,1368,6751
Ida,581,2309,12,1245,2,4149,100,226,5,467,2,800,4949
Iowa,2102,4654,62,3325,6,10149,450,592,28,1395,8,2473,12622
Jackson,3335,4977,49,3828,12,12201,592,429,7,1592,5,2625,14826
Jasper,5994,9284,135,7150,23,22586,1140,935,39,2498,9,4621,27207
Jefferson,3163,3412,74,2269,17,8935,926,526,25,1191,14,2682,11617
Johnson,44659,17906,598,30679,203,94045,10774,3764,241,11044,104,25927,119972
Jones,2537,4793,54,4187,5,11576,450,563,21,1754,6,2794,14370
Keokuk,1087,3068,32,1551,7,5745,251,297,7,550,1,1106,6851
Kossuth,1820,4840,58,2643,9,9370,294,435,16,941,3,1689,11059
Lee,5509,6233,105,5459,21,17327,1745,1131,49,3095,23,6043,23370
Linn,46469,38837,1105,43272,242,129925,12009,6667,469,17175,165,36485,166410
Louisa,1156,2723,35,1979,4,5897,373,354,10,874,4,1615,7512
Lucas,843,2730,25,1328,5,4931,206,414,8,646,1,1275,6206
Lyon,568,6150,15,985,2,7720,173,598,6,441,3,1221,8941
Madison,2095,5126,88,3206,8,10523,400,686,22,1168,6,2282,12805
Mahaska,1688,6377,83,2600,12,10760,713,1260,45,1842,9,3869,14629
Marion,3868,10475,113,6233,22,20711,930,1467,46,2464,15,4922,25633
Marshall,5359,7388,119,5837,28,18731,1951,1151,55,3168,19,6344,25075
Mills,1538,5290,116,1819,19,8782,523,1126,51,1256,7,2963,11745
Mitchell,1321,2912,32,2116,8,6389,231,278,17,571,4,1101,7490
Monona,1117,2746,43,1363,4,5273,154,216,7,288,4,669,5942
Monroe,868,2433,22,1316,2,4641,184,251,7,370,2,814,5455
Montgomery,933,3367,39,1343,6,5688,244,558,14,878,10,1704,7392
Muscatine,5564,8096,155,7024,50,20889,2419,1725,86,4430,41,8701,29590
O'Brien,930,5701,53,1677,9,8370,282,583,15,701,4,1585,9955
Osceola,320,2429,13,788,1,3551,93,278,4,354,2,731,4282
Page,1122,5179,45,1709,8,8063,428,960,26,1140,5,2559,10622
Palo Alto,1388,2520,30,1565,7,5510,239,219,7,526,3,994,6504
Plymouth,2348,8852,68,4448,13,15729,564,992,32,1391,14,2993,18722
Pocahontas,656,2253,35,1140,6,4090,149,232,6,419,5,811,4901
Polk,102204,80964,2147,80125,433,265873,28233,14242,924,32815,310,76524,342397
Pottawattamie,12372,21844,463,13273,112,48064,4693,5103,305,8516,108,18725,66789
Poweshiek,3166,4006,47,4267,15,11501,1481,441,25,1386,3,3336,14837
Ringgold,466,1929,12,554,2,2963,84,165,2,177,2,430,3393
Sac,802,3408,16,1553,5,5784,211,488,9,818,5,1531,7315
Scott,29107,32293,706,33986,175,96267,10888,6370,392,19049,113,36812,133079
Shelby,1302,4123,42,1862,8,7337,258,458,19,683,3,1421,8758
Sioux,1531,15566,66,3743,19,20925,449,1449,29,1322,4,3253,24178
Story,17897,16752,489,21054,131,56323,5826,3663,272,8253,81,18095,74418
Tama,2074,4062,43,2712,16,8907,640,504,14,1517,4,2679,11586
Taylor,450,2017,23,735,4,3229,129,327,16,416,2,890,4119
Union,1212,3324,39,2264,4,6843,276,336,20,936,4,1572,8415
Van Buren,568,2400,25,1106,8,4107,131,265,8,465,2,871,4978
Wapello,4655,6024,91,4757,26,15553,1852,1280,46,2928,27,6133,21686
Warren,8942,14280,237,10401,44,33904,1823,2181,106,3878,22,8010,41914
Washington,2732,5967,71,3673,17,12460,560,897,42,1750,8,3257,15717
Wayne,517,2112,23,837,2,3491,123,182,4,258,1,568,4059
Webster,4907,8692,139,5757,25,19520,1454,1154,50,2941,24,5623,25143
Winnebago,1208,2869,26,1958,2,6063,395,442,18,1125,3,1983,8046
Winneshiek,3874,4777,42,4549,19,13261,811,332,17,1105,11,2276,15537
Woodbury,11491,19079,316,11840,75,42801,6313,4999,178,9933,67,21490,64291
Worth,1029,2188,28,1489,4,4738,177,194,8,499,1,879,5617
Wright,1231,3412,37,1942,8,6630,294,383,8,701,3,1389,8019
Totals,"514,617","704,548","12,426","558,699","2,668","1,792,958","141,987","105,966","5,196","239,788","1,733","494,670","2,287,628"
