County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,004","1,957","2,057",16,"5,034",40,30,85,0,155,"5,189"
Adams,583,984,"1,158",7,"2,732",37,36,115,0,188,"2,920"
Allamakee,"2,151","4,288","3,157",25,"9,621",71,87,158,1,317,"9,938"
Appanoose,"2,376","2,975","3,058",23,"8,432",80,104,181,1,366,"8,798"
Audubon,957,"2,034","1,251",15,"4,257",31,48,58,0,137,"4,394"
Benton,"4,046","5,986","7,255",75,"17,362",126,137,314,2,579,"17,941"
Black Hawk,"30,570","22,040","30,909",599,"84,118","1,472",969,"1,766",51,"4,258","88,376"
Boone,"5,312","5,868","6,994",97,"18,271",196,257,461,4,918,"19,189"
Bremer,"3,961","5,362","7,412",71,"16,806",128,143,307,6,584,"17,390"
Buchanan,"3,603","3,328","6,428",36,"13,395",104,75,304,1,484,"13,879"
Buena Vista,"3,015","4,163","4,592",49,"11,819",159,160,247,2,568,"12,387"
Butler,"1,720","4,584","3,506",31,"9,841",64,93,155,0,312,"10,153"
Calhoun,"1,303","2,580","2,636",19,"6,538",68,60,126,4,258,"6,796"
Carroll,"3,732","4,239","6,099",64,"14,134",101,96,188,5,390,"14,524"
Cass,"1,500","4,810","2,947",30,"9,287",69,155,222,2,448,"9,735"
Cedar,"3,123","3,942","4,801",61,"11,927",85,93,157,6,341,"12,268"
Cerro Gordo,"8,964","8,422","12,635",83,"30,104",329,256,603,2,"1,190","31,294"
Cherokee,"1,575","3,737","2,747",25,"8,084",49,75,135,0,259,"8,343"
Chickasaw,"2,542","2,476","3,411",28,"8,457",62,64,144,1,271,"8,728"
Clarke,"1,551","1,872","2,258",24,"5,705",76,82,181,0,339,"6,044"
Clay,"1,946","5,767","3,518",38,"11,269",100,177,254,1,532,"11,801"
Clayton,"3,450","3,580","4,636",40,"11,706",101,94,176,2,373,"12,079"
Clinton,"10,042","7,769","13,543",118,"31,472",439,244,654,4,"1,341","32,813"
Crawford,"2,515","3,331","3,656",25,"9,527",126,133,211,2,472,"9,999"
Dallas,"12,772","19,833","20,450",308,"53,363",680,"1,048","1,488",14,"3,230","56,593"
Davis,"1,702","1,760","1,458",11,"4,931",87,74,121,2,284,"5,215"
Decatur,"1,458","1,832","1,498",26,"4,814",57,56,69,2,184,"4,998"
Delaware,"2,349","4,462","4,668",31,"11,510",73,78,165,2,318,"11,828"
Des Moines,"10,605","6,634","8,896",136,"26,271",536,333,679,7,"1,555","27,826"
Dickinson,"2,436","5,537","4,728",48,"12,749",114,202,249,3,568,"13,317"
Dubuque,"26,067","16,513","21,958",356,"64,894","1,099",660,"1,269",23,"3,051","67,945"
Emmet,"1,800","1,847","2,826",20,"6,493",78,78,205,1,362,"6,855"
Fayette,"3,512","4,196","4,390",53,"12,151",80,60,139,3,282,"12,433"
Floyd,"2,991","2,754","4,753",34,"10,532",161,102,254,5,522,"11,054"
Franklin,"1,197","3,180","2,144",16,"6,537",47,68,116,1,232,"6,769"
Fremont,"1,028","2,282","1,538",17,"4,865",49,54,86,0,189,"5,054"
Greene,"1,607","2,427","2,247",27,"6,308",45,62,111,3,221,"6,529"
Grundy,"1,402","4,104","3,091",28,"8,625",45,93,136,2,276,"8,901"
Guthrie,"1,691","2,862","3,012",36,"7,601",102,129,263,0,494,"8,095"
Hamilton,"2,379","4,039","3,469",39,"9,926",75,101,182,1,359,"10,285"
Hancock,"1,470","3,310","2,811",20,"7,611",43,69,155,1,268,"7,879"
Hardin,"2,537","4,707","3,930",49,"11,223",90,140,198,5,433,"11,656"
Harrison,"2,111","3,855","2,701",51,"8,718",31,64,64,2,161,"8,879"
Henry,"2,763","5,174","5,001",52,"12,990",196,202,376,2,776,"13,766"
Howard,"1,751","1,482","2,721",15,"5,969",40,35,120,0,195,"6,164"
Humboldt,"1,196","2,687","2,439",15,"6,337",52,69,120,1,242,"6,579"
Ida,803,"2,277","1,698",17,"4,795",21,51,78,0,150,"4,945"
