County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,994,"2,017","2,043",28,"5,082",40,41,101,2,184,"5,266"
Adams,567,"1,008","1,118",9,"2,702",26,30,68,1,125,"2,827"
Allamakee,"2,116","4,092","3,089",38,"9,335",115,110,252,3,480,"9,815"
Appanoose,"2,220","2,990","2,925",38,"8,173",132,131,295,3,561,"8,734"
Audubon,962,"1,934","1,225",20,"4,141",27,31,58,0,116,"4,257"
Benton,"3,978","5,759","7,428",104,"17,269",134,138,280,7,559,"17,828"
Black Hawk,"30,212","21,056","30,824",842,"82,934","1,754","1,091","2,223",51,"5,119","88,053"
Boone,"5,246","5,853","7,178",168,"18,445",181,203,431,7,822,"19,267"
Bremer,"4,019","5,160","7,443",104,"16,726",181,167,411,9,768,"17,494"
Buchanan,"3,495","3,219","6,473",54,"13,241",107,62,325,3,497,"13,738"
Buena Vista,"2,919","4,104","4,360",71,"11,454",249,175,390,2,816,"12,270"
Butler,"1,713","4,530","3,470",51,"9,764",49,84,147,0,280,"10,044"
Calhoun,"1,297","2,529","2,564",43,"6,433",32,61,79,3,175,"6,608"
Carroll,"3,597","4,323","5,952",82,"13,954",87,82,175,5,349,"14,303"
Cass,"1,461","4,645","2,925",41,"9,072",89,194,273,0,556,"9,628"
Cedar,"3,171","3,845","4,921",78,"12,015",79,93,166,6,344,"12,359"
Cerro Gordo,"8,625","8,097","12,826",121,"29,669",303,252,636,8,"1,199","30,868"
Cherokee,"1,491","3,688","2,738",44,"7,961",49,71,162,1,283,"8,244"
Chickasaw,"2,385","2,412","3,340",31,"8,168",78,83,209,1,371,"8,539"
Clarke,"1,470","1,997","2,205",32,"5,704",41,50,130,2,223,"5,927"
Clay,"1,974","5,453","3,576",55,"11,058",108,174,278,3,563,"11,621"
Clayton,"3,197","3,687","4,651",55,"11,590",108,102,169,2,381,"11,971"
Clinton,"9,461","7,824","13,783",153,"31,221",494,247,859,13,"1,613","32,834"
Crawford,"2,471","3,296","3,720",37,"9,524",57,65,128,0,250,"9,774"
Dallas,"14,761","20,346","22,999",547,"58,653",484,801,"1,221",28,"2,534","61,187"
Davis,"1,681","1,745","1,424",18,"4,868",62,56,92,3,213,"5,081"
Decatur,"1,311","1,782","1,416",32,"4,541",126,85,150,4,365,"4,906"
Delaware,"2,296","4,349","4,769",53,"11,467",65,71,158,3,297,"11,764"
Des Moines,"10,261","6,716","9,144",180,"26,301",497,251,650,14,"1,412","27,713"
Dickinson,"2,459","5,898","4,571",79,"13,007",106,173,289,4,572,"13,579"
Dubuque,"26,016","16,245","22,838",508,"65,607","1,104",692,"1,362",31,"3,189","68,796"
Emmet,"1,687","1,872","2,720",29,"6,308",72,88,202,1,363,"6,671"
Fayette,"3,378","4,027","4,399",61,"11,865",140,79,199,4,422,"12,287"
Floyd,"2,818","2,698","4,837",46,"10,399",168,98,291,5,562,"10,961"
Franklin,"1,200","2,996","2,130",32,"6,358",45,69,114,0,228,"6,586"
Fremont,"1,024","2,368","1,401",25,"4,818",63,94,130,1,288,"5,106"
Greene,"1,650","2,369","2,217",46,"6,282",43,58,118,3,222,"6,504"
Grundy,"1,433","3,959","3,139",46,"8,577",38,93,107,3,241,"8,818"
Guthrie,"1,624","2,868","3,057",52,"7,601",42,61,114,0,217,"7,818"
Hamilton,"2,310","3,932","3,511",62,"9,815",78,82,190,1,351,"10,166"
Hancock,"1,405","3,340","2,721",33,"7,499",50,66,145,2,263,"7,762"
Hardin,"2,510","4,665","3,820",71,"11,066",83,144,187,1,415,"11,481"
Harrison,"2,070","3,857","2,658",69,"8,654",21,45,46,1,113,"8,767"
Henry,"2,648","5,034","4,906",68,"12,656",194,203,407,4,808,"13,464"
Howard,"1,634","1,516","2,703",23,"5,876",69,42,146,0,257,"6,133"
Humboldt,"1,208","2,709","2,357",33,"6,307",41,69,123,2,235,"6,542"
Ida,769,"2,193","1,711",25,"4,698",24,43,68,0,135,"4,833"
Iowa,"2,550","4,099","4,896",81,"11,626",98,114,206,0,418,"12,044"
Jackson,"4,828","3,140","6,057",38,"14,063",149,83,281,1,514,"14,577"
Jasper,"8,108","7,547","9,221",124,"25,000",202,165,357,2,726,"25,726"
Jefferson,"4,216","3,214","2,986",104,"10,520",213,95,258,8,574,"11,094"
Johnson,"45,456","18,501","32,311",971,"97,239","3,298","1,396","3,118",100,"7,912","105,151"
Jones,"3,075","3,984","6,042",41,"13,142",93,91,262,5,451,"13,593"
Keokuk,"1,776","2,406","2,283",23,"6,488",68,57,111,0,236,"6,724"
Kossuth,"2,974","3,482","4,341",41,"10,838",68,97,173,2,340,"11,178"
Lee,"8,738","4,566","8,239",147,"21,690",396,216,678,14,"1,304","22,994"
Linn,"52,660","38,277","53,959","1,688","146,584","1,543",964,"1,869",71,"4,447","151,031"
Louisa,"1,665","2,408","2,698",31,"6,802",56,53,122,2,233,"7,035"
Lucas,"1,239","2,314","2,026",22,"5,601",47,71,115,1,234,"5,835"
Lyon,783,"5,721","1,563",18,"8,085",54,115,113,3,285,"8,370"
Madison,"2,645","4,355","3,974",83,"11,057",92,159,239,3,493,"11,550"
Mahaska,"2,423","7,005","4,315",105,"13,848",188,204,360,5,757,"14,605"
Marion,"5,076","9,751","7,708",124,"22,659",247,331,474,8,"1,060","23,719"
Marshall,"7,175","7,306","8,696",173,"23,350",342,249,572,9,"1,172","24,522"
Mills,"1,985","5,141","3,038",114,"10,278",55,80,102,3,240,"10,518"
Mitchell,"1,595","2,534","2,763",30,"6,922",44,38,107,1,190,"7,112"
Monona,"1,592","2,102","2,168",40,"5,902",70,79,151,3,303,"6,205"
Monroe,"1,436","1,748","1,586",20,"4,790",31,45,82,1,159,"4,949"
Montgomery,"1,090","3,520","2,311",37,"6,958",51,114,138,3,306,"7,264"
Muscatine,"7,908","7,961","10,662",172,"26,703",375,288,628,9,"1,300","28,003"
O'Brien,"1,146","5,742","2,452",43,"9,383",77,123,151,4,355,"9,738"
Osceola,456,"2,491","1,117",13,"4,077",15,40,55,1,111,"4,188"
Page,"1,539","4,946","2,954",59,"9,498",101,183,279,3,566,"10,064"
Palo Alto,"1,857","1,900","2,284",32,"6,073",55,33,99,0,187,"6,260"
Plymouth,"3,035","8,423","5,467",102,"17,027",105,216,234,3,558,"17,585"
