County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,707,2021,20,1184,3,3935,220,417,11,809,3,1460,5395
Adams,387,1041,6,631,2,2067,95,206,0,445,0,746,2813
Allamakee,1591,3603,22,1864,5,7085,498,873,20,1350,5,2746,9831
Appanoose,1294,3056,29,1564,5,5948,565,817,23,1361,9,2775,8723
Audubon,726,1709,13,720,3,3171,181,340,7,460,2,990,4161
Benton,3146,5840,62,5048,13,14109,785,1018,50,2641,13,4507,18616
Black Hawk,20935,18608,345,16992,76,56956,10561,4854,261,13137,118,28931,85887
Boone,4058,5735,79,4593,17,14482,1096,1322,57,2996,13,5484,19966
Bremer,3290,5168,49,4923,11,13441,930,1010,28,2488,7,4463,17904
Buchanan,2715,3680,42,3720,4,10161,686,677,26,2483,7,3879,14040
Buena Vista,1586,3460,30,1928,11,7015,1500,1192,35,2208,16,4951,11966
Butler,1403,4124,33,1989,9,7558,390,821,26,1325,5,2567,10125
Calhoun,882,2516,25,1556,2,4981,274,521,14,849,5,1663,6644
Carroll,2429,4831,71,3714,9,11054,767,996,31,1991,7,3792,14846
Cass,1096,3912,22,1510,8,6548,414,1010,23,1434,8,2889,9437
Cedar,2532,4060,59,3056,9,9716,683,756,30,1658,14,3141,12857
Cerro Gordo,6402,7857,86,7064,21,21430,2336,1815,70,5292,38,9551,30981
Cherokee,892,3600,18,1304,3,5817,391,734,13,1120,6,2264,8081
Chickasaw,1630,2521,16,1902,1,6070,407,488,20,1192,8,2115,8185
Clarke,947,2049,23,1143,5,4167,436,485,19,1010,11,1961,6128
Clay,1438,4687,43,1994,15,8177,598,1222,38,1598,6,3462,11639
Clayton,2327,3912,44,2829,8,9120,649,874,25,1540,12,3100,12220
Clinton,6445,8350,103,7509,24,22431,2862,2068,90,6146,38,11204,33635
Crawford,1305,3032,27,1702,6,6072,1012,916,27,1784,15,3754,9826
Dallas,15854,21461,321,18274,47,55957,4389,4522,216,9630,50,18807,74764
Davis,972,1985,13,787,4,3761,265,446,9,649,5,1374,5135
Decatur,741,1726,16,773,3,3259,416,446,12,684,5,1563,4822
Delaware,1922,4342,32,3180,9,9485,501,735,17,1562,7,2822,12307
Des Moines,6158,6401,103,5127,27,17816,3184,1960,96,4676,26,9942,27758
Dickinson,2005,5895,44,2950,9,10903,679,1312,53,1687,9,3740,14643
Dubuque,18651,16693,257,13339,54,48994,6659,4444,253,9620,78,21054,70048
Emmet,1053,1874,14,1419,8,4368,427,511,21,1185,0,2144,6512
Fayette,2361,4036,30,2832,11,9270,764,811,28,1627,13,3243,12513
Floyd,1915,2683,34,2726,4,7362,772,622,27,1923,11,3355,10717
Franklin,830,2620,10,1133,3,4596,344,544,21,1057,7,1973,6569
Fremont,647,2135,8,663,4,3457,280,680,22,588,9,1579,5036
Greene,1089,2240,34,1325,9,4697,366,522,17,834,5,1744,6441
Grundy,1157,3752,29,1862,4,6804,383,724,17,1071,3,2198,9002
Guthrie,1248,3016,37,1839,3,6143,364,583,16,1176,1,2140,8283
Hamilton,1593,3634,28,2011,3,7269,599,803,24,1377,9,2812,10081
Hancock,1002,3194,21,1324,3,5544,367,709,14,1097,12,2199,7743
Hardin,1809,4228,37,2005,6,8085,673,1119,28,1578,8,3406,11491
Harrison,1369,4042,45,1502,6,6964,430,820,26,834,12,2122,9086
Henry,1859,4475,46,2598,8,8986,753,1175,44,2376,11,4359,13345
Howard,1171,1571,19,1780,1,4542,308,377,13,1093,4,1795,6337
Humboldt,809,2555,18,1503,3,4888,261,549,14,941,4,1769,6657
Ida,530,1978,7,934,1,3450,183,461,5,729,3,1381,4831
Iowa,1970,4229,39,2930,7,9175,618,818,32,1779,10,3257,12432
Jackson,3348,3873,38,2991,7,10257,1017,803,17,2457,10,4304,14561
Jasper,5497,7658,85,5521,15,18776,1953,1797,58,4043,18,7869,26645
Jefferson,3041,3040,47,1802,15,7945,1180,717,32,1474,17,3420,11365
Johnson,38910,14842,396,21413,125,75686,14080,5089,345,14869,130,34513,110199
Jones,2390,4343,31,3445,5,10214,626,852,28,2341,8,3855,14069
Keokuk,1070,2417,19,1214,6,4726,416,615,11,927,2,1971,6697
Kossuth,1814,4059,24,2239,6,8142,473,807,24,1514,4,2822,10964
Lee,5275,5029,83,4321,9,14717,2294,1499,77,3875,28,7773,22490
Linn,42508,34830,733,35412,183,113666,15325,8710,628,21860,204,46727,160393
Louisa,971,2295,19,1378,0,4663,633,602,17,1375,6,2633,7296
Lucas,812,2281,18,1182,5,4298,290,601,12,841,2,1746,6044
Lyon,541,5297,11,832,1,6682,254,1157,10,645,3,2069,8751
Madison,2023,4382,66,2727,5,9203,573,1032,28,1558,9,3200,12403
Mahaska,1584,5932,67,2160,5,9748,864,1623,54,2214,11,4766,14514
Marion,3647,9279,88,5042,19,18075,1263,2011,65,3248,18,6605,24680
Marshall,4658,6639,90,4404,14,15805,2700,1641,66,4114,28,8549,24354
Mills,1362,4606,71,1507,12,7558,668,1509,64,1570,12,3823,11381
Mitchell,1214,2386,18,1654,1,5273,380,559,24,1001,10,1974,7247
Monona,1033,2215,30,1090,3,4371,258,451,14,525,7,1255,5626
Monroe,810,1915,12,1076,0,3813,304,445,15,677,4,1445,5258
Montgomery,755,2782,23,861,4,4425,413,967,23,1281,12,2696,7121
Muscatine,4995,7168,94,5278,36,17571,3173,2250,116,5582,51,11172,28743
O'Brien,826,4962,40,1275,9,7112,412,1056,26,1030,6,2530,9642
Osceola,275,2121,8,550,1,2955,141,521,5,557,4,1228,4183
Page,1100,4468,30,1500,4,7102,528,1257,38,1402,9,3234,10336
Palo Alto,1214,2092,15,1168,3,4492,442,462,11,894,5,1814,6306
Plymouth,1985,7518,47,3201,10,12761,948,1947,52,2342,19,5308,18069
Pocahontas,594,2023,26,943,2,3588,219,391,10,624,7,1251,4839
Polk,93702,73981,1630,63447,337,233097,36106,18902,1248,41600,388,98244,331341
Pottawattamie,10589,18876,311,9871,83,39730,6275,6808,402,10827,137,24449,64179
Poweshiek,2774,3550,34,3228,11,9597,1746,777,38,2074,6,4641,14238
Ringgold,422,1712,8,394,3,2539,120,321,2,288,2,733,3272
Sac,796,3108,10,1322,5,5241,270,676,9,986,6,1947,7188
Scott,25991,28658,466,27491,112,82718,13688,8122,495,23254,159,45718,128436
Shelby,1158,3607,32,1444,4,6245,443,807,19,1068,6,2343,8588
Sioux,1310,13722,30,2722,9,17793,716,2753,45,2057,13,5584,23377
Story,15910,13945,347,14102,81,44385,7668,5293,386,11612,107,25066,69451
Tama,2073,3336,33,2486,13,7941,851,673,21,1904,5,3454,11395
