County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,057","1,929","2,069",8,"5,063",100,99,268,0,467,"5,530"
Adams,625,975,"1,196",3,"2,799",43,43,162,0,248,"3,047"
Allamakee,"2,158","4,236","3,210",10,"9,614",122,127,289,0,538,"10,152"
Appanoose,"2,478","2,836","3,050",7,"8,371",254,213,433,0,900,"9,271"
Audubon,"1,238","1,557","1,421",7,"4,223",71,74,176,0,321,"4,544"
Benton,"4,372","5,043","7,635",33,"17,083",289,204,589,2,"1,084","18,167"
Black Hawk,"29,242","20,697","32,167",324,"82,430","2,543","1,273","3,450",33,"7,299","89,729"
Boone,"5,226","5,565","7,133",49,"17,973",262,288,618,1,"1,169","19,142"
Bremer,"3,658","5,022","7,582",39,"16,301",367,275,756,3,"1,401","17,702"
Buchanan,"3,726","3,104","6,488",16,"13,334",214,146,513,0,873,"14,207"
Buena Vista,"2,910","4,049","4,756",18,"11,733",218,166,339,2,725,"12,458"
Butler,"1,707","4,507","3,511",12,"9,737",117,129,255,0,501,"10,238"
Calhoun,"1,354","2,372","2,657",15,"6,398",136,134,387,2,659,"7,057"
Carroll,"3,934","3,930","6,227",48,"14,139",232,206,586,1,"1,025","15,164"
Cass,"1,542","4,745","3,053",12,"9,352",152,299,489,1,941,"10,293"
Cedar,"3,127","3,708","4,680",29,"11,544",220,142,434,1,797,"12,341"
Cerro Gordo,"9,153","8,013","12,666",46,"29,878",661,463,"1,265",1,"2,390","32,268"
Cherokee,"1,865","3,198","3,068",17,"8,148",121,149,335,2,607,"8,755"
Chickasaw,"2,698","2,224","3,583",12,"8,517",137,111,336,0,584,"9,101"
Clarke,"1,534","1,805","2,251",10,"5,600",133,120,332,1,586,"6,186"
Clay,"2,387","4,509","4,263",13,"11,172",254,278,511,0,"1,043","12,215"
Clayton,"3,339","3,317","4,810",24,"11,490",226,187,488,1,902,"12,392"
Clinton,"10,226","7,305","13,302",45,"30,878","1,195",499,"1,675",5,"3,374","34,252"
Crawford,"2,612","3,159","3,489",7,"9,267",210,139,400,1,750,"10,017"
Dallas,"10,516","17,337","19,763",140,"47,756","1,283","1,662","3,102",6,"6,053","53,809"
Davis,"1,861","1,530","1,455",2,"4,848",136,79,204,1,420,"5,268"
Decatur,"1,492","1,617","1,609",9,"4,727",314,232,543,3,"1,092","5,819"
Delaware,"2,515","3,832","5,049",4,"11,400",138,139,372,0,649,"12,049"
Des Moines,"11,074","6,089","8,828",54,"26,045",916,423,"1,053",3,"2,395","28,440"
Dickinson,"2,397","5,155","4,554",22,"12,128",138,189,292,3,622,"12,750"
Dubuque,"25,156","15,243","22,961",186,"63,546","1,702",977,"2,131",16,"4,826","68,372"
Emmet,"1,934","1,653","2,888",8,"6,483",225,153,524,1,903,"7,386"
Fayette,"3,559","3,970","4,258",35,"11,822",204,103,286,2,595,"12,417"
Floyd,"3,128","2,623","4,836",10,"10,597",164,110,295,2,571,"11,168"
Franklin,"1,274","3,081","2,330",7,"6,692",87,103,256,1,447,"7,139"
Fremont,"1,146","2,003","1,661",5,"4,815",178,288,408,1,875,"5,690"
Greene,"1,814","2,123","2,342",9,"6,288",114,122,269,1,506,"6,794"
Grundy,"1,414","4,027","3,064",15,"8,520",62,136,237,3,438,"8,958"
Guthrie,"1,759","2,694","2,887",25,"7,365",116,150,296,1,563,"7,928"
Hamilton,"2,538","3,534","3,843",17,"9,932",188,199,478,1,866,"10,798"
Hancock,"1,493","3,252","2,842",7,"7,594",111,131,248,1,491,"8,085"
