County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,871,2266,1584,25,4746,98,170,397,8,673,5419
Adams,467,1150,842,5,2464,50,77,233,0,360,2824
Allamakee,1927,4091,2443,43,8504,263,368,690,12,1333,9837
Appanoose,1690,3527,2246,57,7520,339,342,705,8,1394,8914
Audubon,868,1883,931,17,3699,85,160,259,4,508,4207
Benton,3757,6325,6201,116,16399,416,416,1348,25,2205,18604
Black Hawk,28416,21277,23939,639,74271,4954,2187,6352,179,13672,87943
Boone,4906,6450,5807,139,17302,553,565,1599,42,2759,20061
Bremer,3982,5763,6195,88,16028,505,420,1202,19,2146,18174
Buchanan,3274,4014,5003,65,12356,309,260,1242,14,1825,14181
Buena Vista,2507,4127,3032,76,9742,728,518,1228,18,2492,12234
Butler,1710,4627,2664,60,9061,180,313,698,10,1201,10262
Calhoun,1122,2827,1984,39,5972,140,188,433,10,771,6743
Carroll,3040,5237,4679,93,13049,376,423,1010,19,1828,14877
Cass,1407,4498,2342,46,8293,197,466,691,17,1371,9664
Cedar,3088,4514,3921,94,11617,298,315,765,24,1402,13019
Cerro Gordo,8158,8727,9753,170,26808,1116,865,2747,45,4773,31581
Cherokee,1169,4117,1813,28,7127,213,308,682,9,1212,8339
Chickasaw,1992,2816,2397,37,7242,223,168,660,10,1061,8303
Clarke,1254,2317,1640,38,5249,206,215,520,13,954,6203
Clay,1866,5418,2805,83,10172,292,522,900,18,1732,11904
Clayton,2813,4331,3683,73,10900,294,333,712,13,1352,12252
Clinton,8466,9422,10401,179,28468,1499,836,3174,65,5574,34042
Crawford,1987,3584,2738,56,8365,468,352,869,21,1710,10075
Dallas,18939,23024,22823,519,65305,2000,2105,4369,142,8616,73921
Davis,1162,2235,1128,24,4549,147,194,292,10,643,5192
Decatur,1019,2006,1190,27,4242,251,190,306,14,761,5003
Delaware,2295,4767,4107,52,11221,237,262,631,14,1144,12365
Des Moines,8318,7393,7102,194,23007,1663,875,2363,56,4957,27964
Dickinson,2484,6512,3735,95,12826,340,602,910,25,1877,14703
Dubuque,23710,19047,18139,513,61409,3382,2010,4592,154,10138,71547
Emmet,1371,2127,1991,39,5528,258,273,727,5,1263,6791
Fayette,2973,4471,3609,60,11113,377,326,787,24,1514,12627
Floyd,2447,3022,3638,57,9164,509,312,1100,19,1940,11104
Franklin,1101,2950,1712,37,5800,158,220,470,6,854,6654
Fremont,823,2570,935,32,4360,157,281,322,15,775,5135
Greene,1414,2532,1695,53,5694,177,198,461,6,842,6536
Grundy,1483,4294,2373,48,8198,152,269,522,8,951,9149
