County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,776,2302,23,1485,3,4589,132,213,10,499,3,857,5446
Adams,406,1182,9,810,1,2408,58,104,0,289,0,451,2859
Allamakee,1600,4483,43,2219,10,8355,325,507,12,920,3,1767,10122
Appanoose,1441,3716,45,2138,10,7350,339,439,11,860,5,1654,9004
Audubon,777,1912,22,904,5,3620,107,176,8,301,0,592,4212
Benton,3208,6954,87,5944,18,16211,465,523,31,1611,6,2636,18847
Black Hawk,24948,21920,573,23272,137,70850,6649,2735,149,8382,73,17988,88838
Boone,4315,6660,119,6299,15,17408,657,687,35,1789,9,3177,20585
Bremer,3577,6037,75,6451,16,16156,620,517,15,1444,4,2600,18756
Buchanan,2978,4184,65,4822,10,12059,396,378,13,1471,1,2259,14318
Buena Vista,2069,4104,46,2722,16,8957,980,655,15,1562,12,3224,12181
Butler,1508,4686,40,2704,12,8950,236,407,15,795,2,1455,10405
Calhoun,924,3053,34,1829,5,5845,174,277,7,490,3,951,6796
Carroll,2544,5749,109,4464,15,12881,456,514,22,1211,5,2208,15089
Cass,1263,4552,40,2148,13,8016,252,545,15,870,4,1686,9702
Cedar,2793,4845,80,4045,13,11776,392,398,17,1005,10,1822,13598
Cerro Gordo,7180,9422,164,9189,39,25994,1424,1046,41,3284,25,5820,31814
Cherokee,962,4205,39,1638,3,6847,256,391,9,754,5,1415,8262
Chickasaw,1698,2939,29,2371,1,7038,246,246,9,758,4,1263,8301
Clarke,1037,2513,41,1482,6,5079,258,262,15,662,6,1203,6282
Clay,1628,5410,76,2627,13,9754,376,672,24,1063,6,2141,11895
Clayton,2316,5046,51,3232,13,10658,414,474,19,914,5,1826,12484
Clinton,7280,9807,143,10358,50,27638,1708,1109,60,3891,21,6789,34427
Crawford,1512,3936,39,2121,7,7615,631,514,19,1195,15,2374,9989
Dallas,19046,25457,539,24975,82,70099,2502,2336,127,5485,24,10474,80573
Davis,875,2577,26,932,4,4414,174,231,7,378,3,793,5207
Decatur,789,2228,30,1077,6,4130,326,271,6,431,4,1038,5168
Delaware,2083,5000,48,4052,12,11195,273,343,9,849,4,1478,12673
Des Moines,7052,7606,176,7306,40,22180,1988,1106,55,2989,19,6157,28337
Dickinson,2198,6721,79,3788,12,12798,424,726,31,1013,5,2199,14997
Dubuque,20994,20525,474,17342,89,59424,4198,2569,163,6093,43,13066,72490
Emmet,1149,2484,26,1771,7,5437,278,293,10,778,0,1359,6796
Fayette,2462,4968,51,3604,14,11099,470,416,17,979,9,1891,12990
Floyd,2123,3092,34,3469,9,8727,520,353,20,1238,8,2139,10866
Franklin,939,2939,25,1572,6,5481,205,280,9,674,3,1171,6652
Fremont,702,2607,24,951,8,4292,183,389,17,398,4,991,5283
Greene,1173,2610,43,1734,12,5572,207,248,9,502,1,967,6539
Grundy,1283,4370,53,2299,9,8014,199,319,12,616,1,1147,9161
