County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,929,2117,1548,22,4616,122,204,455,8,789,5405
Adams,499,1112,795,12,2418,51,77,269,1,398,2816
Allamakee,2026,3955,2237,35,8253,281,423,760,14,1478,9731
Appanoose,1785,3228,2097,47,7157,388,361,786,12,1547,8704
Audubon,913,1846,887,15,3661,99,181,304,3,587,4248
Benton,3921,6016,5771,119,15827,459,463,1488,29,2439,18266
Black Hawk,28877,20738,22123,602,72340,5366,2549,6931,209,15055,87395
Boone,5094,6172,5328,131,16725,611,639,1711,42,3003,19728
Bremer,4134,5398,6008,88,15628,533,450,1289,22,2294,17922
Buchanan,3444,3636,4750,55,11885,359,296,1374,14,2043,13928
Buena Vista,2521,3897,2925,69,9412,761,548,1309,19,2637,12049
Butler,1775,4472,2529,48,8824,183,360,762,11,1316,10140
Calhoun,1167,2696,1880,38,5781,162,228,526,14,930,6711
Carroll,3210,4818,4410,75,12513,438,484,1218,24,2164,14677
Cass,1480,4306,2165,44,7995,216,550,776,19,1561,9556
Cedar,3168,4299,3828,83,11378,324,338,839,29,1530,12908
Cerro Gordo,8281,7963,9623,159,26026,1224,879,2923,46,5072,31098
Cherokee,1266,4020,1731,29,7046,228,344,717,8,1297,8343
Chickasaw,2135,2588,2376,35,7134,257,198,735,12,1202,8336
Clarke,1288,2219,1571,42,5120,236,236,562,13,1047,6167
Clay,1913,5178,2709,68,9868,308,569,972,19,1868,11736
Clayton,2944,3823,3586,68,10421,348,389,836,18,1591,12012
Clinton,8957,8851,9542,185,27535,1580,887,3480,69,6016,33551
Crawford,2030,3442,2597,50,8119,508,395,933,22,1858,9977
Dallas,18289,21600,19785,520,60194,1852,2053,4411,142,8458,68652
Davis,1336,2002,1063,18,4419,157,206,324,10,697,5116
Decatur,1074,1863,1160,22,4119,281,202,323,15,821,4940
Delaware,2371,4573,3910,52,10906,255,300,718,13,1286,12192
Des Moines,8777,6912,6457,167,22313,1799,941,2575,62,5377,27690
Dickinson,2590,6078,3487,81,12236,352,616,960,30,1958,14194
