County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,709,1924,18,1091,2,3744,238,460,11,875,3,1587,5331
Adams,397,979,4,576,2,1958,111,226,0,470,0,807,2765
Allamakee,1574,3426,20,1646,4,6670,548,971,22,1460,6,3007,9677
Appanoose,1305,2859,25,1411,3,5603,620,931,24,1474,10,3059,8662
Audubon,717,1650,11,658,2,3038,214,379,9,505,2,1109,4147
Benton,3169,5539,55,4652,13,13428,880,1126,49,2900,17,4972,18400
Black Hawk,21043,17688,333,16014,69,55147,11120,5231,283,13841,122,30597,85744
Boone,4040,5382,76,4072,17,13587,1245,1487,63,3286,15,6096,19683
Bremer,3305,4935,46,4601,10,12897,1041,1141,31,2756,8,4977,17874
Buchanan,2740,3492,38,3505,4,9779,755,740,28,2654,8,4185,13964
Buena Vista,1510,3243,29,1756,7,6545,1601,1313,38,2345,19,5316,11861
Butler,1394,3983,29,1854,8,7268,437,905,27,1463,6,2838,10106
Calhoun,881,2401,27,1450,1,4760,319,579,17,942,5,1862,6622
Carroll,2458,4460,53,3405,9,10385,857,1167,39,2252,8,4323,14708
Cass,1102,3759,25,1409,5,6300,445,1108,24,1530,9,3116,9416
Cedar,2544,3892,56,2847,10,9349,743,854,32,1812,15,3456,12805
Cerro Gordo,6427,7387,75,6541,20,20450,2526,1989,78,5677,45,10315,30765
Cherokee,873,3437,18,1177,3,5508,437,845,13,1215,6,2516,8024
Chickasaw,1672,2387,16,1759,1,5835,455,540,20,1287,8,2310,8145
Clarke,948,1954,16,1040,5,3963,464,537,21,1095,11,2128,6091
Clay,1453,4512,40,1877,14,7896,646,1317,41,1706,6,3716,11612
Clayton,2337,3672,39,2679,9,8736,708,953,31,1663,12,3367,12103
Clinton,6488,7826,88,6848,21,21271,3055,2258,97,6591,39,12040,33311
Crawford,1306,2906,21,1594,4,5831,1072,1002,30,1907,16,4027,9858
Dallas,15634,19498,319,16869,37,52357,4886,5189,240,10516,55,20886,73243
Davis,979,1902,10,715,4,3610,287,485,12,689,6,1479,5089
Decatur,753,1652,15,721,4,3145,442,476,14,725,5,1662,4807
Delaware,1929,4170,31,2985,8,9123,545,805,19,1694,7,3070,12193
Des Moines,6184,6008,96,4415,18,16721,3443,2103,100,5014,31,10691,27412
Dickinson,1981,5400,40,2627,7,10055,753,1597,60,1918,10,4338,14393
Dubuque,18780,15684,255,12138,48,46905,7163,4802,263,10206,85,22519,69424
Emmet,1056,1752,15,1330,8,4161,466,551,21,1268,0,2306,6467
Fayette,2385,3824,27,2618,10,8864,820,892,28,1746,16,3502,12366
Floyd,1913,2547,31,2507,3,7001,849,677,30,2085,11,3652,10653
Franklin,821,2493,11,1012,3,4340,384,628,22,1150,7,2191,6531
Fremont,634,2022,6,576,3,3241,303,758,23,635,9,1728,4969
Greene,1104,2077,30,1179,7,4397,419,595,19,938,6,1977,6374
Grundy,1159,3644,28,1699,5,6535,417,815,21,1161,3,2417,8952
Guthrie,1261,2877,36,1636,3,5813,401,679,18,1313,1,2412,8225
Hamilton,1614,3516,30,1803,3,6966,640,909,24,1482,10,3065,10031
Hancock,1002,3054,18,1215,4,5293,403,777,14,1171,12,2377,7670
Hardin,1798,4059,29,1798,7,7691,734,1253,31,1739,8,3765,11456
Harrison,1336,3865,39,1399,6,6645,494,940,28,933,12,2407,9052
Henry,1880,4257,43,2314,7,8501,814,1305,51,2561,14,4745,13246
Howard,1188,1464,19,1588,1,4260,347,421,14,1191,5,1978,6238
Humboldt,812,2448,17,1429,3,4709,278,592,16,996,4,1886,6595
Ida,531,1904,5,868,2,3310,206,521,6,782,3,1518,4828
Iowa,1980,4095,41,2753,7,8876,659,883,33,1885,11,3471,12347
Jackson,3379,3659,33,2706,5,9782,1129,904,20,2668,11,4732,14514
Jasper,5465,7191,78,5054,16,17804,2162,1967,66,4379,19,8593,26397
Jefferson,3058,2910,39,1567,14,7588,1266,835,37,1578,20,3736,11324
Johnson,38707,13404,368,19344,116,71939,15247,5585,369,15985,135,37321,109260
Jones,2418,4146,36,3259,2,9861,687,926,31,2491,9,4144,14005
Keokuk,1065,2295,13,1136,5,4514,454,688,12,1014,2,2170,6684
Kossuth,1835,3904,23,2097,4,7863,507,882,26,1601,4,3020,10883
Lee,5306,4735,76,3918,7,14042,2446,1611,86,4120,30,8293,22335
Linn,42592,32750,718,32437,171,108668,16518,9561,701,23505,213,50498,159166
Louisa,970,2211,13,1223,0,4417,679,646,19,1444,6,2794,7211
Lucas,817,2202,14,1091,5,4129,321,642,14,904,2,1883,6012
Lyon,520,5027,6,685,1,6239,288,1372,11,712,3,2386,8625
Madison,2030,4117,63,2423,4,8637,625,1141,31,1725,10,3532,12169
Mahaska,1586,5754,62,2020,4,9426,917,1748,59,2334,11,5069,14495
Marion,3639,8878,82,4305,15,16919,1399,2317,69,3604,19,7408,24327
Marshall,4572,6321,84,3867,11,14855,2923,1831,70,4380,33,9237,24092
Mills,1339,4283,57,1347,14,7040,740,1692,78,1711,14,4235,11275
Mitchell,1215,2315,15,1562,1,5108,398,600,24,1073,10,2105,7213
Monona,1004,2087,23,1006,3,4123,301,518,14,574,7,1414,5537
Monroe,820,1802,9,937,0,3568,330,509,17,769,4,1629,5197
Montgomery,756,2680,25,806,4,4271,442,1059,23,1351,12,2887,7158
Muscatine,4910,6765,83,4842,27,16627,3369,2429,117,5850,53,11818,28445
O'Brien,805,4770,35,1152,8,6770,450,1209,27,1111,7,2804,9574
Osceola,271,2052,6,491,1,2821,152,584,6,596,5,1343,4164
Page,1076,4230,28,1294,4,6632,577,1433,41,1516,9,3576,10208
Palo Alto,1245,1944,11,1058,3,4261,481,504,12,967,7,1971,6232
Plymouth,1975,7192,45,2960,7,12179,1018,2166,55,2514,20,5773,17952
Pocahontas,593,1934,22,866,2,3417,264,475,12,766,8,1525,4942
Polk,93824,68498,1562,57943,297,222124,39106,20836,1363,44671,413,106389,328513
Pottawattamie,10264,17481,266,8956,72,37039,6763,7583,426,11605,149,26526,63565
Poweshiek,2722,3333,33,2948,9,9045,1831,861,43,2264,7,5006,14051
Ringgold,422,1649,7,363,3,2444,132,378,3,303,2,818,3262
Sac,710,2711,9,984,3,4417,379,1051,11,1236,6,2683,7100
Scott,25723,26578,433,24863,100,77697,14532,8811,518,24632,175,48668,126365
Shelby,1154,3433,29,1349,4,5969,499,936,20,1151,6,2612,8581
Sioux,1246,13252,29,2312,7,16846,799,3134,48,2249,16,6246,23092
Story,16078,12931,343,13338,80,42770,8211,5650,404,12180,110,26555,69325
Tama,2083,3221,32,2339,12,7687,900,735,23,2013,6,3677,11364
Taylor,433,1685,11,589,1,2719,181,469,18,562,4,1234,3953
Union,1103,2755,20,1555,2,5435,465,689,29,1568,5,2756,8191
Van Buren,571,1912,13,804,6,3306,223,549,10,782,5,1569,4875
Wapello,4315,4952,53,3351,12,12683,2578,1822,66,3949,36,8451,21134
Warren,8209,11488,168,7717,26,27608,2637,3195,143,5344,29,11348,38956
Washington,2478,5176,52,2762,11,10479,868,1410,60,2450,11,4799,15278
Wayne,500,1586,9,639,2,2736,225,388,9,469,2,1093,3829
Webster,4542,6380,74,4118,15,15129,2425,2182,89,4726,42,9464,24593
Winnebago,1160,2615,22,1459,3,5259,517,623,24,1427,3,2594,7853
Winneshiek,3637,4131,31,3406,6,11211,1076,673,27,1691,18,3485,14696
Woodbury,9974,16443,165,8537,43,35162,8215,6716,232,12324,96,27583,62745
Worth,957,1735,15,1099,3,3809,317,409,10,927,2,1665,5474
Wright,1089,2785,13,1379,2,5268,563,763,16,1232,8,2582,7850
Totals,"466,268","576,193","7,805","400,919","1,624","1,452,809","206,222","172,409","7,774","346,501","2,561","735,467","2,188,276"
