County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,067","1,962","1,981",5,"5,015",115,119,292,1,527,"5,542"
Adams,639,993,"1,145",3,"2,780",46,50,184,0,280,"3,060"
Allamakee,"2,144","4,213","3,151",6,"9,514",136,151,311,0,598,"10,112"
Appanoose,"2,469","2,799","3,012",6,"8,286",266,231,462,0,959,"9,245"
Audubon,"1,245","1,575","1,403",5,"4,228",77,86,182,0,345,"4,573"
Benton,"4,398","4,992","7,420",27,"16,837",323,241,649,2,"1,215","18,052"
Black Hawk,"29,213","20,579","31,308",253,"81,353","2,499","1,293","3,422",22,"7,236","88,589"
Boone,"5,137","5,492","6,860",34,"17,523",293,331,691,1,"1,316","18,839"
Bremer,"3,680","5,003","7,370",24,"16,077",400,316,804,3,"1,523","17,600"
Buchanan,"3,813","3,118","6,282",13,"13,226",210,150,552,0,912,"14,138"
Buena Vista,"2,908","4,072","4,617",11,"11,608",231,179,352,2,764,"12,372"
Butler,"1,726","4,571","3,420",11,"9,728",130,150,278,0,558,"10,286"
Calhoun,"1,398","2,381","2,722",12,"6,513",114,116,328,1,559,"7,072"
Carroll,"3,981","3,872","5,997",40,"13,890",251,227,629,1,"1,108","14,998"
Cass,"1,521","4,820","2,953",8,"9,302",167,325,518,1,"1,011","10,313"
Cedar,"3,079","3,679","4,586",18,"11,362",243,157,458,0,858,"12,220"
Cerro Gordo,"9,275","8,044","12,289",32,"29,640",706,519,"1,338",1,"2,564","32,204"
Cherokee,"1,894","3,217","2,975",13,"8,099",126,160,360,2,648,"8,747"
Chickasaw,"2,731","2,213","3,476",5,"8,425",145,122,355,1,623,"9,048"
Clarke,"1,538","1,796","2,143",9,"5,486",146,142,350,1,639,"6,125"
Clay,"2,381","4,516","4,161",12,"11,070",278,306,535,0,"1,119","12,189"
Clayton,"3,346","3,282","4,708",16,"11,352",236,202,514,2,954,"12,306"
Clinton,"10,189","7,320","12,815",34,"30,358","1,331",564,"1,797",6,"3,698","34,056"
Crawford,"2,640","3,161","3,398",7,"9,206",224,159,413,1,797,"10,003"
Dallas,"10,198","16,702","18,345",91,"45,336","1,416","1,860","3,358",7,"6,641","51,977"
Davis,"1,904","1,507","1,390",2,"4,803",148,87,220,1,456,"5,259"
Decatur,"1,501","1,620","1,525",9,"4,655",324,240,559,4,"1,127","5,782"
Delaware,"2,548","3,845","4,898",2,"11,293",151,152,403,0,706,"11,999"
Des Moines,"11,085","6,051","8,482",43,"25,661",982,451,"1,111",3,"2,547","28,208"
Dickinson,"2,383","5,131","4,399",17,"11,930",144,207,311,2,664,"12,594"
Dubuque,"25,027","14,912","22,298",143,"62,380","1,881","1,073","2,300",20,"5,274","67,654"
Emmet,"1,971","1,637","2,804",6,"6,418",232,159,542,1,934,"7,352"
Fayette,"3,597","3,967","4,128",28,"11,720",222,123,311,1,657,"12,377"
Floyd,"3,153","2,606","4,719",11,"10,489",171,128,317,4,620,"11,109"
Franklin,"1,257","3,129","2,280",5,"6,671",96,109,269,1,475,"7,146"
Fremont,"1,156","2,002","1,617",5,"4,780",186,308,421,1,916,"5,696"
Greene,"1,825","2,130","2,248",8,"6,211",125,136,288,2,551,"6,762"
Grundy,"1,429","4,058","2,981",13,"8,481",72,154,257,4,487,"8,968"
Guthrie,"1,784","2,697","2,795",17,"7,293",133,160,326,1,620,"7,913"
Hamilton,"2,594","3,545","3,735",14,"9,888",211,237,510,1,959,"10,847"
Hancock,"1,483","3,260","2,749",3,"7,495",123,144,261,1,529,"8,024"
Hardin,"2,525","4,640","3,814",15,"10,994",323,280,589,0,"1,192","12,186"
Harrison,"2,085","3,597","2,185",20,"7,887",34,33,37,0,104,"7,991"
Henry,"2,800","5,210","4,816",16,"12,842",338,297,606,2,"1,243","14,085"
Howard,"1,803","1,422","2,522",4,"5,751",117,78,268,0,463,"6,214"
Humboldt,"1,293","2,647","2,386",1,"6,327",123,138,337,1,599,"6,926"
Ida,854,"2,202","1,764",6,"4,826",58,126,207,0,391,"5,217"
Iowa,"2,649","3,833","4,740",9,"11,231",188,211,436,1,836,"12,067"
Jackson,"5,373","2,809","5,481",16,"13,679",390,182,671,2,"1,245","14,924"
Jasper,"8,204","7,060","7,895",28,"23,187","1,030",751,"1,605",4,"3,390","26,577"
Jefferson,"3,359","3,423","3,340",61,"10,183",427,302,758,9,"1,496","11,679"
Johnson,"38,387","18,228","30,619",443,"87,677","8,080","3,627","8,802",111,"20,620","108,297"
Jones,"3,362","3,714","5,818",14,"12,908",192,163,486,0,841,"13,749"
Keokuk,"2,089","2,291","2,291",3,"6,674",158,104,293,1,556,"7,230"
Kossuth,"3,327","3,400","4,205",8,"10,940",177,152,473,1,803,"11,743"
Lee,"9,765","4,011","7,932",38,"21,746",737,341,"1,025",1,"2,104","23,850"
