County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,703,2038,20,1206,3,3970,219,406,12,801,3,1441,5411
Adams,387,1032,6,652,1,2078,90,209,0,439,0,738,2816
Allamakee,1525,3708,24,1876,7,7140,497,867,20,1344,3,2731,9871
Appanoose,1278,3056,30,1611,5,5980,547,821,23,1354,9,2754,8734
Audubon,713,1706,18,728,4,3169,183,342,8,459,2,994,4163
Benton,3087,5888,67,5154,13,14209,777,1003,49,2595,13,4437,18646
Black Hawk,20720,18468,347,17273,75,56883,10538,4883,260,13090,119,28890,85773
Boone,3980,5746,84,4753,16,14579,1094,1317,59,2982,13,5465,20044
Bremer,3275,5174,53,5046,11,13559,922,1013,26,2480,7,4448,18007
Buchanan,2699,3653,45,3797,5,10199,679,677,25,2474,5,3860,14059
Buena Vista,1602,3477,30,1998,12,7119,1472,1184,35,2197,14,4902,12021
Butler,1394,4129,31,2027,9,7590,395,804,27,1310,5,2541,10131
Calhoun,859,2600,24,1543,3,5029,275,513,13,845,4,1650,6679
Carroll,2392,4903,74,3796,11,11176,754,984,33,1949,7,3727,14903
Cass,1084,3901,23,1536,9,6553,408,1007,23,1416,7,2861,9414
Cedar,2519,4097,63,3128,7,9814,684,753,29,1649,15,3130,12944
Cerro Gordo,6345,7940,93,7170,21,21569,2326,1827,70,5258,39,9520,31089
Cherokee,887,3640,22,1319,3,5871,386,720,13,1112,5,2236,8107
Chickasaw,1611,2545,15,1950,1,6122,401,484,20,1175,8,2088,8210
Clarke,910,2065,24,1160,6,4165,442,485,20,1009,11,1967,6132
Clay,1438,4680,46,2049,15,8228,589,1230,38,1574,6,3437,11665
Clayton,2257,4033,46,2849,8,9193,636,869,26,1512,12,3055,12248
Clinton,6387,8365,110,7771,30,22663,2800,2051,88,6050,39,11028,33691
Crawford,1266,3138,29,1684,4,6121,987,900,27,1761,16,3691,9812
Dallas,15673,21260,311,18694,52,55990,4629,4688,226,9806,50,19399,75389
Davis,920,2066,16,772,5,3779,258,448,9,630,4,1349,5128
Decatur,711,1736,17,759,3,3226,414,445,12,685,5,1561,4787
Delaware,1918,4342,32,3225,9,9526,484,730,16,1540,7,2777,12303
Des Moines,6079,6375,101,5466,28,18049,3120,1957,98,4586,24,9785,27834
Dickinson,1980,5902,50,3080,9,11021,678,1326,49,1660,9,3722,14743
Dubuque,18500,16783,268,13734,55,49340,6596,4426,254,9538,74,20888,70228
Emmet,1021,1979,15,1408,7,4430,426,500,20,1167,0,2113,6543
Fayette,2330,4074,32,2903,14,9353,735,777,28,1582,10,3132,12485
Floyd,1887,2654,32,2762,5,7340,767,633,28,1902,12,3342,10682
Franklin,820,2601,12,1171,3,4607,345,551,20,1040,7,1963,6570
Fremont,641,2184,11,690,4,3530,272,668,21,576,9,1546,5076
Greene,1053,2273,34,1369,12,4741,363,516,17,817,4,1717,6458
Grundy,1121,3809,30,1855,4,6819,376,728,17,1064,3,2188,9007
Guthrie,1224,3023,40,1880,3,6170,363,577,16,1157,1,2114,8284
Hamilton,1565,3660,31,2099,3,7358,596,785,24,1351,9,2765,10123
Hancock,984,3176,23,1360,3,5546,371,714,13,1101,12,2211,7757
Hardin,1788,4286,36,1994,6,8110,672,1105,27,1557,8,3369,11479
Harrison,1350,4029,43,1511,10,6943,426,824,25,830,11,2116,9059
Henry,1798,4470,48,2667,10,8993,748,1174,44,2356,11,4333,13326
Howard,1156,1582,19,1831,1,4589,298,368,13,1074,4,1757,6346
Humboldt,792,2568,20,1516,3,4899,262,555,14,951,4,1786,6685
Ida,517,1995,9,957,1,3479,187,461,5,721,3,1377,4856
Iowa,1962,4236,43,2985,6,9232,622,808,32,1764,10,3236,12468
Jackson,3234,3994,37,3029,9,10303,1002,800,17,2436,10,4265,14568
Jasper,5400,7773,83,5629,15,18900,1929,1772,58,4017,18,7794,26694
Jefferson,2996,3041,53,1838,14,7942,1177,710,30,1472,17,3406,11348
Johnson,38167,14655,398,21944,128,75292,14581,5161,347,15057,132,35278,110570
Jones,2368,4324,34,3525,6,10257,623,861,28,2328,7,3847,14104
Keokuk,1046,2450,22,1198,7,4723,405,610,11,910,2,1938,6661
Kossuth,1751,4121,28,2255,6,8161,467,815,24,1492,4,2802,10963
Lee,5154,5151,86,4419,9,14819,2264,1491,76,3858,27,7716,22535
Linn,42038,34651,738,36742,188,114357,15368,8707,621,21736,201,46633,160990
Louisa,960,2319,19,1437,0,4735,609,580,18,1347,6,2560,7295
Lucas,795,2312,16,1190,5,4318,284,623,13,834,2,1756,6074
Lyon,535,5391,10,853,1,6790,250,1121,9,633,3,2016,8806
Madison,1948,4466,69,2771,5,9259,571,1043,29,1541,8,3192,12451
Mahaska,1558,5907,68,2232,4,9769,861,1618,57,2204,11,4751,14520
Marion,3578,9479,92,5126,19,18294,1252,1998,61,3215,18,6544,24838
Marshall,4673,6651,87,4648,18,16077,2641,1593,69,4030,28,8361,24438
Mills,1376,4683,77,1563,14,7713,660,1476,63,1534,10,3743,11456
Mitchell,1194,2409,19,1681,1,5304,369,566,26,984,10,1955,7259
Monona,1002,2270,29,1086,2,4389,257,443,14,527,7,1248,5637
Monroe,791,1952,14,1099,0,3856,299,437,14,669,4,1423,5279
Montgomery,746,2786,23,867,3,4425,416,946,23,1268,12,2665,7090
Muscatine,4928,7180,93,5364,36,17601,3176,2284,122,5574,52,11208,28809
O'Brien,810,4958,38,1289,9,7104,409,1045,26,1025,6,2511,9615
Osceola,274,2126,9,577,1,2987,137,515,5,543,4,1204,4191
Page,1079,4548,30,1587,6,7250,528,1235,38,1368,7,3176,10426
Palo Alto,1217,2138,14,1199,4,4572,424,447,11,876,5,1763,6335
Plymouth,1976,7582,44,3289,11,12902,934,1923,52,2306,19,5234,18136
Pocahontas,598,2022,27,960,2,3609,216,382,8,609,7,1222,4831
Polk,92643,73349,1634,65517,349,233492,36550,19032,1246,41719,386,98933,332425
Pottawattamie,10632,19016,350,10272,92,40362,6192,6770,398,10695,134,24189,64551
Poweshiek,2751,3551,36,3309,11,9658,1747,784,35,2063,5,4634,14292
Ringgold,419,1694,9,388,3,2513,122,328,2,288,2,742,3255
Sac,777,3144,9,1360,4,5294,266,664,9,968,6,1913,7207
Scott,25841,28635,489,28581,126,83672,13645,8132,500,23119,154,45550,129222
Shelby,1131,3627,30,1443,4,6235,433,806,20,1066,6,2331,8566
Sioux,1297,13890,31,2785,9,18012,703,2690,46,2033,13,5485,23497
Story,15526,13865,344,14399,81,44215,7847,5330,389,11691,108,25365,69580
Tama,2052,3344,32,2498,14,7940,840,671,21,1887,5,3424,11364
Taylor,425,1731,9,630,3,2798,160,415,18,523,2,1118,3916
Union,1070,2839,25,1878,3,5815,421,629,28,1436,5,2519,8334
Van Buren,553,1993,12,916,7,3481,198,494,10,718,5,1425,4906
Wapello,4233,5221,64,3904,16,13438,2419,1687,63,3638,32,7839,21277
Warren,8174,12491,180,8469,27,29341,2443,2934,139,4993,30,10539,39880
Washington,2483,5370,52,2959,12,10876,799,1299,58,2269,10,4435,15311
Wayne,488,1661,12,700,2,2863,200,347,8,436,1,992,3855
Webster,4493,6975,93,4605,19,16185,2202,1973,80,4331,42,8628,24813
Winnebago,1113,2669,19,1664,2,5467,489,587,22,1343,3,2444,7911
Winneshiek,3559,4260,36,3618,10,11483,1040,611,26,1601,15,3293,14776
Woodbury,9963,17348,212,10016,53,37592,7735,6188,215,11632,83,25853,63445
Worth,931,1821,19,1172,3,3946,283,371,10,843,2,1509,5455
Wright,1106,2932,21,1575,2,5636,486,651,13,1099,7,2256,7892
Totals,"460,960","613,810","8,572","450,819","1,910","1,536,071","191,438","155,708","7,198","321,074","2,346","677,764","2,213,835"
