County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,068","1,907","2,010",4,"4,989",118,121,294,1,534,"5,523"
Adams,647,929,"1,177",3,"2,756",47,51,187,0,285,"3,041"
Allamakee,"2,142","4,212","3,138",6,"9,498",137,153,315,0,605,"10,103"
Appanoose,"2,488","2,737","3,037",6,"8,268",268,238,462,0,968,"9,236"
Audubon,"1,253","1,545","1,404",4,"4,206",79,87,183,0,349,"4,555"
Benton,"4,416","4,873","7,472",27,"16,788",325,241,656,2,"1,224","18,012"
Black Hawk,"28,998","20,225","31,782",241,"81,246","2,509","1,312","3,430",21,"7,272","88,518"
Boone,"5,146","5,398","6,864",33,"17,441",299,338,697,1,"1,335","18,776"
Bremer,"3,655","4,883","7,460",23,"16,021",403,317,818,3,"1,541","17,562"
Buchanan,"3,700","3,006","6,497",12,"13,215",209,153,558,0,920,"14,135"
Buena Vista,"2,929","3,877","4,712",10,"11,528",234,180,361,2,777,"12,305"
Butler,"1,716","4,453","3,515",12,"9,696",132,153,280,0,565,"10,261"
Calhoun,"1,401","2,336","2,754",12,"6,503",115,119,329,1,564,"7,067"
Carroll,"3,886","3,813","6,099",35,"13,833",257,233,633,1,"1,124","14,957"
Cass,"1,569","4,636","3,071",9,"9,285",168,328,523,1,"1,020","10,305"
Cedar,"3,077","3,581","4,646",17,"11,321",245,160,463,0,868,"12,189"
Cerro Gordo,"9,156","7,851","12,523",29,"29,559",709,522,"1,345",1,"2,577","32,136"
Cherokee,"1,901","3,075","3,095",12,"8,083",126,162,368,2,658,"8,741"
Chickasaw,"2,754","2,094","3,556",5,"8,409",146,126,356,1,629,"9,038"
Clarke,"1,574","1,707","2,186",8,"5,475",146,147,360,1,654,"6,129"
Clay,"2,401","4,352","4,269",12,"11,034",283,308,540,0,"1,131","12,165"
Clayton,"3,319","3,235","4,789",14,"11,357",239,202,515,2,958,"12,315"
Clinton,"10,237","6,990","12,969",35,"30,231","1,350",569,"1,819",5,"3,743","33,974"
Crawford,"2,673","3,042","3,465",9,"9,189",224,162,417,1,804,"9,993"
Dallas,"10,153","16,100","18,486",86,"44,825","1,422","1,889","3,386",8,"6,705","51,530"
Davis,"1,859","1,481","1,442",2,"4,784",148,88,224,1,461,"5,245"
Decatur,"1,502","1,601","1,535",9,"4,647",326,243,561,4,"1,134","5,781"
Delaware,"2,522","3,800","4,936",3,"11,261",153,154,407,0,714,"11,975"
Des Moines,"11,095","5,898","8,547",41,"25,581",996,462,"1,133",3,"2,594","28,175"
Dickinson,"2,408","5,019","4,437",17,"11,881",147,212,313,2,674,"12,555"
Dubuque,"24,638","14,635","22,756",136,"62,165","1,887","1,080","2,312",20,"5,299","67,464"
Emmet,"1,954","1,606","2,829",6,"6,395",232,159,545,1,937,"7,332"
Fayette,"3,594","3,905","4,168",26,"11,693",225,132,314,1,672,"12,365"
Floyd,"3,084","2,599","4,769",11,"10,463",172,130,323,4,629,"11,092"
Franklin,"1,263","3,024","2,352",6,"6,645",98,109,272,1,480,"7,125"
Fremont,"1,180","1,945","1,642",5,"4,772",187,312,425,1,925,"5,697"
Greene,"1,868","2,045","2,275",8,"6,196",127,135,288,2,552,"6,748"
Grundy,"1,432","4,016","3,020",15,"8,483",77,156,257,4,494,"8,977"
Guthrie,"1,826","2,599","2,832",16,"7,273",136,161,329,1,627,"7,900"
Hamilton,"2,614","3,443","3,794",12,"9,863",215,237,514,1,967,"10,830"
Hancock,"1,497","3,171","2,808",3,"7,479",125,144,264,1,534,"8,013"
Hardin,"2,530","4,455","3,931",15,"10,931",322,282,593,1,"1,198","12,129"
Harrison,"2,151","3,420","2,251",20,"7,842",34,33,39,0,106,"7,948"
Henry,"2,804","5,120","4,860",14,"12,798",340,301,614,1,"1,256","14,054"
Howard,"1,799","1,406","2,521",3,"5,729",119,77,270,0,466,"6,195"
Humboldt,"1,304","2,485","2,514",2,"6,305",124,141,342,1,608,"6,913"
Ida,880,"2,047","1,875",6,"4,808",61,127,208,0,396,"5,204"
Iowa,"2,673","3,669","4,848",8,"11,198",189,213,442,1,845,"12,043"
Jackson,"5,428","2,609","5,559",16,"13,612",393,184,675,2,"1,254","14,866"
Jasper,"8,244","6,830","7,959",29,"23,062","1,045",780,"1,633",4,"3,462","26,524"
Jefferson,"3,338","3,380","3,375",57,"10,150",429,306,764,9,"1,508","11,658"
Johnson,"37,849","17,982","30,988",442,"87,261","8,151","3,675","8,872",111,"20,809","108,070"
Jones,"3,350","3,556","5,924",14,"12,844",198,167,493,0,858,"13,702"
Keokuk,"2,147","2,243","2,323",3,"6,716",139,94,272,1,506,"7,222"
Kossuth,"3,345","3,321","4,232",8,"10,906",178,153,476,1,808,"11,714"
Lee,"9,697","3,946","8,028",37,"21,708",760,351,"1,066",1,"2,178","23,886"
Linn,"48,875","37,100","52,288",441,"138,704","5,072","3,040","5,912",38,"14,062","152,766"
Louisa,"1,721","2,353","2,486",7,"6,567",245,148,452,0,845,"7,412"
Lucas,"1,372","2,050","2,007",3,"5,432",128,141,307,0,576,"6,008"
Lyon,869,"5,300","1,712",3,"7,884",110,229,269,0,608,"8,492"
Madison,"2,778","3,799","3,743",16,"10,336",221,271,469,0,961,"11,297"
Mahaska,"3,007","5,804","4,911",27,"13,749",411,432,800,3,"1,646","15,395"
Marion,"5,293","8,951","7,507",25,"21,776",736,761,"1,244",2,"2,743","24,519"
Marshall,"7,149","7,286","9,041",20,"23,496",744,595,"1,167",2,"2,508","26,004"
Mills,"1,884","4,680","2,987",19,"9,570",214,328,482,1,"1,025","10,595"
Mitchell,"1,750","2,451","2,693",10,"6,904",114,109,207,0,430,"7,334"
Monona,"1,933","1,801","2,351",5,"6,090",148,145,231,1,525,"6,615"
Monroe,"1,694","1,449","1,529",6,"4,678",100,75,148,2,325,"5,003"
Montgomery,988,"3,638","2,096",5,"6,727",159,301,433,0,893,"7,620"
Muscatine,"7,568","7,792","10,455",36,"25,851",871,801,"1,537",1,"3,210","29,061"
O'Brien,"1,305","5,231","2,728",10,"9,274",171,282,455,0,908,"10,182"
Osceola,503,"2,490","1,097",4,"4,094",63,150,247,0,460,"4,554"
Page,"1,523","4,134","3,298",9,"8,964",252,369,777,3,"1,401","10,365"
Palo Alto,"2,312","1,533","2,171",5,"6,021",179,110,308,0,597,"6,618"
Plymouth,"3,115","7,589","5,520",23,"16,247",323,470,669,3,"1,465","17,712"
Pocahontas,"1,078","1,642","2,242",15,"4,977",105,119,329,0,553,"5,530"
Polk,"101,444","79,398","81,622",876,"263,340","6,152","4,093","6,542",66,"16,853","280,193"
Pottawattamie,"15,587","20,448","18,914",147,"55,096","2,113","1,584","2,864",18,"6,579","61,675"
Poweshiek,"3,570","3,552","5,148",25,"12,295","1,225",167,696,5,"2,093","14,388"
Ringgold,890,"1,425",759,1,"3,075",32,40,63,0,135,"3,210"
