County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,935,"1,927",13,"2,052",4,"4,931",72,69,3,163,0,307,"5,238"
Adams,541,949,6,"1,168",1,"2,665",45,55,1,130,0,231,"2,896"
Allamakee,"2,013","4,114",21,"3,045",7,"9,200",161,161,4,368,0,694,"9,894"
Appanoose,"2,155","2,904",20,"2,926",9,"8,014",190,180,3,413,1,787,"8,801"
Audubon,923,"1,945",15,"1,227",4,"4,114",42,65,0,99,0,206,"4,320"
Benton,"3,825","5,766",64,"7,351",15,"17,021",209,228,6,499,2,944,"17,965"
Black Hawk,"28,465","20,678",429,"30,187",170,"79,929","2,549","1,489",48,"3,244",22,"7,352","87,281"
Boone,"5,060","5,693",86,"7,120",22,"17,981",293,353,14,686,0,"1,346","19,327"
Bremer,"3,745","5,108",61,"7,387",10,"16,311",258,251,4,602,3,"1,118","17,429"
Buchanan,"3,390","3,161",34,"6,467",4,"13,056",162,116,5,518,2,803,"13,859"
Buena Vista,"2,848","4,039",41,"4,336",23,"11,287",323,247,3,522,0,"1,095","12,382"
Butler,"1,635","4,417",29,"3,494",6,"9,581",90,127,0,235,0,452,"10,033"
Calhoun,"1,219","2,485",17,"2,575",7,"6,303",70,91,2,154,2,319,"6,622"
Carroll,"3,554","4,211",54,"5,930",15,"13,764",143,134,7,290,0,574,"14,338"
Cass,"1,388","4,622",26,"2,927",7,"8,970",113,231,0,347,0,691,"9,661"
Cedar,"3,026","3,790",49,"4,756",12,"11,633",134,149,5,266,2,556,"12,189"
Cerro Gordo,"8,464","8,009",69,"12,657",17,"29,216",492,396,4,"1,001",4,"1,897","31,113"
Cherokee,"1,477","3,643",21,"2,718",5,"7,864",75,111,1,238,0,425,"8,289"
Chickasaw,"2,370","2,386",13,"3,320",10,"8,099",107,122,2,302,0,533,"8,632"
Clarke,"1,464","1,842",20,"2,234",3,"5,563",68,81,3,219,0,371,"5,934"
Clay,"1,859","5,473",38,"3,521",5,"10,896",160,272,3,425,1,861,"11,757"
Clayton,"3,216","3,498",43,"4,650",4,"11,411",182,157,0,304,2,645,"12,056"
Clinton,"9,394","7,501",83,"13,759",36,"30,773",696,366,8,"1,181",9,"2,260","33,033"
Crawford,"2,418","3,255",21,"3,729",9,"9,432",154,160,2,298,0,614,"10,046"
Dallas,"12,516","19,192",313,"21,932",52,"54,005",992,"1,562",34,"2,289",6,"4,883","58,888"
Davis,"1,622","1,720",9,"1,456",3,"4,810",86,90,1,148,2,327,"5,137"
Decatur,"1,275","1,725",27,"1,366",7,"4,400",161,114,3,189,1,468,"4,868"
Delaware,"2,256","4,314",27,"4,715",9,"11,321",109,111,2,238,1,461,"11,782"
Des Moines,"10,087","6,547",119,"8,987",36,"25,776",837,414,12,"1,065",5,"2,333","28,109"
Dickinson,"2,344","5,549",53,"4,610",6,"12,562",172,276,3,418,3,872,"13,434"
Dubuque,"24,895","15,974",307,"22,490",87,"63,753","1,675",998,32,"2,014",19,"4,738","68,491"
Emmet,"1,688","1,803",15,"2,736",2,"6,244",113,121,1,309,1,545,"6,789"
Fayette,"3,238","3,984",38,"4,283",13,"11,556",175,113,2,271,2,563,"12,119"
Floyd,"2,820","2,664",26,"4,781",10,"10,301",239,134,6,415,1,795,"11,096"
