County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,983,"1,995","2,024",29,"5,031",48,64,127,2,241,"5,272"
Adams,556,997,"1,084",8,"2,645",33,42,102,2,179,"2,824"
Allamakee,"2,086","4,050","3,035",39,"9,210",134,145,307,3,589,"9,799"
Appanoose,"2,179","2,953","2,867",37,"8,036",160,165,360,4,689,"8,725"
Audubon,943,"1,904","1,189",20,"4,056",40,60,92,0,192,"4,248"
Benton,"3,938","5,694","7,334",100,"17,066",172,199,387,11,769,"17,835"
Black Hawk,"29,779","20,715","30,346",823,"81,663","2,152","1,410","2,754",67,"6,383","88,046"
Boone,"5,153","5,747","7,032",162,"18,094",266,301,588,13,"1,168","19,262"
Bremer,"3,971","5,106","7,355",105,"16,537",216,217,525,10,968,"17,505"
Buchanan,"3,456","3,187","6,379",51,"13,073",144,92,429,6,671,"13,744"
Buena Vista,"2,875","4,056","4,299",75,"11,305",298,229,447,2,976,"12,281"
Butler,"1,691","4,480","3,418",50,"9,639",65,123,190,1,379,"10,018"
Calhoun,"1,280","2,504","2,524",43,"6,351",48,84,122,3,257,"6,608"
Carroll,"3,550","4,269","5,894",78,"13,791",125,139,258,8,530,"14,321"
Cass,"1,435","4,612","2,879",39,"8,965",111,240,323,2,676,"9,641"
Cedar,"3,120","3,800","4,844",77,"11,841",122,135,244,9,510,"12,351"
Cerro Gordo,"8,497","7,963","12,580",120,"29,160",404,375,884,9,"1,672","30,832"
Cherokee,"1,480","3,648","2,701",42,"7,871",58,98,202,2,360,"8,231"
Chickasaw,"2,356","2,392","3,289",29,"8,066",96,107,256,2,461,"8,527"
Clarke,"1,437","1,956","2,164",29,"5,586",71,88,173,6,338,"5,924"
Clay,"1,946","5,382","3,526",54,"10,908",130,234,340,5,709,"11,617"
Clayton,"3,159","3,654","4,615",54,"11,482",141,136,202,4,483,"11,965"
Clinton,"9,312","7,729","13,625",153,"30,819",627,342,"1,065",14,"2,048","32,867"
Crawford,"2,444","3,262","3,655",35,"9,396",86,100,191,2,379,"9,775"
Dallas,"14,362","19,856","22,341",524,"57,083",876,"1,306","1,961",53,"4,196","61,279"
Davis,"1,656","1,724","1,392",18,"4,790",83,79,124,3,289,"5,079"
Decatur,"1,300","1,769","1,391",31,"4,491",136,96,176,5,413,"4,904"
Delaware,"2,267","4,318","4,716",49,"11,350",88,104,223,7,422,"11,772"
Des Moines,"10,120","6,653","9,028",177,"25,978",622,323,788,21,"1,754","27,732"
