County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,704,2020,20,1186,3,3933,219,414,11,810,3,1457,5390
Adams,386,1037,6,646,2,2077,93,207,0,439,0,739,2816
Allamakee,1590,3604,22,1876,5,7097,495,869,20,1343,4,2731,9828
Appanoose,1283,3060,29,1583,5,5960,560,813,23,1356,9,2761,8721
Audubon,723,1711,13,723,3,3173,180,339,7,461,2,989,4162
Benton,3142,5841,65,5087,13,14148,780,1014,49,2633,13,4489,18637
Black Hawk,20924,18637,344,17130,75,57110,10506,4834,260,13069,118,28787,85897
Boone,4049,5737,79,4639,17,14521,1087,1312,56,2982,13,5450,19971
Bremer,3290,5183,50,4976,11,13510,926,1003,28,2471,7,4435,17945
Buchanan,2712,3676,43,3736,4,10171,680,673,26,2478,7,3864,14035
Buena Vista,1591,3478,30,1946,11,7056,1490,1185,35,2200,16,4926,11982
Butler,1400,4123,33,2003,9,7568,388,817,26,1316,5,2552,10120
Calhoun,874,2525,25,1567,2,4993,275,514,14,847,5,1655,6648
Carroll,2434,4838,72,3740,10,11094,756,987,31,1976,7,3757,14851
Cass,1100,3910,22,1518,8,6558,407,1004,23,1423,8,2865,9423
Cedar,2537,4064,59,3091,9,9760,681,750,30,1650,14,3125,12885
Cerro Gordo,6392,7872,88,7123,21,21496,2321,1806,70,5261,38,9496,30992
Cherokee,892,3597,18,1306,3,5816,391,730,13,1118,5,2257,8073
Chickasaw,1624,2525,15,1923,1,6088,407,484,20,1184,8,2103,8191
Clarke,942,2047,23,1155,5,4172,432,485,19,1009,11,1956,6128
Clay,1434,4692,45,2015,15,8201,596,1214,38,1586,6,3440,11641
Clayton,2320,3921,45,2854,8,9148,646,871,25,1530,12,3084,12232
Clinton,6454,8365,106,7583,24,22532,2843,2055,90,6108,38,11134,33666
Crawford,1305,3031,27,1708,6,6077,1008,911,27,1779,15,3740,9817
Dallas,15912,21490,321,18485,48,56256,4370,4510,215,9576,50,18721,74977
Davis,967,1985,13,793,4,3762,264,446,9,642,5,1366,5128
Decatur,734,1730,16,776,3,3259,414,444,12,683,5,1558,4817
Delaware,1928,4339,32,3209,9,9517,495,729,17,1555,7,2803,12320
Des Moines,6151,6418,105,5224,27,17925,3160,1950,96,4642,25,9873,27798
Dickinson,2005,5914,44,2981,9,10953,674,1309,51,1678,9,3721,14674
Dubuque,18649,16718,259,13497,53,49176,6628,4419,252,9581,77,20957,70133
Emmet,1051,1879,14,1426,8,4378,425,505,21,1184,0,2135,6513
Fayette,2350,4037,30,2850,11,9278,757,807,28,1626,13,3231,12509
Floyd,1908,2682,34,2741,4,7369,770,620,27,1911,11,3339,10708
Franklin,829,2618,10,1146,3,4606,342,543,21,1047,7,1960,6566
Fremont,651,2152,10,672,4,3489,280,676,22,586,9,1573,5062
Greene,1086,2242,34,1350,10,4722,359,520,17,831,5,1732,6454
Grundy,1151,3807,30,1854,4,6846,382,718,16,1062,3,2181,9027
Guthrie,1249,3024,39,1860,3,6175,362,574,16,1166,1,2119,8294
Hamilton,1593,3645,31,2037,4,7310,596,796,24,1371,9,2796,10106
Hancock,1000,3192,22,1335,3,5552,367,703,14,1092,12,2188,7740
Hardin,1803,4294,35,1974,6,8112,671,1110,28,1566,8,3383,11495
Harrison,1365,4037,46,1514,7,6969,428,812,26,831,11,2108,9077
Henry,1856,4483,46,2625,8,9018,752,1161,44,2369,11,4337,13355
Howard,1168,1571,19,1797,1,4556,303,372,13,1085,4,1777,6333
Humboldt,811,2561,18,1522,3,4915,261,543,14,937,4,1759,6674
Ida,528,1985,7,941,1,3462,179,459,5,726,3,1372,4834
Iowa,1967,4236,41,2950,7,9201,617,809,32,1771,10,3239,12440
Jackson,3341,3879,38,3015,8,10281,1014,800,16,2443,10,4283,14564
