County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,922,"1,910",13,"2,071",4,"4,920",74,70,3,165,0,312,"5,232"
Adams,548,934,6,"1,171",1,"2,660",44,55,1,133,0,233,"2,893"
Allamakee,"1,989","4,124",19,"3,035",7,"9,174",161,163,4,369,0,697,"9,871"
Appanoose,"2,155","2,891",21,"2,926",9,"8,002",192,180,3,410,1,786,"8,788"
Audubon,911,"1,949",11,"1,224",4,"4,099",42,65,0,100,0,207,"4,306"
Benton,"3,797","5,772",64,"7,340",13,"16,986",211,231,6,510,3,961,"17,947"
Black Hawk,"28,402","20,720",410,"30,188",169,"79,889","2,559","1,497",48,"3,259",21,"7,384","87,273"
Boone,"5,005","5,691",75,"7,121",24,"17,916",295,357,14,690,0,"1,356","19,272"
Bremer,"3,717","5,119",60,"7,388",10,"16,294",258,257,5,608,3,"1,131","17,425"
Buchanan,"3,360","3,168",32,"6,459",4,"13,023",163,117,5,518,2,805,"13,828"
Buena Vista,"2,828","4,026",40,"4,350",22,"11,266",328,250,3,526,0,"1,107","12,373"
Butler,"1,635","4,418",27,"3,479",6,"9,565",90,129,2,237,0,458,"10,023"
Calhoun,"1,210","2,478",18,"2,592",6,"6,304",69,87,2,153,2,313,"6,617"
Carroll,"3,547","4,196",51,"5,934",15,"13,743",143,138,7,299,0,587,"14,330"
Cass,"1,387","4,604",25,"2,926",7,"8,949",115,231,2,348,0,696,"9,645"
Cedar,"2,999","3,784",48,"4,765",10,"11,606",131,151,5,271,2,560,"12,166"
Cerro Gordo,"8,439","7,997",67,"12,621",18,"29,142",496,405,4,"1,006",4,"1,915","31,057"
Cherokee,"1,481","3,606",19,"2,748",5,"7,859",77,117,1,241,0,436,"8,295"
Chickasaw,"2,366","2,378",14,"3,321",10,"8,089",107,121,3,302,0,533,"8,622"
Clarke,"1,465","1,827",19,"2,241",3,"5,555",70,83,3,224,0,380,"5,935"
Clay,"1,823","5,457",36,"3,519",5,"10,840",163,272,3,429,1,868,"11,708"
