County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,976,"1,995","2,034",30,"5,035",46,65,136,2,249,"5,284"
Adams,546,994,"1,085",7,"2,632",38,41,100,2,181,"2,813"
Allamakee,"2,077","4,052","3,041",40,"9,210",130,136,296,3,565,"9,775"
Appanoose,"2,154","2,945","2,831",38,"7,968",171,174,399,4,748,"8,716"
Audubon,944,"1,896","1,184",20,"4,044",35,56,92,0,183,"4,227"
Benton,"3,921","5,699","7,314",102,"17,036",166,188,401,9,764,"17,800"
Black Hawk,"29,647","20,667","30,308",815,"81,437","2,219","1,354","2,815",68,"6,456","87,893"
Boone,"5,130","5,760","7,075",163,"18,128",246,275,564,12,"1,097","19,225"
Bremer,"3,970","5,117","7,385",106,"16,578",195,197,508,9,909,"17,487"
Buchanan,"3,426","3,170","6,394",49,"13,039",142,92,440,5,679,"13,718"
Buena Vista,"2,882","4,069","4,319",76,"11,346",286,216,440,2,944,"12,290"
Butler,"1,678","4,458","3,399",51,"9,586",65,109,188,2,364,"9,950"
Calhoun,"1,274","2,501","2,537",44,"6,356",41,73,113,3,230,"6,586"
Carroll,"3,525","4,291","5,935",80,"13,831",113,127,222,7,469,"14,300"
Cass,"1,430","4,594","2,885",38,"8,947",113,244,334,2,693,"9,640"
Cedar,"3,116","3,791","4,825",79,"11,811",107,132,234,9,482,"12,293"
Cerro Gordo,"8,461","7,949","12,636",119,"29,165",373,330,838,9,"1,550","30,715"
Cherokee,"1,463","3,631","2,671",44,"7,809",63,93,231,2,389,"8,198"
Chickasaw,"2,341","2,398","3,303",28,"8,070",94,101,254,4,453,"8,523"
Clarke,"1,437","1,959","2,147",31,"5,574",72,86,188,5,351,"5,925"
Clay,"1,932","5,357","3,536",54,"10,879",135,232,353,6,726,"11,605"
Clayton,"3,137","3,649","4,620",52,"11,458",127,132,206,4,469,"11,927"
Clinton,"9,230","7,707","13,620",149,"30,706",666,340,"1,156",18,"2,180","32,886"
Crawford,"2,409","3,257","3,630",34,"9,330",92,95,210,2,399,"9,729"
Dallas,"14,377","19,870","22,511",527,"57,285",787,"1,200","1,883",47,"3,917","61,202"
Davis,"1,649","1,732","1,396",20,"4,797",72,74,118,3,267,"5,064"
Decatur,"1,254","1,757","1,370",31,"4,412",163,105,197,4,469,"4,881"
Delaware,"2,255","4,312","4,721",47,"11,335",89,105,243,7,444,"11,779"
