County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,919,2101,1524,22,4566,135,215,476,8,834,5400
Adams,500,1102,773,12,2387,58,83,288,1,430,2817
Allamakee,2001,3900,2173,35,8109,318,483,829,15,1645,9754
Appanoose,1779,3206,2057,47,7089,407,381,817,12,1617,8706
Audubon,910,1838,862,15,3625,108,194,325,3,630,4255
Benton,3907,5974,5646,114,15641,481,492,1542,30,2545,18186
Black Hawk,28855,20700,21715,592,71862,5520,2652,7146,218,15536,87398
Boone,5087,6135,5200,130,16552,642,684,1784,45,3155,19707
Bremer,4141,5380,5906,90,15517,548,471,1370,22,2411,17928
Buchanan,3428,3600,4646,54,11728,397,333,1473,16,2219,13947
Buena Vista,2489,3838,2848,65,9240,793,595,1376,20,2784,12024
Butler,1770,4460,2479,48,8757,194,386,807,11,1398,10155
Calhoun,1154,2678,1848,37,5717,180,254,557,14,1005,6722
Carroll,3209,4763,4324,69,12365,455,532,1273,26,2286,14651
Cass,1476,4280,2109,43,7908,223,585,813,19,1640,9548
Cedar,3166,4285,3757,81,11289,345,368,909,30,1652,12941
Cerro Gordo,8281,7900,9461,159,25801,1270,961,3061,47,5339,31140
Cherokee,1264,4007,1677,29,6977,246,364,766,8,1384,8361
Chickasaw,2133,2580,2325,35,7073,268,215,772,13,1268,8341
Clarke,1289,2205,1530,42,5066,247,250,589,13,1099,6165
Clay,1908,5158,2632,64,9762,328,609,1028,22,1987,11749
Clayton,2929,3786,3505,63,10283,384,426,901,18,1729,12012
Clinton,8951,8797,9347,173,27268,1619,948,3598,70,6235,33503
Crawford,2006,3428,2549,49,8032,538,427,965,23,1953,9985
Dallas,18188,21430,19219,507,59344,1944,2191,4653,147,8935,68279
Davis,1332,1984,1039,18,4373,166,221,336,10,733,5106
Decatur,1076,1857,1135,21,4089,288,212,347,16,863,4952
Delaware,2363,4529,3813,51,10756,271,345,798,13,1427,12183
Des Moines,8719,6869,6251,167,22006,1902,1008,2729,66,5705,27711
Dickinson,2563,6019,3416,79,12077,373,654,1012,32,2071,14148
Dubuque,24289,18193,16237,466,59185,3639,2271,4973,157,11040,70225
Emmet,1489,1914,1851,33,5287,291,299,810,7,1407,6694
Fayette,3135,4161,3451,61,10808,448,396,924,24,1792,12600
Floyd,2554,2774,3504,59,8891,562,379,1248,20,2209,11100
Franklin,1155,2868,1540,33,5596,182,273,515,7,977,6573
Fremont,858,2452,827,28,4165,183,327,387,15,912,5077
Greene,1458,2332,1577,39,5406,227,292,582,8,1109,6515
Grundy,1506,4018,2087,44,7655,218,410,700,9,1337,8992
Guthrie,1562,2909,2270,49,6790,240,327,764,10,1341,8131
Hamilton,2164,4122,2264,49,8599,307,386,839,15,1547,10146
Hancock,1361,3407,1850,36,6654,201,332,616,14,1163,7817
Hardin,2381,4678,2656,57,9772,411,534,971,20,1936,11708
Harrison,1905,4437,2064,68,8474,189,317,385,15,906,9380
Henry,2562,4988,3267,67,10884,580,727,1761,40,3108,13992
Howard,1489,1693,2146,30,5358,191,154,566,7,918,6276
Humboldt,1094,2761,1828,29,5712,145,256,483,10,894,6606
Ida,694,2237,1251,17,4199,123,212,407,6,748,4947
Iowa,2496,4515,3454,70,10535,327,415,952,25,1719,12254
Jackson,4519,3925,3716,45,12205,586,348,1463,11,2408,14613
Jasper,7274,7956,6769,142,22141,1106,834,2259,29,4228,26369
Jefferson,3986,3281,2203,77,9547,639,331,798,25,1793,11340
Johnson,46988,16236,24077,750,88051,8838,3662,8857,330,21687,109738
Jones,3038,4374,4375,50,11837,354,400,1296,15,2065,13902
Keokuk,1408,2581,1676,28,5693,267,269,555,7,1098,6791
Kossuth,2399,4421,2820,32,9672,267,371,861,15,1514,11186
Lee,7284,5443,5516,130,18373,1398,650,2430,61,4539,22912
Linn,54215,38129,41665,1412,135421,8033,4919,11460,449,24861,160282
Louisa,1466,2574,1816,25,5881,317,260,749,12,1338,7219
Lucas,1098,2373,1471,29,4971,179,280,512,8,979,5950
Lyon,680,5705,894,17,7296,155,627,425,6,1213,8509
Madison,2589,4602,3192,80,10463,323,458,761,20,1562,12025
Mahaska,2313,6679,3258,112,12362,443,689,1249,22,2403,14765
Marion,4822,9858,5805,148,20633,764,1084,1746,28,3622,24255
Marshall,6921,7176,5609,139,19845,1243,882,2487,54,4666,24511
Mills,1762,5012,2040,94,8908,376,734,876,40,2026,10934
Mitchell,1562,2552,2115,41,6270,226,273,598,14,1111,7381
Monona,1351,2316,1465,36,5168,250,262,502,16,1030,6198
Monroe,1183,2005,1260,21,4469,175,187,328,14,704,5173
Montgomery,1063,3343,1467,36,5909,211,468,700,16,1395,7304
Muscatine,7272,7938,7362,197,22769,1680,1157,3118,80,6035,28804
O'Brien,1088,5324,1583,45,8040,255,701,720,21,1697,9737
Osceola,424,2369,785,16,3594,84,241,316,4,645,4239
Page,1508,4833,1893,61,8295,331,624,903,16,1874,10169
Palo Alto,1668,2204,1562,24,5458,207,182,496,13,898,6356
Plymouth,2744,8349,3935,89,15117,491,958,1323,35,2807,17924
Pocahontas,759,2176,1204,28,4167,160,211,414,10,795,4962
Polk,118958,79380,75100,2803,276241,18702,9882,20610,863,50057,326298
Pottawattamie,14462,20919,13796,551,49728,3507,3535,6408,273,13723,63451
Poweshiek,3558,3737,3686,62,11043,1371,429,1333,19,3152,14195
Ringgold,505,1891,466,11,2873,96,153,169,2,420,3293
Sac,1086,3372,1590,19,6067,157,327,638,7,1129,7196
Scott,35185,30463,33891,891,100430,8538,5099,15043,386,29066,129496
Shelby,1649,3751,2048,31,7479,221,373,513,18,1125,8604
Sioux,1871,15115,3327,75,20388,319,1353,906,27,2605,22993
Story,20669,15281,17596,648,54194,4761,3466,7005,315,15547,69741
Tama,2826,3453,3350,73,9702,416,332,1121,12,1881,11583
Taylor,576,1975,888,26,3465,104,192,308,8,612,4077
Union,1478,3190,2047,36,6751,276,295,949,15,1535,8286
Van Buren,744,2277,1073,27,4121,144,253,427,9,833,4954
Wapello,6294,5627,5092,111,17124,1463,809,2091,45,4408,21532
Warren,10086,12679,9759,257,32781,1219,1290,2405,81,4995,37776
Washington,3235,5539,4015,93,12882,451,649,1309,42,2451,15333
Wayne,751,1580,941,18,3290,122,165,253,4,544,3834
Webster,6455,7196,6104,154,19909,1405,1056,2789,65,5315,25224
Winnebago,1571,2811,2140,41,6563,267,298,793,12,1370,7933
Winneshiek,4287,4457,4034,50,12828,762,393,1072,27,2254,15082
Woodbury,15747,20530,13368,407,50052,3963,2996,6287,140,13386,63438
Worth,1258,1928,1592,24,4802,169,169,452,3,793,5595
Wright,1598,3290,1868,31,6787,287,348,636,14,1285,8072
Totals,"610,178","657,423","539,194","14,489","1,821,284","107,190","81,770","182,942","5,155","377,057","2,198,341"
