County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,024","1,892","2,060",9,"4,985",66,66,161,0,293,"5,278"
Adams,600,948,"1,190",4,"2,742",28,31,102,0,161,"2,903"
Allamakee,"2,065","4,103","3,212",13,"9,393",123,127,251,0,501,"9,894"
Appanoose,"2,383","2,773","3,014",11,"8,181",213,182,392,0,787,"8,968"
Audubon,"1,197","1,521","1,436",11,"4,165",44,52,104,0,200,"4,365"
Benton,"4,190","4,961","7,574",44,"16,769",271,184,598,3,"1,056","17,825"
Black Hawk,"28,123","20,195","31,554",414,"80,286","1,969","1,008","2,468",36,"5,481","85,767"
Boone,"4,997","5,415","7,148",62,"17,622",261,285,616,3,"1,165","18,787"
Bremer,"3,553","4,925","7,657",41,"16,176",197,182,460,4,843,"17,019"
Buchanan,"3,581","3,068","6,554",18,"13,221",175,128,444,1,748,"13,969"
Buena Vista,"2,860","3,927","4,705",22,"11,514",169,180,251,2,602,"12,116"
Butler,"1,638","4,412","3,593",13,"9,656",87,103,195,0,385,"10,041"
Calhoun,"1,286","2,329","2,651",13,"6,279",96,100,238,4,438,"6,717"
Carroll,"3,804","3,872","6,241",46,"13,963",203,199,535,4,941,"14,904"
Cass,"1,489","4,629","3,066",13,"9,197",110,232,333,0,675,"9,872"
Cedar,"3,005","3,663","4,704",30,"11,402",170,131,296,2,599,"12,001"
Cerro Gordo,"8,812","7,814","12,689",54,"29,369",591,399,"1,126",3,"2,119","31,488"
Cherokee,"1,763","3,124","3,056",18,"7,961",135,164,363,2,664,"8,625"
Chickasaw,"2,621","2,174","3,628",15,"8,438",134,109,290,1,534,"8,972"
Clarke,"1,494","1,752","2,245",11,"5,502",103,118,273,1,495,"5,997"
Clay,"2,299","4,420","4,260",19,"10,998",241,264,483,0,988,"11,986"
Clayton,"3,258","3,288","4,871",27,"11,444",138,117,265,2,522,"11,966"
Clinton,"9,823","7,161","13,428",62,"30,474","1,045",394,"1,432",6,"2,877","33,351"
Crawford,"2,526","3,104","3,556",7,"9,193",143,104,256,0,503,"9,696"
Dallas,"10,370","17,324","20,614",180,"48,488",898,"1,351","2,157",11,"4,417","52,905"
Davis,"1,764","1,502","1,470",4,"4,740",111,70,175,1,357,"5,097"
Decatur,"1,361","1,521","1,479",11,"4,372",64,46,79,0,189,"4,561"
Delaware,"2,460","3,743","5,024",7,"11,234",80,105,197,0,382,"11,616"
Des Moines,"10,700","5,979","8,894",72,"25,645",786,398,943,6,"2,133","27,778"
Dickinson,"2,350","5,106","4,689",30,"12,175",137,208,292,3,640,"12,815"
Dubuque,"24,203","14,933","22,703",225,"62,064","1,687",917,"2,070",23,"4,697","66,761"
Emmet,"1,831","1,618","2,793",8,"6,250",241,168,530,0,939,"7,189"
Fayette,"3,438","3,864","4,212",37,"11,551",194,123,302,5,624,"12,175"
Floyd,"3,040","2,570","4,811",14,"10,435",165,105,321,3,594,"11,029"
Franklin,"1,215","3,002","2,325",7,"6,549",59,66,167,2,294,"6,843"
Fremont,"1,090","1,955","1,635",7,"4,687",154,213,317,1,685,"5,372"
Greene,"1,776","2,069","2,320",13,"6,178",102,123,246,1,472,"6,650"
Grundy,"1,368","3,967","3,136",18,"8,489",67,120,230,3,420,"8,909"
Guthrie,"1,699","2,615","3,004",26,"7,344",104,137,292,0,533,"7,877"
Hamilton,"2,451","3,422","3,844",30,"9,747",138,167,288,1,594,"10,341"
Hancock,"1,456","3,182","2,856",9,"7,503",116,116,293,1,526,"8,029"
Hardin,"2,475","4,537","3,941",18,"10,971",233,219,414,3,869,"11,840"
Harrison,"2,055","3,537","2,360",32,"7,984",35,47,57,2,141,"8,125"
Henry,"2,654","4,992","4,922",26,"12,594",381,318,699,2,"1,400","13,994"
Howard,"1,707","1,374","2,685",4,"5,770",106,79,277,0,462,"6,232"
Humboldt,"1,214","2,571","2,414",4,"6,203",85,89,194,0,368,"6,571"
Ida,820,"2,156","1,803",12,"4,791",51,105,198,0,354,"5,145"
Iowa,"2,575","3,819","5,006",30,"11,430",150,197,365,3,715,"12,145"
Jackson,"5,158","2,764","5,782",21,"13,725",282,157,528,3,970,"14,695"
Jasper,"7,975","7,098","8,861",48,"23,982",474,369,829,3,"1,675","25,657"
Jefferson,"3,347","3,300","3,332",75,"10,054",272,178,432,13,895,"10,949"
Johnson,"37,487","17,513","31,103",649,"86,752","5,899","2,831","6,741",112,"15,583","102,335"
Jones,"3,167","3,620","6,013",18,"12,818",129,116,348,1,594,"13,412"
Keokuk,"1,972","2,240","2,340",8,"6,560",143,93,271,2,509,"7,069"
Kossuth,"3,173","3,318","4,361",15,"10,867",96,99,249,1,445,"11,312"
Lee,"9,171","3,999","8,262",52,"21,484",735,327,"1,088",4,"2,154","23,638"
Linn,"46,263","36,758","51,401",773,"135,195","4,941","2,663","5,989",76,"13,669","148,864"
Louisa,"1,600","2,315","2,571",12,"6,498",201,142,395,1,739,"7,237"
Lucas,"1,298","2,158","2,003",10,"5,469",74,103,204,1,382,"5,851"
Lyon,829,"5,358","1,739",6,"7,932",89,184,168,0,441,"8,373"
Madison,"2,668","3,899","3,900",22,"10,489",152,220,337,0,709,"11,198"
Mahaska,"2,793","5,821","4,914",52,"13,580",289,264,483,2,"1,038","14,618"
Marion,"5,051","9,028","7,776",53,"21,908",396,557,734,5,"1,692","23,600"
Marshall,"6,807","7,211","9,237",43,"23,298",640,504,"1,053",2,"2,199","25,497"
Mills,"1,917","4,851","3,089",29,"9,886",179,280,390,2,851,"10,737"
Mitchell,"1,685","2,391","2,755",9,"6,840",106,108,179,1,394,"7,234"
Monona,"1,858","1,846","2,372",10,"6,086",121,123,225,0,469,"6,555"
Monroe,"1,583","1,487","1,564",6,"4,640",99,72,136,3,310,"4,950"
Montgomery,968,"3,607","2,154",5,"6,734",88,198,250,1,537,"7,271"
Muscatine,"7,441","7,875","10,527",57,"25,900",636,584,"1,211",2,"2,433","28,333"
O'Brien,"1,270","5,265","2,664",18,"9,217",95,216,299,2,612,"9,829"
Osceola,484,"2,462","1,116",5,"4,067",31,99,123,0,253,"4,320"
Page,"1,518","4,231","3,457",16,"9,222",170,249,521,5,945,"10,167"
Palo Alto,"2,161","1,592","2,200",12,"5,965",124,84,216,0,424,"6,389"
Plymouth,"3,072","7,706","5,499",37,"16,314",294,434,595,2,"1,325","17,639"
Pocahontas,"1,035","1,631","2,212",14,"4,892",53,74,170,1,298,"5,190"
Polk,"100,031","80,846","86,083","1,549","268,509","6,745","4,311","7,121",98,"18,275","286,784"
Pottawattamie,"14,837","20,019","19,035",255,"54,146","1,901","1,570","2,844",29,"6,344","60,490"
Poweshiek,"3,663","3,640","5,256",49,"12,608",534,125,468,2,"1,129","13,737"
Ringgold,823,"1,430",776,2,"3,031",45,47,69,0,161,"3,192"
Sac,"1,280","3,042","2,567",6,"6,895",77,119,212,0,408,"7,303"
Scott,"34,372","30,335","46,176",583,"111,466","3,454","2,284","5,218",40,"10,996","122,462"
Shelby,"1,707","3,453","2,530",9,"7,699",58,63,125,1,247,"7,946"
Sioux,"1,611","14,339","3,950",31,"19,931",112,479,399,3,993,"20,924"
Story,"15,654","15,846","21,971",434,"53,905","2,235","1,527","3,378",65,"7,205","61,110"
Tama,"3,084","3,219","4,698",15,"11,016",159,124,378,0,661,"11,677"
Taylor,687,"1,790","1,233",8,"3,718",79,107,240,0,426,"4,144"
Union,"1,624","2,667","3,215",13,"7,519",79,97,235,0,411,"7,930"
Van Buren,967,"2,078","1,574",22,"4,641",67,105,189,0,361,"5,002"
Wapello,"8,473","4,978","7,131",47,"20,629",705,345,860,3,"1,913","22,542"
Warren,"9,204","10,708","11,239",89,"31,240",594,585,"1,041",8,"2,228","33,468"
Washington,"2,861","5,547","5,398",53,"13,859",160,205,413,2,780,"14,639"
Wayne,921,"1,329","1,177",3,"3,430",57,79,87,0,223,"3,653"
Webster,"8,114","6,381","8,538",60,"23,093",676,447,"1,069",6,"2,198","25,291"
Winnebago,"1,469","2,824","2,867",9,"7,169",127,117,246,0,490,"7,659"
Winneshiek,"3,469","4,249","5,344",26,"13,088",204,111,297,1,613,"13,701"
Woodbury,"17,598","18,556","19,357",173,"55,684","1,595","1,131","2,081",19,"4,826","60,510"
Worth,"1,427","1,694","2,065",5,"5,191",120,76,256,2,454,"5,645"
Wright,"1,823","3,388","2,624",13,"7,848",148,217,300,1,666,"8,514"
Totals,"583,913","610,530","721,040","7,330","1,922,813","49,595","35,945","74,725",670,"160,935","2,083,748"
