County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,971,"1,934",14,"2,063",5,"4,987",46,45,1,123,0,215,"5,202"
Adams,565,964,7,"1,173",1,"2,710",39,39,0,121,0,199,"2,909"
Allamakee,"2,033","4,181",21,"2,996",6,"9,237",150,148,2,335,0,635,"9,872"
Appanoose,"2,213","2,912",17,"2,925",9,"8,076",173,139,1,356,0,669,"8,745"
Audubon,928,"2,001",11,"1,230",5,"4,175",42,54,0,86,0,182,"4,357"
Benton,"3,927","5,885",62,"7,306",17,"17,197",169,180,4,419,0,772,"17,969"
Black Hawk,"29,337","21,448",408,"30,316",169,"81,678","2,116","1,158",45,"2,699",16,"6,034","87,712"
Boone,"5,175","5,834",80,"7,057",24,"18,170",236,275,5,555,0,"1,071","19,241"
Bremer,"3,805","5,242",57,"7,360",13,"16,477",213,185,6,498,1,903,"17,380"
Buchanan,"3,468","3,261",32,"6,432",5,"13,198",141,95,1,420,1,658,"13,856"
Buena Vista,"2,896","4,096",36,"4,393",21,"11,442",283,214,3,475,0,975,"12,417"
Butler,"1,673","4,497",24,"3,481",7,"9,682",70,101,0,192,0,363,"10,045"
Calhoun,"1,267","2,543",16,"2,648",6,"6,480",48,54,1,105,2,210,"6,690"
Carroll,"3,635","4,239",50,"5,953",16,"13,893",118,114,5,246,0,483,"14,376"
Cass,"1,438","4,714",23,"2,910",8,"9,093",100,201,2,304,0,607,"9,700"
Cedar,"3,047","3,890",50,"4,809",13,"11,809",114,116,6,231,1,468,"12,277"
Cerro Gordo,"8,615","8,223",62,"12,602",19,"29,521",413,292,2,817,3,"1,527","31,048"
Cherokee,"1,529","3,669",19,"2,709",5,"7,931",69,92,0,205,0,366,"8,297"
Chickasaw,"2,421","2,412",16,"3,332",9,"8,190",108,109,2,273,0,492,"8,682"
Clarke,"1,508","1,861",18,"2,248",5,"5,640",58,63,2,178,0,301,"5,941"
Clay,"1,875","5,621",35,"3,489",4,"11,024",145,207,0,367,1,720,"11,744"
Clayton,"3,298","3,533",35,"4,608",6,"11,480",165,129,0,277,1,572,"12,052"
Clinton,"9,674","7,653",72,"13,591",46,"31,036",600,268,8,954,2,"1,832","32,868"
Crawford,"2,458","3,271",18,"3,694",7,"9,448",133,137,2,254,0,526,"9,974"
Dallas,"12,680","19,879",296,"21,504",53,"54,412",699,"1,031",11,"1,665",4,"3,410","57,822"
Davis,"1,655","1,746",7,"1,449",4,"4,861",76,74,0,129,1,280,"5,141"
Decatur,"1,335","1,766",21,"1,396",5,"4,523",148,95,3,172,1,419,"4,942"
Delaware,"2,278","4,390",27,"4,709",7,"11,411",95,95,2,209,1,402,"11,813"
Des Moines,"10,308","6,619",107,"8,913",40,"25,987",734,355,7,900,4,"2,000","27,987"
Dickinson,"2,356","5,510",48,"4,669",9,"12,592",154,228,1,351,2,736,"13,328"
Dubuque,"25,297","16,302",274,"22,138",89,"64,100","1,447",795,19,"1,726",13,"4,000","68,100"
Emmet,"1,732","1,821",16,"2,762",2,"6,333",105,98,0,277,1,481,"6,814"
Fayette,"3,345","4,106",39,"4,317",14,"11,821",148,75,2,213,2,440,"12,261"
Floyd,"2,897","2,705",25,"4,725",10,"10,362",210,106,5,342,1,664,"11,026"
Franklin,"1,169","3,113",15,"2,105",3,"6,405",62,88,0,161,1,312,"6,717"
Fremont,993,"2,235",12,"1,475",7,"4,722",71,86,0,155,0,312,"5,034"
Greene,"1,575","2,406",27,"2,183",5,"6,196",63,69,3,159,0,294,"6,490"
Grundy,"1,366","4,047",20,"3,171",5,"8,609",56,107,4,183,2,352,"8,961"
Guthrie,"1,592","2,757",31,"2,928",3,"7,311",62,90,1,190,0,343,"7,654"
Hamilton,"2,286","3,987",29,"3,459",9,"9,770",102,111,3,263,0,479,"10,249"
Hancock,"1,435","3,285",10,"2,770",7,"7,507",57,80,2,210,0,349,"7,856"
Hardin,"2,456","4,660",40,"3,914",10,"11,080",118,160,3,262,1,544,"11,624"
Harrison,"2,072","3,785",35,"2,681",14,"8,587",29,45,1,74,1,150,"8,737"
Henry,"2,586","5,013",47,"4,850",9,"12,505",279,257,2,595,1,"1,134","13,639"
Howard,"1,682","1,456",13,"2,694",1,"5,846",80,50,0,186,0,316,"6,162"
Humboldt,"1,184","2,640",13,"2,443",2,"6,282",63,84,2,161,0,310,"6,592"
Ida,771,"2,228",14,"1,694",3,"4,710",28,56,0,109,0,193,"4,903"
Iowa,"2,572","3,925",42,"4,895",6,"11,440",108,138,0,286,0,532,"11,972"
Jackson,"4,842","3,143",26,"5,767",8,"13,786",212,123,2,420,1,758,"14,544"
Jasper,"8,190","7,369",69,"8,812",19,"24,459",294,231,2,521,1,"1,049","25,508"
Jefferson,"3,883","3,314",50,"3,041",46,"10,334",278,132,7,345,8,770,"11,104"
Johnson,"42,188","18,757",633,"29,716",220,"91,514","5,945","2,800",99,"6,643",54,"15,541","107,055"
Jones,"3,106","3,779",23,"6,080",7,"12,995",112,88,2,331,1,534,"13,529"
Keokuk,"1,821","2,381",14,"2,262",4,"6,482",113,78,0,167,0,358,"6,840"
Kossuth,"2,949","3,504",23,"4,339",9,"10,824",125,136,1,313,0,575,"11,399"
