County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,924,2144,1549,22,4639,118,197,447,8,770,5409
Adams,504,1114,805,10,2433,49,76,262,0,387,2820
Allamakee,2015,3947,2268,36,8266,280,408,751,13,1452,9718
Appanoose,1782,3226,2132,50,7190,382,358,776,12,1528,8718
Audubon,914,1846,904,16,3680,95,180,299,3,577,4257
Benton,3908,6034,5860,119,15921,456,455,1475,29,2415,18336
Black Hawk,28790,20714,22403,602,72509,5309,2517,6861,207,14894,87403
Boone,5077,6171,5426,131,16805,597,629,1685,41,2952,19757
Bremer,4107,5405,6078,88,15678,532,435,1278,22,2267,17945
Buchanan,3432,3643,4795,55,11925,354,286,1359,13,2012,13937
Buena Vista,2537,3897,2961,72,9467,752,539,1289,19,2599,12066
Butler,1763,4478,2566,49,8856,182,346,752,11,1291,10147
Calhoun,1167,2700,1902,39,5808,156,224,514,14,908,6716
Carroll,3197,4853,4482,77,12609,419,475,1182,23,2099,14708
Cass,1482,4312,2195,46,8035,212,530,768,19,1529,9564
Cedar,3163,4289,3840,84,11376,317,331,831,29,1508,12884
Cerro Gordo,8261,7984,9754,162,26161,1210,869,2884,43,5006,31167
Cherokee,1263,4012,1755,30,7060,224,335,711,8,1278,8338
Chickasaw,2131,2587,2399,35,7152,251,197,717,12,1177,8329
Clarke,1279,2223,1584,41,5127,233,234,558,13,1038,6165
Clay,1912,5178,2730,72,9892,306,556,963,19,1844,11736
Clayton,2942,3832,3615,72,10461,343,378,823,16,1560,12021
Clinton,8930,8866,9685,188,27669,1563,883,3436,68,5950,33619
Crawford,2030,3441,2623,52,8146,502,386,917,22,1827,9973
Dallas,18349,21689,20268,521,60827,1821,2027,4367,140,8355,69182
Davis,1324,2012,1083,18,4437,154,201,320,10,685,5122
Decatur,1077,1854,1173,22,4126,277,200,321,15,813,4939
Delaware,2365,4585,3929,51,10930,253,288,714,13,1268,12198
Des Moines,8749,6927,6560,171,22407,1766,923,2532,61,5282,27689
Dickinson,2571,6130,3550,81,12332,346,607,947,29,1929,14261
Dubuque,24355,18315,16837,482,59989,3455,2139,4748,151,10493,70482
Emmet,1496,1935,1943,36,5410,263,279,752,7,1301,6711
Fayette,3138,4203,3562,63,10966,416,348,848,23,1635,12601
Floyd,2557,2794,3639,56,9046,532,349,1171,19,2071,11117
Franklin,1150,2860,1599,34,5643,169,247,487,6,909,6552
Fremont,862,2469,856,28,4215,172,298,363,15,848,5063
Greene,1476,2384,1635,41,5536,204,254,527,8,993,6529
Grundy,1547,4099,2222,45,7913,172,314,596,6,1088,9001
Guthrie,1585,2959,2394,54,6992,213,284,679,9,1185,8177
Hamilton,2158,4115,2354,51,8678,286,352,798,14,1450,10128
Hancock,1362,3422,1926,37,6747,182,286,567,13,1048,7795
Hardin,2371,4715,2743,56,9885,399,494,921,19,1833,11718
Harrison,1908,4438,2087,68,8501,170,293,363,15,841,9342
Henry,2546,5030,3431,71,11078,556,664,1686,37,2943,14021
Howard,1491,1709,2209,29,5438,180,134,527,7,848,6286
Humboldt,1085,2782,1916,30,5813,134,231,440,9,814,6627
Ida,698,2247,1311,14,4270,109,185,370,6,670,4940
Iowa,2492,4552,3602,73,10719,301,365,887,24,1577,12296
Jackson,4494,3957,3876,49,12376,544,320,1374,9,2247,14623
Jasper,7273,8042,7058,153,22526,1025,754,2110,26,3915,26441
Jefferson,3975,3290,2268,76,9609,612,310,760,24,1706,11315
Johnson,47316,16388,25255,769,89728,8594,3504,8572,316,20986,110714
Jones,3030,4396,4535,53,12014,324,357,1203,13,1897,13911
Keokuk,1414,2608,1724,32,5778,245,254,500,5,1004,6782
Kossuth,2395,4443,2964,37,9839,231,322,758,14,1325,11164
Lee,7290,5485,5674,137,18586,1321,599,2318,58,4296,22882
Linn,54359,38376,43017,1423,137175,7608,4520,10857,440,23425,160600
Louisa,1473,2588,1878,27,5966,294,249,711,11,1265,7231
Lucas,1094,2409,1529,28,5060,171,252,469,8,900,5960
Lyon,698,5814,976,17,7505,132,502,362,6,1002,8507
Madison,2592,4625,3316,83,10616,304,425,723,19,1471,12087
Mahaska,2306,6726,3407,113,12552,428,643,1170,21,2262,14814
Marion,4846,10004,6046,147,21043,695,955,1594,27,3271,24314
Marshall,6917,7215,5797,142,20071,1184,822,2372,54,4432,24503
Mills,1807,5160,2168,100,9235,336,631,795,39,1801,11036
Mitchell,1566,2575,2159,43,6343,205,245,557,13,1020,7363
Monona,1346,2358,1504,36,5244,235,240,472,17,964,6208
Monroe,1172,1994,1318,25,4509,162,176,316,12,666,5175
Montgomery,1070,3362,1535,39,6006,201,436,659,14,1310,7316
Muscatine,7271,7952,7570,203,22996,1635,1100,3052,78,5865,28861
O'Brien,1101,5438,1699,50,8288,240,567,614,17,1438,9726
Osceola,425,2410,820,17,3672,75,209,293,4,581,4253
Page,1513,4908,2009,63,8493,312,558,853,16,1739,10232
Palo Alto,1650,2224,1608,25,5507,200,168,466,13,847,6354
Plymouth,2774,8478,4134,94,15480,450,820,1193,33,2496,17976
Pocahontas,757,2182,1251,28,4218,151,186,385,10,732,4950
