County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,707,1941,21,1113,2,3784,237,450,11,869,3,1570,5354
Adams,394,990,5,593,2,1984,109,219,0,464,0,792,2776
Allamakee,1574,3429,20,1685,4,6712,540,952,22,1449,6,2969,9681
Appanoose,1304,2886,28,1448,3,5669,614,910,24,1451,10,3009,8678
Audubon,720,1652,12,678,2,3064,211,371,8,496,2,1088,4152
Benton,3174,5573,58,4755,12,13572,857,1108,49,2857,16,4887,18459
Black Hawk,21031,17731,335,16358,73,55528,11007,5164,280,13681,119,30251,85779
Boone,4045,5416,76,4239,17,13793,1209,1438,62,3213,15,5937,19730
Bremer,3304,4937,46,4704,11,13002,1027,1119,30,2707,8,4891,17893
Buchanan,2733,3506,39,3587,4,9869,737,724,28,2615,8,4112,13981
Buena Vista,1544,3287,30,1828,8,6697,1573,1283,36,2315,18,5225,11922
Butler,1398,3995,30,1883,8,7314,426,886,27,1442,6,2787,10101
Calhoun,877,2413,27,1467,2,4786,312,569,17,917,5,1820,6606
Carroll,2463,4508,55,3496,8,10530,832,1122,39,2183,8,4184,14714
Cass,1101,3783,26,1431,6,6347,432,1083,24,1508,9,3056,9403
Cedar,2559,3891,56,2898,10,9414,726,835,32,1783,15,3391,12805
Cerro Gordo,6428,7422,80,6741,20,20691,2472,1942,76,5558,44,10092,30783
Cherokee,868,3450,18,1209,3,5548,432,824,13,1201,6,2476,8024
Chickasaw,1664,2407,16,1805,1,5893,444,529,20,1263,8,2264,8157
Clarke,949,1974,17,1075,5,4020,459,529,20,1068,11,2087,6107
Clay,1455,4542,40,1920,14,7971,633,1291,39,1681,6,3650,11621
Clayton,2342,3699,39,2715,9,8804,700,948,31,1645,12,3336,12140
Clinton,6470,7866,88,7057,21,21502,3018,2218,96,6500,39,11871,33373
Crawford,1306,2910,21,1608,6,5851,1056,984,30,1881,15,3966,9817
Dallas,15738,19695,321,17397,38,53189,4803,5063,235,10337,54,20492,73681
Davis,984,1915,11,756,4,3670,281,472,12,672,6,1443,5113
Decatur,750,1655,15,720,4,3144,435,466,13,724,5,1643,4787
Delaware,1935,4198,33,3048,8,9222,530,790,19,1661,7,3007,12229
Des Moines,6189,6045,100,4666,20,17020,3374,2067,100,4916,30,10487,27507
Dickinson,2004,5497,40,2743,7,10291,724,1536,59,1858,10,4187,14478
Dubuque,18781,15779,261,12500,47,47368,7068,4720,260,10082,83,22213,69581
Emmet,1059,1765,14,1353,8,4199,458,539,21,1247,0,2265,6464
Fayette,2389,3838,29,2668,10,8934,808,868,28,1719,15,3438,12372
Floyd,1908,2547,31,2561,3,7050,838,668,30,2063,11,3610,10660
Franklin,820,2510,11,1030,3,4374,378,612,22,1135,7,2154,6528
Fremont,633,2036,6,585,3,3263,301,748,23,634,9,1715,4978
Greene,1099,2096,33,1211,7,4446,406,579,19,920,6,1930,6376
Grundy,1163,3664,28,1736,5,6596,413,799,20,1148,3,2383,8979
Guthrie,1270,2934,37,1710,3,5954,386,633,17,1250,1,2287,8241
Hamilton,1614,3534,30,1873,3,7054,632,885,24,1449,10,3000,10054
Hancock,1005,3073,19,1243,3,5343,395,758,14,1155,12,2334,7677
Hardin,1796,4083,31,1819,7,7736,724,1222,31,1725,8,3710,11446
Harrison,1343,3886,41,1413,6,6689,485,922,28,924,12,2371,9060
Henry,1877,4284,45,2404,8,8618,803,1271,49,2517,13,4653,13271
