County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,022","1,887","2,038",9,"4,956",67,67,168,0,302,"5,258"
Adams,598,949,"1,178",4,"2,729",30,31,107,0,168,"2,897"
Allamakee,"2,088","4,136","3,174",13,"9,411",128,132,253,0,513,"9,924"
Appanoose,"2,383","2,767","3,005",11,"8,166",217,186,398,0,801,"8,967"
Audubon,"1,208","1,516","1,420",11,"4,155",46,54,107,0,207,"4,362"
Benton,"4,210","4,957","7,533",40,"16,740",278,192,608,3,"1,081","17,821"
Black Hawk,"28,065","20,169","31,339",396,"79,969","1,987","1,017","2,474",38,"5,516","85,485"
Boone,"5,002","5,372","7,056",58,"17,488",278,293,628,3,"1,202","18,690"
Bremer,"3,554","4,907","7,593",43,"16,097",204,185,478,4,871,"16,968"
Buchanan,"3,592","3,057","6,507",17,"13,173",180,130,454,1,765,"13,938"
Buena Vista,"2,856","3,932","4,669",21,"11,478",170,179,251,2,602,"12,080"
Butler,"1,641","4,412","3,532",12,"9,597",88,105,197,0,390,"9,987"
Calhoun,"1,294","2,329","2,616",13,"6,252",99,100,243,4,446,"6,698"
Carroll,"3,824","3,853","6,197",46,"13,920",207,200,548,4,959,"14,879"
Cass,"1,493","4,644","3,034",14,"9,185",111,237,335,0,683,"9,868"
Cedar,"3,003","3,634","4,654",30,"11,321",174,134,299,2,609,"11,930"
Cerro Gordo,"8,848","7,787","12,553",52,"29,240",598,401,"1,154",3,"2,156","31,396"
Cherokee,"1,769","3,122","3,025",18,"7,934",137,168,374,2,681,"8,615"
Chickasaw,"2,624","2,164","3,595",14,"8,397",135,110,294,1,540,"8,937"
Clarke,"1,493","1,752","2,224",10,"5,479",104,119,277,1,501,"5,980"
Clay,"2,302","4,408","4,213",16,"10,939",241,267,488,0,996,"11,935"
Clayton,"3,259","3,275","4,825",27,"11,386",139,118,270,2,529,"11,915"
Clinton,"9,842","7,160","13,281",58,"30,341","1,056",400,"1,448",6,"2,910","33,251"
Crawford,"2,519","3,091","3,488",7,"9,105",144,105,262,0,511,"9,616"
Dallas,"10,285","17,150","20,173",172,"47,780",920,"1,374","2,208",10,"4,512","52,292"
Davis,"1,777","1,499","1,451",3,"4,730",112,71,180,1,364,"5,094"
Decatur,"1,366","1,528","1,472",11,"4,377",65,48,80,0,193,"4,570"
Delaware,"2,467","3,740","4,978",7,"11,192",83,107,204,0,394,"11,586"
Des Moines,"10,714","5,965","8,802",64,"25,545",797,406,952,6,"2,161","27,706"
Dickinson,"2,349","5,102","4,614",31,"12,096",139,215,298,3,655,"12,751"
Dubuque,"24,229","14,897","22,468",220,"61,814","1,691",918,"2,081",24,"4,714","66,528"
Emmet,"1,841","1,613","2,763",8,"6,225",242,167,538,0,947,"7,172"
Fayette,"3,444","3,871","4,181",37,"11,533",198,126,306,5,635,"12,168"
Floyd,"3,035","2,576","4,765",14,"10,390",171,106,325,3,605,"10,995"
Franklin,"1,219","3,010","2,308",6,"6,543",61,68,171,2,302,"6,845"
Fremont,"1,091","1,956","1,618",7,"4,672",156,216,321,1,694,"5,366"
Greene,"1,768","2,068","2,288",11,"6,135",105,126,249,1,481,"6,616"
Grundy,"1,381","3,949","3,060",17,"8,407",68,123,235,3,429,"8,836"
Guthrie,"1,707","2,613","2,979",26,"7,325",106,135,290,0,531,"7,856"
Hamilton,"2,457","3,423","3,824",30,"9,734",140,168,294,1,603,"10,337"
Hancock,"1,444","3,185","2,817",7,"7,453",119,120,294,1,534,"7,987"
Hardin,"2,476","4,544","3,947",16,"10,983",230,206,398,3,837,"11,820"
Harrison,"2,055","3,528","2,327",32,"7,942",36,48,59,2,145,"8,087"
Henry,"2,654","4,991","4,831",26,"12,502",385,324,712,2,"1,423","13,925"
Howard,"1,714","1,374","2,637",4,"5,729",110,80,279,0,469,"6,198"
Humboldt,"1,225","2,574","2,381",4,"6,184",88,92,196,0,376,"6,560"
Ida,825,"2,153","1,779",12,"4,769",54,105,205,0,364,"5,133"
