County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,977,"1,933",14,"2,058",3,"4,985",47,45,1,123,0,216,"5,201"
Adams,564,969,7,"1,167",1,"2,708",39,40,0,124,0,203,"2,911"
Allamakee,"2,031","4,182",21,"2,981",6,"9,221",151,150,2,338,0,641,"9,862"
Appanoose,"2,220","2,910",16,"2,915",9,"8,070",173,140,1,356,0,670,"8,740"
Audubon,925,"2,002",11,"1,221",5,"4,164",42,55,0,87,0,184,"4,348"
Benton,"3,930","5,899",61,"7,269",18,"17,177",173,182,4,424,0,783,"17,960"
Black Hawk,"29,368","21,444",411,"30,201",169,"81,593","2,135","1,168",46,"2,715",16,"6,080","87,673"
Boone,"5,182","5,821",81,"6,997",25,"18,106",238,277,5,560,0,"1,080","19,186"
Bremer,"3,809","5,247",56,"7,332",13,"16,457",213,186,6,500,1,906,"17,363"
Buchanan,"3,473","3,269",31,"6,404",5,"13,182",143,95,1,422,1,662,"13,844"
Buena Vista,"2,893","4,095",38,"4,384",21,"11,431",285,215,3,475,0,978,"12,409"
Butler,"1,671","4,502",23,"3,477",7,"9,680",70,104,0,195,0,369,"10,049"
Calhoun,"1,265","2,538",15,"2,631",6,"6,455",47,60,1,107,2,217,"6,672"
Carroll,"3,634","4,233",51,"5,949",15,"13,882",119,114,5,248,0,486,"14,368"
Cass,"1,443","4,715",23,"2,898",8,"9,087",101,203,2,305,0,611,"9,698"
Cedar,"3,047","3,885",49,"4,761",14,"11,756",115,116,6,233,1,471,"12,227"
Cerro Gordo,"8,632","8,238",63,"12,544",21,"29,498",415,295,2,817,3,"1,532","31,030"
Cherokee,"1,528","3,669",19,"2,699",5,"7,920",69,92,0,207,0,368,"8,288"
Chickasaw,"2,427","2,411",16,"3,322",8,"8,184",109,112,2,276,0,499,"8,683"
Clarke,"1,509","1,859",18,"2,240",5,"5,631",59,64,2,180,0,305,"5,936"
Clay,"1,877","5,622",35,"3,477",4,"11,015",145,210,0,369,1,725,"11,740"
Clayton,"3,306","3,527",35,"4,595",6,"11,469",167,131,0,276,1,575,"12,044"
Clinton,"9,680","7,639",73,"13,550",45,"30,987",602,270,8,955,2,"1,837","32,824"
Crawford,"2,458","3,267",18,"3,666",7,"9,416",134,137,2,258,0,531,"9,947"
Dallas,"12,669","19,834",287,"21,289",53,"54,132",705,"1,041",11,"1,682",4,"3,443","57,575"
Davis,"1,661","1,752",7,"1,439",4,"4,863",78,75,0,132,1,286,"5,149"
Decatur,"1,338","1,764",20,"1,393",5,"4,520",148,97,3,172,1,421,"4,941"
Delaware,"2,284","4,383",27,"4,672",7,"11,373",95,95,2,215,1,408,"11,781"
Des Moines,"10,302","6,607",106,"8,859",40,"25,914",736,356,7,903,4,"2,006","27,920"
Dickinson,"2,347","5,511",47,"4,642",9,"12,556",154,229,2,352,2,739,"13,295"
Dubuque,"25,336","16,300",270,"22,002",89,"63,997","1,449",796,19,"1,738",13,"4,015","68,012"
Emmet,"1,734","1,824",16,"2,747",2,"6,323",105,99,0,279,1,484,"6,807"
Fayette,"3,344","4,114",39,"4,310",14,"11,821",148,77,2,216,2,445,"12,266"
Floyd,"2,903","2,700",24,"4,713",9,"10,349",210,110,5,343,1,669,"11,018"
Franklin,"1,168","3,116",15,"2,092",3,"6,394",63,88,0,164,1,316,"6,710"
Fremont,988,"2,229",12,"1,467",7,"4,703",72,88,0,158,0,318,"5,021"
Greene,"1,576","2,405",27,"2,179",5,"6,192",63,69,3,161,0,296,"6,488"
Grundy,"1,353","4,048",21,"3,117",5,"8,544",58,107,4,184,2,355,"8,899"
Guthrie,"1,592","2,738",31,"2,839",2,"7,202",64,90,1,190,0,345,"7,547"
Hamilton,"2,290","3,988",30,"3,441",9,"9,758",104,111,3,265,0,483,"10,241"
Hancock,"1,437","3,288",10,"2,763",7,"7,505",60,81,2,211,0,354,"7,859"
Hardin,"2,461","4,659",41,"3,910",10,"11,081",119,163,3,262,1,548,"11,629"
Harrison,"2,074","3,790",34,"2,680",14,"8,592",30,45,1,74,1,151,"8,743"
Henry,"2,593","5,018",46,"4,836",9,"12,502",277,258,2,595,1,"1,133","13,635"
Howard,"1,688","1,453",13,"2,686",1,"5,841",80,51,0,187,0,318,"6,159"
Humboldt,"1,185","2,646",13,"2,434",2,"6,280",64,84,2,161,0,311,"6,591"
Ida,777,"2,233",14,"1,689",3,"4,716",28,56,0,110,0,194,"4,910"
Iowa,"2,575","3,919",42,"4,874",6,"11,416",108,141,0,289,0,538,"11,954"
Jackson,"4,843","3,143",25,"5,724",9,"13,744",212,125,3,422,1,763,"14,507"
Jasper,"8,206","7,354",66,"8,769",19,"24,414",296,235,2,524,1,"1,058","25,472"
Jefferson,"3,878","3,325",50,"3,019",46,"10,318",279,133,7,346,8,773,"11,091"
Johnson,"42,219","18,778",623,"29,377",222,"91,219","5,864","2,793",101,"6,625",52,"15,435","106,654"
Jones,"3,112","3,783",23,"6,054",7,"12,979",112,87,2,337,1,539,"13,518"
Keokuk,"1,834","2,384",14,"2,252",4,"6,488",114,77,0,169,0,360,"6,848"
Kossuth,"2,952","3,504",22,"4,327",9,"10,814",125,137,1,318,0,581,"11,395"
Lee,"8,959","4,435",83,"8,032",23,"21,532",571,274,11,930,2,"1,788","23,320"
Linn,"49,944","38,610","1,017","51,444",324,"141,339","2,880","1,614",68,"3,628",23,"8,213","149,552"
Louisa,"1,610","2,476",14,"2,633",5,"6,738",97,86,1,208,1,393,"7,131"
Lucas,"1,239","2,280",13,"1,998",2,"5,532",60,104,0,170,1,335,"5,867"
Lyon,844,"5,436",12,"1,649",2,"7,943",85,191,2,181,0,459,"8,402"
Madison,"2,610","4,329",40,"3,784",9,"10,772",128,195,2,301,1,627,"11,399"
Mahaska,"2,439","6,836",59,"4,320",14,"13,668",278,259,4,490,0,"1,031","14,699"
Marion,"5,144","9,456",71,"7,722",19,"22,412",296,434,8,614,0,"1,352","23,764"
Marshall,"6,965","7,420",68,"8,852",23,"23,328",388,274,5,682,0,"1,349","24,677"
Mills,"1,951","5,027",61,"3,033",18,"10,090",17,23,1,27,1,69,"10,159"
Mitchell,"1,621","2,524",7,"2,736",5,"6,893",68,73,1,147,0,289,"7,182"
Monona,"1,683","2,044",16,"2,211",7,"5,961",61,64,1,113,0,239,"6,200"
Monroe,"1,487","1,716",10,"1,574",0,"4,787",62,53,1,102,1,219,"5,006"
Montgomery,"1,008","3,591",14,"2,226",7,"6,846",63,118,1,184,0,366,"7,212"
Muscatine,"7,816","8,060",79,"10,256",43,"26,254",548,397,5,939,0,"1,889","28,143"
O'Brien,"1,146","5,732",26,"2,397",9,"9,310",81,143,3,183,1,411,"9,721"
Osceola,459,"2,512",3,"1,133",5,"4,112",18,56,0,71,1,146,"4,258"
Page,"1,450","5,119",25,"2,803",11,"9,408",111,187,5,291,0,594,"10,002"
Palo Alto,"1,954","1,783",15,"2,264",4,"6,020",76,32,0,107,0,215,"6,235"
Plymouth,"3,003","8,323",53,"5,366",24,"16,769",155,278,2,320,0,755,"17,524"
Pocahontas,922,"2,042",14,"1,881",4,"4,863",58,60,2,160,0,280,"5,143"
Polk,"109,274","85,170","2,017","86,704",539,"283,704","6,438","3,912",134,"6,395",34,"16,913","300,617"
Pottawattamie,"15,153","20,963",384,"19,616",113,"56,229","2,199","1,968",44,"3,377",16,"7,604","63,833"
Poweshiek,"3,950","3,718",43,"4,819",12,"12,542",697,130,8,625,4,"1,464","14,006"
Ringgold,813,"1,523",6,775,0,"3,117",36,34,0,54,0,124,"3,241"
Sac,"1,233","3,120",13,"2,454",5,"6,825",61,94,0,190,0,345,"7,170"
Scott,"35,399","31,895",622,"46,135",187,"114,238","3,202","2,113",65,"4,734",20,"10,134","124,372"
Shelby,"1,721","3,606",21,"2,682",3,"8,033",64,99,2,130,1,296,"8,329"
Sioux,"1,686","15,399",46,"4,046",18,"21,195",109,403,7,278,2,799,"21,994"
Story,"18,853","17,928",549,"22,990",157,"60,477","2,160","1,564",72,"3,209",23,"7,028","67,505"
