County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,989,"1,988",20,"1,979",5,"4,981",67,68,3,161,0,299,"5,280"
Adams,567,"1,001",6,"1,100",1,"2,675",46,54,1,126,0,227,"2,902"
Allamakee,"2,098","4,074",26,"3,022",7,"9,227",162,162,4,368,0,696,"9,923"
Appanoose,"2,194","2,956",27,"2,844",9,"8,030",188,179,3,406,1,777,"8,807"
Audubon,963,"1,927",16,"1,205",2,"4,113",42,65,0,98,0,205,"4,318"
Benton,"4,005","5,717",72,"7,264",14,"17,072",208,220,7,485,2,922,"17,994"
Black Hawk,"29,480","20,669",473,"29,885",164,"80,671","2,513","1,482",46,"3,190",19,"7,250","87,921"
Boone,"5,242","5,715",104,"6,980",20,"18,061",284,343,13,673,0,"1,313","19,374"
Bremer,"3,943","5,088",64,"7,260",7,"16,362",255,244,4,594,3,"1,100","17,462"
Buchanan,"3,542","3,182",39,"6,359",4,"13,126",160,112,4,503,1,780,"13,906"
Buena Vista,"2,883","4,090",43,"4,295",23,"11,334",321,241,3,516,0,"1,081","12,415"
Butler,"1,702","4,510",38,"3,372",7,"9,629",86,129,0,234,0,449,"10,078"
Calhoun,"1,281","2,500",24,"2,515",7,"6,327",63,79,2,147,2,293,"6,620"
Carroll,"3,615","4,263",62,"5,851",16,"13,807",138,134,7,279,0,558,"14,365"
Cass,"1,475","4,641",31,"2,844",7,"8,998",110,223,0,337,0,670,"9,668"
Cedar,"3,186","3,774",51,"4,653",11,"11,675",128,145,5,259,2,539,"12,214"
Cerro Gordo,"8,641","8,036",82,"12,569",18,"29,346",489,390,4,991,4,"1,878","31,224"
Cherokee,"1,495","3,709",31,"2,677",5,"7,917",74,105,1,232,0,412,"8,329"
Chickasaw,"2,414","2,383",17,"3,276",8,"8,098",107,121,2,294,0,524,"8,622"
Clarke,"1,463","1,972",22,"2,134",3,"5,594",64,82,3,211,0,360,"5,954"
Clay,"1,980","5,439",44,"3,443",6,"10,912",156,265,2,418,1,842,"11,754"
Clayton,"3,218","3,630",46,"4,542",4,"11,440",175,153,0,303,2,633,"12,073"
Clinton,"9,468","7,744",103,"13,573",33,"30,921",694,360,8,"1,168",7,"2,237","33,158"
Crawford,"2,452","3,261",27,"3,707",9,"9,456",149,156,2,285,0,592,"10,048"
Dallas,"13,794","19,416",358,"21,803",52,"55,423",933,"1,491",32,"2,192",6,"4,654","60,077"
Davis,"1,711","1,702",13,"1,405",3,"4,834",87,87,1,145,2,322,"5,156"
Decatur,"1,291","1,729",29,"1,323",7,"4,379",158,117,3,188,1,467,"4,846"
Delaware,"2,326","4,326",37,"4,643",9,"11,341",104,116,2,238,1,461,"11,802"
Des Moines,"10,209","6,642",132,"8,894",32,"25,909",819,409,12,"1,051",5,"2,296","28,205"
Dickinson,"2,407","5,819",60,"4,456",7,"12,749",161,243,3,383,2,792,"13,541"
Dubuque,"25,846","15,907",342,"22,120",87,"64,302","1,656",978,32,"1,984",19,"4,669","68,971"
Emmet,"1,694","1,843",16,"2,720",2,"6,275",114,120,1,306,1,542,"6,817"
Fayette,"3,381","3,992",44,"4,228",13,"11,658",172,107,3,263,2,547,"12,205"
Floyd,"2,836","2,663",32,"4,756",10,"10,297",235,132,6,401,1,775,"11,072"
Franklin,"1,203","2,987",19,"2,061",4,"6,274",73,100,0,176,1,350,"6,624"
Fremont,"1,006","2,322",13,"1,343",6,"4,690",91,116,0,173,0,380,"5,070"
Greene,"1,653","2,373",37,"2,185",5,"6,253",67,89,5,181,1,343,"6,596"
Grundy,"1,419","3,942",34,"3,072",8,"8,475",57,135,3,209,2,406,"8,881"
Guthrie,"1,658","2,837",49,"2,961",3,"7,508",61,96,1,181,0,339,"7,847"
Hamilton,"2,318","3,920",40,"3,414",9,"9,701",118,135,2,301,0,556,"10,257"
Hancock,"1,402","3,313",16,"2,707",8,"7,446",74,97,3,240,0,414,"7,860"
Hardin,"2,532","4,644",59,"3,756",10,"11,001",139,218,3,300,0,660,"11,661"
Harrison,"2,028","3,757",46,"2,536",10,"8,377",41,83,1,101,2,228,"8,605"
Henry,"2,646","5,014",57,"4,755",8,"12,480",281,290,3,643,1,"1,218","13,698"
Howard,"1,650","1,487",20,"2,626",1,"5,784",93,67,0,221,0,381,"6,165"
Humboldt,"1,209","2,684",22,"2,327",3,"6,245",66,102,2,192,0,362,"6,607"
Ida,780,"2,181",16,"1,699",3,"4,679",35,74,0,118,0,227,"4,906"
Iowa,"2,556","4,063",59,"4,770",10,"11,458",123,176,0,315,0,614,"12,072"
Jackson,"4,866","3,089",33,"5,861",8,"13,857",230,142,2,451,1,826,"14,683"
Jasper,"8,125","7,435",97,"8,870",17,"24,544",369,300,2,626,1,"1,298","25,842"
Jefferson,"4,181","3,156",57,"2,803",31,"10,228",328,160,9,394,10,901,"11,129"
Johnson,"43,729","18,038",686,"29,243",181,"91,877","6,985","3,182",134,"7,459",61,"17,821","109,698"
Jones,"3,051","3,964",34,"5,924",5,"12,978",124,126,5,392,1,648,"13,626"
Keokuk,"1,782","2,388",18,"2,213",5,"6,406",119,95,0,190,0,404,"6,810"
Kossuth,"3,003","3,458",30,"4,275",9,"10,775",135,153,2,328,0,618,"11,393"
Lee,"8,784","4,477",117,"8,022",22,"21,422",609,309,12,"1,029",3,"1,962","23,384"
Linn,"51,611","37,923","1,269","51,479",301,"142,583","3,402","2,070",101,"4,225",33,"9,831","152,414"
Louisa,"1,650","2,381",21,"2,664",5,"6,721",104,105,1,236,1,447,"7,168"
Lucas,"1,230","2,290",16,"1,963",3,"5,502",71,110,1,196,1,379,"5,881"
Lyon,767,"5,675",17,"1,532",1,"7,992",92,207,2,187,1,489,"8,481"
Madison,"2,646","4,225",50,"3,836",9,"10,766",145,252,4,356,0,757,"11,523"
Mahaska,"2,373","6,969",85,"4,196",13,"13,636",288,306,6,523,1,"1,124","14,760"
Marion,"5,072","9,668",96,"7,426",18,"22,280",347,512,8,724,1,"1,592","23,872"
Marshall,"7,054","7,182",90,"8,637",31,"22,994",509,361,7,834,0,"1,711","24,705"
Mills,"1,935","5,014",80,"2,925",19,"9,973",76,125,4,135,2,342,"10,315"
Mitchell,"1,605","2,501",13,"2,708",5,"6,832",77,79,1,176,0,333,"7,165"
Monona,"1,617","2,076",21,"2,188",8,"5,910",71,84,2,137,1,295,"6,205"
Monroe,"1,433","1,723",13,"1,534",0,"4,703",76,81,1,131,1,290,"4,993"
Montgomery,"1,083","3,531",18,"2,237",6,"6,875",70,160,3,217,1,451,"7,326"
