County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,"1,043","2,172","1,851",24,"5,090",51,85,156,4,296,"5,386"
Adams,563,"1,104",971,10,"2,648",40,41,116,2,199,"2,847"
Allamakee,"2,314","4,156","2,677",34,"9,181",167,161,365,5,698,"9,879"
Appanoose,"2,120","3,327","2,595",38,"8,080",173,193,431,3,800,"8,880"
Audubon,"1,024","1,974","1,077",15,"4,090",40,55,101,1,197,"4,287"
Benton,"4,338","6,117","6,598",99,"17,152",180,222,470,9,881,"18,033"
Black Hawk,"32,769","21,953","26,081",635,"81,438","2,453","1,527","3,204",82,"7,266","88,704"
Boone,"5,621","6,264","6,301",133,"18,319",294,333,731,18,"1,376","19,695"
Bremer,"4,611","5,501","6,672",82,"16,866",227,207,548,12,994,"17,860"
Buchanan,"3,840","3,715","5,651",45,"13,251",154,110,480,8,752,"14,003"
Buena Vista,"3,141","4,170","3,898",77,"11,286",349,278,552,4,"1,183","12,469"
Butler,"1,927","4,567","3,042",43,"9,579",74,153,227,3,457,"10,036"
Calhoun,"1,333","2,795","2,258",37,"6,423",47,88,121,6,262,"6,685"
Carroll,"3,698","4,977","5,299",82,"14,056",136,151,273,7,567,"14,623"
Cass,"1,670","4,654","2,675",50,"9,049",106,268,359,2,735,"9,784"
Cedar,"3,414","4,398","4,114",82,"12,008",141,178,280,15,614,"12,622"
Cerro Gordo,"9,282","8,343","11,259",136,"29,020",486,460,"1,127",10,"2,083","31,103"
Cherokee,"1,421","4,227","2,110",28,"7,786",76,106,256,3,441,"8,227"
Chickasaw,"2,400","2,650","2,892",26,"7,968",121,122,284,4,531,"8,499"
Clarke,"1,487","2,257","1,841",28,"5,613",76,97,228,6,407,"6,020"
Clay,"2,187","5,437","3,249",64,"10,937",140,303,404,8,855,"11,792"
Clayton,"3,317","3,917","4,112",59,"11,405",154,158,245,4,561,"11,966"
Clinton,"10,144","9,100","11,717",156,"31,117",745,408,"1,332",17,"2,502","33,619"
Crawford,"2,465","3,670","3,208",45,"9,388",111,118,265,1,495,"9,883"
Dallas,"18,325","21,310","20,681",494,"60,810",960,"1,394","2,146",53,"4,553","65,363"
Davis,"1,528","2,022","1,271",23,"4,844",84,95,139,3,321,"5,165"
Decatur,"1,314","1,892","1,241",30,"4,477",177,120,211,6,514,"4,991"
Delaware,"2,594","4,596","4,232",52,"11,474",97,128,278,6,509,"11,983"
Des Moines,"10,489","7,482","8,165",169,"26,305",673,340,856,20,"1,889","28,194"
Dickinson,"2,844","6,220","3,911",69,"13,044",183,331,468,9,991,"14,035"
Dubuque,"27,098","18,990","18,619",439,"65,146","1,835","1,194","2,379",55,"5,463","70,609"
Emmet,"1,722","2,033","2,386",29,"6,170",106,145,317,2,570,"6,740"
Fayette,"3,539","4,256","3,848",67,"11,710",211,142,326,6,685,"12,395"
Floyd,"2,982","2,948","4,307",49,"10,286",254,146,476,6,882,"11,168"
Franklin,"1,284","2,957","1,930",29,"6,200",70,100,181,1,352,"6,552"
Fremont,"1,004","2,608","1,044",24,"4,680",96,160,208,6,470,"5,150"
Greene,"1,689","2,494","1,983",36,"6,202",67,86,189,6,348,"6,550"
Grundy,"1,612","4,108","2,729",37,"8,486",60,145,187,3,395,"8,881"
Guthrie,"1,783","3,085","2,724",48,"7,640",69,118,242,6,435,"8,075"
Hamilton,"2,386","4,265","2,987",54,"9,692",103,138,282,3,526,"10,218"
Hancock,"1,528","3,458","2,368",35,"7,389",84,114,216,3,417,"7,806"
Hardin,"2,700","4,897","3,401",58,"11,056",153,215,310,5,683,"11,739"
Harrison,"2,067","4,469","2,080",63,"8,679",43,77,74,3,197,"8,876"
Henry,"2,938","5,284","4,240",74,"12,536",246,306,612,7,"1,171","13,707"
Howard,"1,664","1,693","2,453",29,"5,839",92,76,234,1,403,"6,242"
Humboldt,"1,226","2,856","2,117",25,"6,224",64,109,172,3,348,"6,572"
Ida,821,"2,340","1,577",19,"4,757",33,63,103,2,201,"4,958"
Iowa,"2,744","4,745","4,049",70,"11,608",147,183,320,10,660,"12,268"
Jackson,"5,177","4,022","4,761",38,"13,998",200,136,438,2,776,"14,774"
Jasper,"8,330","8,131","8,483",115,"25,059",307,271,572,6,"1,156","26,215"
Jefferson,"4,445","3,393","2,664",86,"10,588",336,143,368,12,859,"11,447"
Johnson,"50,162","17,316","24,526",698,"92,702","7,469","3,377","7,243",261,"18,350","111,052"
Jones,"3,365","4,523","5,229",43,"13,160",128,144,392,7,671,"13,831"
Keokuk,"1,681","2,703","2,051",22,"6,457",84,99,163,2,348,"6,805"
Kossuth,"2,713","4,568","3,363",29,"10,673",111,167,329,4,611,"11,284"
Lee,"8,510","5,506","7,143",143,"21,302",596,334,"1,036",24,"1,990","23,292"
Linn,"59,630","40,569","46,162","1,424","147,785","3,034","2,078","3,670",153,"8,935","156,720"
Louisa,"1,736","2,702","2,327",33,"6,798",88,82,209,4,383,"7,181"
Lucas,"1,272","2,444","1,815",25,"5,556",75,113,184,3,375,"5,931"
Lyon,801,"6,187","1,175",21,"8,184",68,170,146,4,388,"8,572"
Madison,"2,792","4,635","3,468",81,"10,976",166,286,398,6,856,"11,832"
Mahaska,"2,702","6,996","3,961",83,"13,742",251,314,532,7,"1,104","14,846"
Marion,"5,398","10,346","6,706",133,"22,583",389,556,775,11,"1,731","24,314"
Marshall,"7,680","7,531","7,619",149,"22,979",463,395,905,16,"1,779","24,758"
Mills,"2,074","5,490","2,579",99,"10,242",103,173,182,9,467,"10,709"
Mitchell,"1,734","2,555","2,403",36,"6,728",110,117,208,4,439,"7,167"
Monona,"1,542","2,325","1,810",32,"5,709",112,145,254,9,520,"6,229"
Monroe,"1,364","1,930","1,401",29,"4,724",62,74,147,3,286,"5,010"
Montgomery,"1,230","3,673","1,905",29,"6,837",90,166,234,7,497,"7,334"
Muscatine,"8,628","8,603","9,338",196,"26,765",529,446,995,20,"1,990","28,755"
O'Brien,"1,248","5,747","2,146",48,"9,189",107,218,223,5,553,"9,742"
Osceola,482,"2,523","1,030",13,"4,048",24,74,97,1,196,"4,244"
Page,"1,756","5,102","2,417",52,"9,327",163,339,478,9,989,"10,316"
Palo Alto,"1,836","2,172","1,942",22,"5,972",93,69,184,2,348,"6,320"
Plymouth,"3,182","8,881","4,881",83,"17,027",171,357,383,10,921,"17,948"
Pocahontas,902,"2,262","1,513",27,"4,704",79,80,195,2,356,"5,060"
Polk,"131,196","83,622","83,003","2,812","300,633","7,402","4,702","7,202",308,"19,614","320,247"
Pottawattamie,"17,074","22,865","17,858",648,"58,445","1,720","1,649","2,692",104,"6,165","64,610"
Poweshiek,"4,622","3,927","4,564",50,"13,163",575,161,474,12,"1,222","14,385"
Ringgold,595,"1,961",528,8,"3,092",26,66,64,1,157,"3,249"
Sac,"1,222","3,568","2,055",21,"6,866",75,108,178,1,362,"7,228"
Scott,"40,039","32,537","42,808",951,"116,335","4,229","2,770","6,287",157,"13,443","129,778"
Shelby,"1,805","3,864","2,246",30,"7,945",103,155,210,5,473,"8,418"
Sioux,"2,107","15,815","3,722",65,"21,709",124,547,312,13,996,"22,705"
Story,"23,865","17,716","20,966",736,"63,283","2,647","1,804","3,599",169,"8,219","71,502"
Tama,"3,164","3,599","4,171",53,"10,987",140,120,346,2,608,"11,595"
Taylor,663,"2,021","1,080",22,"3,786",35,62,95,2,194,"3,980"
Union,"1,704","3,270","2,631",39,"7,644",118,134,383,2,637,"8,281"
Van Buren,851,"2,372","1,426",20,"4,669",63,84,131,5,283,"4,952"
Wapello,"7,630","5,956","6,366",108,"20,060",584,340,874,13,"1,811","21,871"
Warren,"10,845","12,729","10,857",237,"34,668",555,666,"1,018",31,"2,270","36,938"
Washington,"3,611","5,871","4,794",111,"14,387",197,279,463,20,959,"15,346"
Wayne,884,"1,598","1,050",21,"3,553",35,64,89,2,190,"3,743"
Webster,"7,685","7,647","8,049",160,"23,541",591,447,"1,003",12,"2,053","25,594"
Winnebago,"1,762","2,923","2,597",39,"7,321",116,156,343,2,617,"7,938"
Winneshiek,"4,773","4,514","4,489",59,"13,835",438,206,640,13,"1,297","15,132"
Woodbury,"18,377","22,108","17,305",389,"58,179","1,736","1,432","2,410",56,"5,634","63,813"
Worth,"1,376","1,971","1,849",19,"5,215",76,81,208,2,367,"5,582"
Wright,"1,861","3,497","2,247",38,"7,643",101,152,229,3,485,"8,128"
Totals,"684,093","691,239","637,970","14,475","2,027,777","49,542","38,855","73,671","1,997","164,065","2,191,842"
