county,year_month,year,month,pop_est,adult_pop,democratic_active,republican_active,no_party_active,other_active,total_active,democratic_inactive,republican_inactive,no_party_inactive,other_inactive,total_inactive,grand_total,file_path,libertarian_active,libertarian_inactive,dem_active_pct,rep_active_pct,no_party_active_pct,lib_active_pct,two_party_active_pct,active_pct,inactive_pct,reg_pct,dem_reg_pct,rep_reg_pct,two_party_reg_pct
Adair,2014-05,2014,5,7365,5742,1071,1901,2012,4,4988,119,123,293,1,536,5524,Voter Registration/data_csv/2014-05.csv,NA,NA,0.193881245474294,0.3441346850108617,0.36422881969587256,NA,0.5380159304851557,0.9029688631426502,0.09703113685734975,0.9620341344479275,0.20724486241727622,0.3524904214559387,0.5597352838732149
Adams,2014-05,2014,5,3874,3050,655,921,1178,3,2757,47,51,187,0,285,3042,Voter Registration/data_csv/2014-05.csv,NA,NA,0.21531886916502302,0.3027613412228797,0.38724523339907957,NA,0.5180802103879028,0.9063116370808678,0.09368836291913216,0.9973770491803279,0.2301639344262295,0.31868852459016395,0.5488524590163935
Allamakee,2014-05,2014,5,14067,10904,2174,4239,3149,5,9567,144,156,322,0,622,10189,Voter Registration/data_csv/2014-05.csv,NA,NA,0.2133673569535774,0.416036902541957,0.3090587888899794,NA,0.6294042594955345,0.9389537736774953,0.061046226322504664,0.9344277329420396,0.21258253851797507,0.4030630961115187,0.6156456346294937
Appanoose,2014-05,2014,5,12678,9845,2494,2736,3035,4,8269,269,239,463,0,971,9240,Voter Registration/data_csv/2014-05.csv,NA,NA,0.26991341991341994,0.2961038961038961,0.32846320346320346,NA,0.5660173160173161,0.8949134199134199,0.10508658008658009,0.9385474860335196,0.28065007618080245,0.3021838496698832,0.5828339258506856
Audubon,2014-05,2014,5,5768,4588,1256,1540,1408,3,4207,80,87,183,0,350,4557,Voter Registration/data_csv/2014-05.csv,NA,NA,0.27561992538951063,0.3379416282642089,0.30897520298441955,NA,0.6135615536537196,0.9231950844854071,0.07680491551459294,0.9932432432432432,0.2911944202266783,0.3546207497820401,0.6458151700087185
Benton,2014-05,2014,5,25620,19503,4407,4866,7479,23,16775,322,240,640,2,1204,17979,Voter Registration/data_csv/2014-05.csv,NA,NA,0.24511930585683298,0.27064909060570663,0.41598531620223594,NA,0.5157683964625396,0.9330329829245231,0.06696701707547695,0.9218581756652823,0.24247551658719171,0.261805876019074,0.5042813926062657
Black Hawk,2014-05,2014,5,133433,104584,28253,19927,31529,223,79932,2958,1652,3891,24,8525,88457,Voter Registration/data_csv/2014-05.csv,NA,NA,0.31939812564296777,0.225273296630001,0.35643306917485335,NA,0.5446714222729687,0.9036254903512441,0.0963745096487559,0.8457985925189322,0.2984299701675208,0.20633175246691654,0.5047617226344374
Boone,2014-05,2014,5,26303,20313,5162,5388,6848,30,17428,301,340,706,1,1348,18776,Voter Registration/data_csv/2014-05.csv,NA,NA,0.27492543672773756,0.2869620792501065,0.36472092032381764,NA,0.561887515977844,0.9282062207072859,0.0717937792927141,0.9243341702358095,0.26894107221976077,0.2819869049377246,0.5509279771574853
Bremer,2014-05,2014,5,24678,19241,3644,4870,7449,22,15985,408,321,825,3,1557,17542,Voter Registration/data_csv/2014-05.csv,NA,NA,0.2077300193820545,0.2776194276593319,0.4246380116292327,NA,0.4853494470413864,0.9112415916087105,0.08875840839128947,0.911698976144691,0.21059196507458033,0.2697884725326127,0.480380437607193
Buchanan,2014-05,2014,5,21135,15486,3690,3001,6527,12,13230,201,147,534,0,882,14112,Voter Registration/data_csv/2014-05.csv,NA,NA,0.2614795918367347,0.21265589569160998,0.4625141723356009,NA,0.47413548752834467,0.9375,0.0625,0.9112746997287873,0.25125920185974426,0.20328038228076972,0.454539584140514
Buena Vista,2014-05,2014,5,20608,15361,2925,3850,4718,9,11502,236,181,361,2,780,12282,Voter Registration/data_csv/2014-05.csv,NA,NA,0.2381533952125061,0.3134668620745807,0.38413939097866795,NA,0.5516202572870867,0.9364924279433317,0.0635075720566683,0.7995573204869475,0.205780873641039,0.26241781134040754,0.46819868498144657
Butler,2014-05,2014,5,14958,11429,1715,4426,3527,11,9679,133,155,279,0,567,10246,Voter Registration/data_csv/2014-05.csv,NA,NA,0.16738239312902597,0.4319734530548507,0.3442318953738044,NA,0.5993558461838766,0.94466133125122,0.05533866874878001,0.896491381573191,0.1616939364773821,0.4008224691574066,0.5625164056347887
Calhoun,2014-05,2014,5,9845,7808,1403,2326,2757,11,6497,115,122,331,1,569,7066,Voter Registration/data_csv/2014-05.csv,NA,NA,0.1985564675912822,0.32918199830172656,0.3901783187093122,NA,0.5277384658930088,0.9194735352391735,0.08052646476082649,0.904969262295082,0.19441598360655737,0.3135245901639344,0.5079405737704918
Carroll,2014-05,2014,5,20495,15530,3889,3829,6098,33,13849,261,236,642,1,1140,14989,Voter Registration/data_csv/2014-05.csv,NA,NA,0.25945693508572953,0.25545399959970644,0.4068316765628127,NA,0.5149109346854359,0.9239442257655615,0.07605577423443859,0.965164198325821,0.26722472633612365,0.2617514488087572,0.5289761751448809
Cass,2014-05,2014,5,13394,10368,1580,4601,3085,9,9275,169,333,525,1,1028,10303,Voter Registration/data_csv/2014-05.csv,NA,NA,0.15335339221585945,0.4465689604969426,0.29942735125691544,NA,0.599922352712802,0.900223235950694,0.09977676404930602,0.9937307098765432,0.16869212962962962,0.47588734567901236,0.644579475308642
