race_level,district_num,candidate,party
President and Vice President ( 1),NA,Kamala D. Harris and Tim Walz,NA
President and Vice President ( 1),NA,Donald J. Trump and JD Vance,NA
President and Vice President ( 1),NA,Chase Oliver and Mike ter Maat,NA
President and Vice President ( 1),NA,Shiva Ayyadurai and Crystal Ellis,NA
President and Vice President ( 1),NA,Claudia De la Cruz and Karina Garcia,NA
President and Vice President ( 1),NA,William P. Stodden and Stephanie H. Cholensky,NA
President and Vice President ( 1),NA,Robert F. Kennedy Jr and Nicole Shanahan,NA
United States Representative,2,Jody Madlom Puffett,NA
State Senator,16,Joshua Smith,NA
State Senator,32,Brian Bruening,NA
State Senator,34,Joe Hegland,NA
State Senator,44,Lisa Ossian,NA
State Representative,5,Michael Schnoes,NA
State Representative,7,Martin Podraza,NA
State Representative,13,Rosanne Plante,NA
State Representative,13,Parker Hansen,NA
State Representative,18,Tripp Narup,NA
State Representative,26,Darcie Whitlow,NA
State Representative,26,Donald Gier,NA
State Representative,30,Jerry Cheevers,NA
State Representative,33,Toya S. Johnson,NA
State Representative,39,Troy Clark,NA
State Representative,43,Brett Harvey Nelson,NA
State Representative,47,Joe Shelly,NA
State Representative,49,Eric Cooper,NA
State Representative,52,David Blom,NA
State Representative,62,Ervin Sabic,NA
State Representative,63,Kayla Koether,NA
State Representative,64,Ian Zahren,NA
State Representative,68,Tim O'Brien,NA
State Representative,71,James W. McClain,NA
State Representative,79,Barclay Woerner,NA
State Representative,82,Phil Wiese,NA
State Representative,86,Stephen Knoner,NA
State Representative,87,Thomas O'Donnell,NA
State Representative,87,Curtis Oliver,NA
State Representative,98,Nathan Ramker,NA
State Representative,100,Martin L. Graber,NA
State Representative,100,Nicolas Atwood,NA
Constitutional Amendment 1 ( 1),NA,Yes,NA
Constitutional Amendment 1 ( 1),NA,No,NA
Constitutional Amendment 2 ( 1),NA,Yes,NA
Constitutional Amendment 2 ( 1),NA,No,NA
Supreme Court Justice - David May ( 1),NA,Yes,NA
Supreme Court Justice - David May ( 1),NA,No,NA
Court of Appeals Judge - Tyler J. Buller ( 1),NA,Yes,NA
Court of Appeals Judge - Tyler J. Buller ( 1),NA,No,NA
Court of Appeals Judge - Mary Elizabeth Chicchelly ( 1),NA,Yes,NA
Court of Appeals Judge - Mary Elizabeth Chicchelly ( 1),NA,No,NA
Court of Appeals Judge - Samuel Langholz ( 1),NA,Yes,NA
Court of Appeals Judge - Samuel Langholz ( 1),NA,No,NA
Court of Appeals Judge - Mary Ellen Tabor ( 1),NA,Yes,NA
Court of Appeals Judge - Mary Ellen Tabor ( 1),NA,No,NA
District 1A Judge - Monica Ackley ( 1),NA,Yes,NA
District 1A Judge - Monica Ackley ( 1),NA,No,NA
District 1A Judge - Thomas A. Bitter ( 1),NA,Yes,NA
District 1A Judge - Thomas A. Bitter ( 1),NA,No,NA
District 1A Associate Judge - Robert James Richter ( 1),NA,Yes,NA
District 1A Associate Judge - Robert James Richter ( 1),NA,No,NA
District 1B Judge - Andrea J. Dryer ( 1),NA,Yes,NA
District 1B Judge - Andrea J. Dryer ( 1),NA,No,NA
District 1B Judge - Kellyann Lekar ( 1),NA,Yes,NA
District 1B Judge - Kellyann Lekar ( 1),NA,No,NA
District 1B Judge - David F. Staudt ( 1),NA,Yes,NA
District 1B Judge - David F. Staudt ( 1),NA,No,NA
District 1B Judge - John James Sullivan ( 1),NA,Yes,NA
District 1B Judge - John James Sullivan ( 1),NA,No,NA
District 1B Associate Judge - Brook K. Jacobsen ( 1),NA,Yes,NA
District 1B Associate Judge - Brook K. Jacobsen ( 1),NA,No,NA
District 1B Associate Judge - Patrick Wegman ( 1),NA,Yes,NA
District 1B Associate Judge - Patrick Wegman ( 1),NA,No,NA
District 2A Judge - Rustin Davenport ( 1),NA,Yes,NA
District 2A Judge - Rustin Davenport ( 1),NA,No,NA
District 2A Judge - Blake H. Norman ( 1),NA,Yes,NA
District 2A Judge - Blake H. Norman ( 1),NA,No,NA
District 2A Associate Judge - Elizabeth Batey ( 1),NA,Yes,NA
District 2A Associate Judge - Elizabeth Batey ( 1),NA,No,NA
District 2B Judge - Adria Kester ( 1),NA,Yes,NA
District 2B Judge - Adria Kester ( 1),NA,No,NA
District 2B Judge - Derek Johnson ( 1),NA,Yes,NA
District 2B Judge - Derek Johnson ( 1),NA,No,NA
District 2B Judge - Kurt John Stoebe ( 1),NA,Yes,NA
District 2B Judge - Kurt John Stoebe ( 1),NA,No,NA
District 2B Associate Judge - Kathryn E. Austin ( 1),NA,Yes,NA
District 2B Associate Judge - Kathryn E. Austin ( 1),NA,No,NA
District 2B Associate Judge - Hans Becker ( 1),NA,Yes,NA
District 2B Associate Judge - Hans Becker ( 1),NA,No,NA
District 2B Associate Judge - Ashley Beisch ( 1),NA,Yes,NA
District 2B Associate Judge - Ashley Beisch ( 1),NA,No,NA
District 2B Associate Judge - Paul G. Crawford ( 1),NA,Yes,NA
District 2B Associate Judge - Paul G. Crawford ( 1),NA,No,NA
District 2B Associate Judge - Joseph B. McCarville ( 1),NA,Yes,NA
District 2B Associate Judge - Joseph B. McCarville ( 1),NA,No,NA
District 2B Associate Judge - Hunter Thorpe ( 1),NA,Yes,NA
District 2B Associate Judge - Hunter Thorpe ( 1),NA,No,NA
District 3B Judge - Robert D. Tiefenthaler ( 1),NA,Yes,NA
District 3B Judge - Robert D. Tiefenthaler ( 1),NA,No,NA
District 3B Associate Judge - Stephanie S. Forker Parry ( 1),NA,Yes,NA
District 3B Associate Judge - Stephanie S. Forker Parry ( 1),NA,No,NA
District 3B Associate Judge - Jessica R. Noll ( 1),NA,Yes,NA
District 3B Associate Judge - Jessica R. Noll ( 1),NA,No,NA
