STATE HOUSE,DEM,REP,NP,OTH,TOTAL
State Representative District 001,3720,12753,6817,12,23302
,,,,,
State Representative District 002,6116,7510,8822,11,22459
,,,,,
State Representative District 003,3963,10496,7519,13,21991
,,,,,
State Representative District 004,1565,13487,3436,8,18496
,,,,,
State Representative District 005,4366,9673,7514,17,21570
,,,,,
State Representative District 006,5964,7673,7224,20,20881
,,,,,
State Representative District 007,6334,7024,9210,11,22579
,,,,,
State Representative District 008,5356,8833,8188,5,22382
,,,,,
State Representative District 009,7614,5467,7185,19,20285
,,,,,
State Representative District 010,4930,7931,9298,20,22179
,,,,,
State Representative District 011,4660,7431,7916,6,20013
,,,,,
State Representative District 012,6406,6634,9238,26,22304
,,,,,
State Representative District 013,6444,5481,6230,28,18183
,,,,,
State Representative District 014,6965,4664,5960,19,17608
,,,,,
State Representative District 015,6870,4776,6703,25,18374
,,,,,
State Representative District 016,6098,6434,6822,24,19378
,,,,,
State Representative District 017,5618,7783,7318,11,20730
,,,,,
State Representative District 018,5307,7495,6788,12,19602
,,,,,
State Representative District 019,5273,8753,8960,18,23004
,,,,,
State Representative District 020,5523,7093,8330,15,20961
,,,,,
State Representative District 021,4453,9190,8021,7,21671
,,,,,
State Representative District 022,5210,10965,6853,11,23039
,,,,,
State Representative District 023,4470,10528,7344,14,22356
,,,,,
State Representative District 024,3988,9433,7082,16,20519
,,,,,
State Representative District 025,6476,8129,7962,21,22588
,,,,,
State Representative District 026,7126,7106,7344,22,21598
,,,,,
State Representative District 027,5897,6775,7488,18,20178
,,,,,
State Representative District 028,6196,7534,7781,14,21525
,,,,,
State Representative District 029,8810,6192,7521,14,22537
,,,,,
State Representative District 030,6749,7121,6392,23,20285
,,,,,
State Representative District 031,7827,4707,5447,15,17996
,,,,,
State Representative District 032,8142,2846,4698,35,15721
,,,,,
State Representative District 033,8028,3416,5088,37,16569
,,,,,
State Representative District 034,8855,3955,5664,51,18525
,,,,,
State Representative District 035,8100,2355,4378,36,14869
,,,,,
State Representative District 036,9705,5426,5896,39,21066
,,,,,
State Representative District 037,5807,9132,6780,29,21748
,,,,,
State Representative District 038,6547,6864,6283,26,19720
,,,,,
State Representative District 039,5813,8927,6840,33,21613
,,,,,
State Representative District 040,6765,8061,5995,22,20843
,,,,,
State Representative District 041,10916,5422,5423,53,21814
,,,,,
State Representative District 042,6910,7833,6401,33,21177
,,,,,
State Representative District 043,7265,8405,5725,18,21413
,,,,,
State Representative District 044,4969,8559,8991,14,22533
,,,,,
State Representative District 045,7778,5608,8994,79,22459
,,,,,
State Representative District 046,7808,5811,9217,110,22946
,,,,,
State Representative District 047,6833,6997,8585,23,22438
,,,,,
State Representative District 048,6353,7394,8392,17,22156
,,,,,
State Representative District 049,5112,7540,8552,19,21223
,,,,,
State Representative District 050,4331,9491,7615,18,21455
,,,,,
State Representative District 051,5936,6615,8344,13,20908
,,,,,
State Representative District 052,6782,5486,9265,8,21541
,,,,,
State Representative District 053,7726,4996,9330,10,22062
,,,,,
State Representative District 054,4492,8852,8202,15,21561
,,,,,
State Representative District 055,6028,6979,7372,29,20408
,,,,,
State Representative District 056,5399,7408,7959,8,20774
,,,,,
State Representative District 057,7662,5952,8499,18,22131
,,,,,
State Representative District 058,8376,4889,9623,19,22907
,,,,,
State Representative District 059,6264,5745,8578,61,20648
,,,,,
State Representative District 060,6346,7534,8568,20,22468
,,,,,
State Representative District 061,7464,4327,7696,11,19498
,,,,,
State Representative District 062,9611,2642,7230,14,19497
,,,,,
State Representative District 063,5489,6932,10023,14,22458
,,,,,
State Representative District 064,6090,4858,8576,9,19533
,,,,,
State Representative District 065,9714,5052,7290,43,22099
,,,,,
State Representative District 066,7769,6593,7944,37,22343
,,,,,
State Representative District 067,6133,7504,8381,24,22042
,,,,,
State Representative District 068,6999,6574,8559,32,22164
,,,,,
State Representative District 069,8201,4125,8301,37,20664
,,,,,
State Representative District 070,8679,5327,8125,27,22158
,,,,,
State Representative District 071,6410,5950,7558,9,19927
,,,,,
State Representative District 072,6103,6895,8782,17,21797
,,,,,
State Representative District 073,6915,6123,8172,28,21238
,,,,,
State Representative District 074,10138,4965,7390,53,22546
,,,,,
State Representative District 075,5821,6260,9376,13,21470
,,,,,
State Representative District 076,7222,6944,9455,24,23645
,,,,,
State Representative District 077,7833,5584,8273,20,21710
,,,,,
State Representative District 078,5427,7803,7115,13,20358
,,,,,
State Representative District 079,4436,9835,7292,18,21581
,,,,,
State Representative District 080,6752,6960,7285,13,21010
,,,,,
State Representative District 081,8871,4748,6447,11,20077
,,,,,
State Representative District 082,6909,7431,7686,46,22072
,,,,,
State Representative District 083,9283,3749,7238,24,20294
,,,,,
State Representative District 084,5104,7808,8090,13,21015
,,,,,
State Representative District 085,14339,5379,11741,174,31633
,,,,,
State Representative District 086,12396,4609,10156,118,27279
,,,,,
State Representative District 087,9967,4593,7195,23,21778
,,,,,
State Representative District 088,6480,6518,7608,4,20610
,,,,,
State Representative District 089,7988,4939,9715,15,22657
,,,,,
State Representative District 090,9064,3218,9216,19,21517
,,,,,
State Representative District 091,6359,6591,8671,9,21630
,,,,,
State Representative District 092,6607,6114,9931,10,22662
,,,,,
State Representative District 093,7759,7064,9626,27,24476
,,,,,
State Representative District 094,6075,9012,10018,17,25122
,,,,,
State Representative District 095,7061,6667,8628,41,22397
,,,,,
State Representative District 096,5176,6281,9278,5,20740
,,,,,
State Representative District 097,6404,6462,9739,15,22620
,,,,,
State Representative District 098,7983,4392,8852,13,21240
,,,,,
State Representative District 099,9335,5345,7773,22,22475
,,,,,
State Representative District 100,8766,3906,6940,27,19639
TOTALS,682474,669648,781341,2477,2135940
