State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 001,"3,077","12,047","6,224",33,"21,381",232,453,499,2,"1,186","22,567"
State Representative District 002,"5,031","7,033","7,856",44,"19,964",377,363,756,1,"1,497","21,461"
State Representative District 003,"3,276","9,987","6,468",43,"19,774",247,423,712,4,"1,386","21,160"
State Representative District 004,"1,476","13,159","3,545",25,"18,205",101,441,360,3,905,"19,110"
State Representative District 005,"3,840","9,132","6,796",41,"19,809",325,480,690,3,"1,498","21,307"
State Representative District 006,"5,114","7,238","6,566",53,"18,971",398,347,594,2,"1,341","20,312"
State Representative District 007,"5,223","6,347","8,382",26,"19,978",438,356,952,1,"1,747","21,725"
State Representative District 008,"4,479","8,049","7,255",26,"19,809",286,355,638,2,"1,281","21,090"
State Representative District 009,"6,687","4,842","6,747",52,"18,328",593,358,886,5,"1,842","20,170"
State Representative District 010,"4,047","7,401","8,206",40,"19,694",261,284,668,6,"1,219","20,913"
State Representative District 011,"4,161","7,011","7,289",29,"18,490",242,293,458,2,995,"19,485"
State Representative District 012,"5,571","6,190","8,773",63,"20,597",258,262,687,4,"1,211","21,808"
State Representative District 013,"5,219","4,813","5,382",66,"15,480",585,381,701,10,"1,677","17,157"
State Representative District 014,"5,819","4,008","5,017",49,"14,893",537,292,583,6,"1,418","16,311"
State Representative District 015,"5,299","4,123","5,994",102,"15,518",765,447,954,11,"2,177","17,695"
State Representative District 016,"4,879","5,429","5,972",103,"16,383",751,577,"1,208",14,"2,550","18,933"
State Representative District 017,"4,595","7,437","6,739",44,"18,815",225,290,534,1,"1,050","19,865"
State Representative District 018,"4,366","7,022","5,952",28,"17,368",185,166,320,1,672,"18,040"
State Representative District 019,"4,841","8,892","9,621",95,"23,449",253,440,702,8,"1,403","24,852"
State Representative District 020,"4,517","6,424","7,843",52,"18,836",290,281,681,0,"1,252","20,088"
State Representative District 021,"3,715","8,264","7,536",27,"19,542",233,370,685,0,"1,288","20,830"
State Representative District 022,"4,503","10,089","6,885",72,"21,549",314,477,566,4,"1,361","22,910"
State Representative District 023,"3,779","9,521","6,333",47,"19,680",400,615,902,4,"1,921","21,601"
State Representative District 024,"3,294","8,484","6,077",28,"17,883",303,450,861,5,"1,619","19,502"
State Representative District 025,"5,571","7,895","7,925",55,"21,446",341,396,671,6,"1,414","22,860"
State Representative District 026,"6,337","6,856","7,242",55,"20,490",386,369,666,4,"1,425","21,915"
State Representative District 027,"4,699","6,129","6,249",31,"17,108",279,317,573,1,"1,170","18,278"
State Representative District 028,"5,120","6,914","7,354",38,"19,426",288,323,557,4,"1,172","20,598"
State Representative District 029,"7,088","5,552","7,553",40,"20,233",416,303,723,3,"1,445","21,678"
State Representative District 030,"6,557","7,377","7,386",131,"21,451",268,260,364,1,893,"22,344"
State Representative District 031,"7,297","4,503","5,746",89,"17,635",286,177,350,3,816,"18,451"
State Representative District 032,"7,366","2,554","4,603",98,"14,621",475,138,389,7,"1,009","15,630"
State Representative District 033,"7,592","2,974","4,863",87,"15,516",751,263,654,11,"1,679","17,195"
State Representative District 034,"8,034","3,368","5,281",113,"16,796",961,362,776,14,"2,113","18,909"
State Representative District 035,"7,025","2,124","4,118",92,"13,359",614,154,473,5,"1,246","14,605"
State Representative District 036,"9,034","4,895","6,076",139,"20,144",398,218,365,2,983,"21,127"
State Representative District 037,"5,998","9,652","8,185",140,"23,975",265,360,434,11,"1,070","25,045"
State Representative District 038,"6,261","6,855","6,815",115,"20,046",329,326,460,5,"1,120","21,166"
State Representative District 039,"5,863","9,291","8,206",121,"23,481",268,359,414,5,"1,046","24,527"
State Representative District 040,"6,306","7,479","6,357",97,"20,239",344,374,401,5,"1,124","21,363"
State Representative District 041,"9,807","4,795","5,419",146,"20,167",730,322,694,18,"1,764","21,931"
State Representative District 042,"6,353","7,141","6,716",139,"20,349",447,460,618,8,"1,533","21,882"
State Representative District 043,"6,721","7,430","6,078",86,"20,315",459,414,523,5,"1,401","21,716"
State Representative District 044,"4,991","8,800","10,292",106,"24,189",540,848,"1,241",4,"2,633","26,822"
State Representative District 045,"5,842","4,524","6,991",173,"17,530","1,211",716,"1,725",21,"3,673","21,203"
State Representative District 046,"5,546","4,676","7,096",149,"17,467",737,552,"1,136",31,"2,456","19,923"
State Representative District 047,"5,734","6,334","8,055",58,"20,181",302,338,726,3,"1,369","21,550"
State Representative District 048,"5,359","6,937","7,967",74,"20,337",265,310,548,3,"1,126","21,463"
State Representative District 049,"4,470","7,259","7,982",109,"19,820",235,244,463,9,951,"20,771"
State Representative District 050,"3,726","8,785","7,278",40,"19,829",294,320,626,4,"1,244","21,073"
State Representative District 051,"5,119","6,074","8,247",19,"19,459",333,270,732,3,"1,338","20,797"
State Representative District 052,"6,038","5,136","9,029",32,"20,235",298,211,622,4,"1,135","21,370"
State Representative District 053,"6,507","4,417","8,628",37,"19,589",467,255,851,4,"1,577","21,166"
State Representative District 054,"3,940","8,294","7,796",24,"20,054",219,238,512,2,971,"21,025"
State Representative District 055,"5,075","6,346","7,115",47,"18,583",312,187,431,3,933,"19,516"
State Representative District 056,"4,835","6,927","7,518",43,"19,323",241,225,478,2,946,"20,269"
State Representative District 057,"7,369","6,136","8,598",50,"22,153",211,194,373,2,780,"22,933"
State Representative District 058,"6,984","4,754","9,159",31,"20,928",344,205,677,4,"1,230","22,158"
State Representative District 059,"5,365","5,066","7,908",145,"18,484",514,325,782,18,"1,639","20,123"
State Representative District 060,"5,887","7,007","7,950",87,"20,931",384,310,562,9,"1,265","22,196"
State Representative District 061,"7,029","3,871","6,819",84,"17,803",385,176,472,4,"1,037","18,840"
State Representative District 062,"8,425","2,367","6,335",93,"17,220",551,117,459,4,"1,131","18,351"
State Representative District 063,"4,634","6,345","9,534",58,"20,571",248,211,547,4,"1,010","21,581"
State Representative District 064,"5,302","4,475","8,515",36,"18,328",239,151,571,3,964,"19,292"
State Representative District 065,"7,913","4,062","6,069",137,"18,181","1,002",351,940,13,"2,306","20,487"
State Representative District 066,"6,557","5,799","7,124",119,"19,599",712,371,821,12,"1,916","21,515"
State Representative District 067,"5,675","6,991","8,230",117,"21,013",480,475,785,6,"1,746","22,759"
State Representative District 068,"6,355","6,061","8,167",118,"20,701",520,446,792,18,"1,776","22,477"
State Representative District 069,"6,977","3,721","7,178",120,"17,996",892,344,"1,023",12,"2,271","20,267"
State Representative District 070,"7,638","4,705","7,336",100,"19,779",722,329,760,4,"1,815","21,594"
State Representative District 071,"5,209","4,939","6,597",33,"16,778",505,372,809,2,"1,688","18,466"
