State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,"3,043","12,813",69,"5,702",10,"21,637",245,483,4,566,4,"1,302","22,939"
State Representative District 002,"4,447","8,494",79,"7,041",15,"20,076",275,357,4,651,1,"1,288","21,364"
State Representative District 003,"2,876","11,050",64,"5,735",15,"19,740",183,328,6,501,1,"1,019","20,759"
State Representative District 004,"1,574","14,055",43,"3,533",14,"19,219",119,444,6,296,3,868,"20,087"
State Representative District 005,"3,741","9,915",77,"6,447",26,"20,206",181,391,5,424,1,"1,002","21,208"
State Representative District 006,"5,189","7,686",103,"6,435",25,"19,438",407,430,8,629,2,"1,476","20,914"
State Representative District 007,"4,975","6,587",64,"8,278",13,"19,917",358,363,2,874,1,"1,598","21,515"
State Representative District 008,"4,363","8,238",58,"6,862",18,"19,539",243,299,6,571,1,"1,120","20,659"
State Representative District 009,"6,327","5,359",93,"7,141",41,"18,961",447,241,3,712,3,"1,406","20,367"
State Representative District 010,"3,965","8,061",80,"7,518",13,"19,637",218,276,7,573,2,"1,076","20,713"
State Representative District 011,"4,121","7,300",61,"6,608",29,"18,119",392,338,3,720,0,"1,453","19,572"
State Representative District 012,"5,149","6,988",87,"8,079",20,"20,323",201,225,9,440,0,875,"21,198"
State Representative District 013,"5,367","4,921",94,"5,194",19,"15,595",574,449,13,803,5,"1,844","17,439"
State Representative District 014,"5,761","4,169",79,"4,898",18,"14,925",601,323,8,621,3,"1,556","16,481"
State Representative District 015,"5,224","4,436",156,"6,134",54,"16,004",957,611,23,"1,238",3,"2,832","18,836"
State Representative District 016,"4,920","5,610",168,"5,902",37,"16,637","1,064",865,27,"1,709",16,"3,681","20,318"
State Representative District 017,"4,278","7,926",83,"6,494",21,"18,802",158,240,3,384,4,789,"19,591"
State Representative District 018,"4,340","7,309",57,"6,163",11,"17,880",221,273,5,433,0,932,"18,812"
State Representative District 019,"5,826","9,871",153,"9,819",18,"25,687",242,510,11,734,2,"1,499","27,186"
State Representative District 020,"4,590","6,668",91,"7,512",21,"18,882",259,273,5,614,1,"1,152","20,034"
State Representative District 021,"3,715","8,354",66,"7,112",13,"19,260",275,448,2,851,1,"1,577","20,837"
State Representative District 022,"4,739","10,247",127,"6,868",25,"22,006",446,686,13,798,3,"1,946","23,952"
State Representative District 023,"3,749","9,889",105,"5,840",30,"19,613",236,366,7,487,3,"1,099","20,712"
State Representative District 024,"3,287","9,205",60,"5,397",12,"17,961",219,420,10,569,0,"1,218","19,179"
State Representative District 025,"5,830","8,485",114,"7,851",21,"22,301",340,491,10,703,2,"1,546","23,847"
State Representative District 026,"6,499","6,986",116,"7,265",14,"20,880",363,396,8,665,2,"1,434","22,314"
State Representative District 027,"4,489","6,620",77,"5,923",12,"17,121",321,344,8,618,2,"1,293","18,414"
State Representative District 028,"5,021","7,427",71,"7,026",16,"19,561",228,290,4,543,1,"1,066","20,627"
State Representative District 029,"7,251","5,757",86,"7,341",19,"20,454",354,257,2,556,1,"1,170","21,624"
State Representative District 030,"7,241","8,028",189,"7,684",32,"23,174",284,316,11,475,0,"1,086","24,260"
State Representative District 031,"7,717","4,604",133,"5,485",28,"17,967",392,227,9,417,3,"1,048","19,015"
State Representative District 032,"7,867","2,480",135,"4,477",36,"14,995",548,146,13,420,4,"1,131","16,126"
State Representative District 033,"8,362","3,119",130,"4,981",42,"16,634",619,218,11,485,2,"1,335","17,969"
State Representative District 034,"9,275","3,363",160,"5,093",35,"17,926",937,329,20,754,5,"2,045","19,971"
State Representative District 035,"7,542","2,032",120,"3,805",40,"13,539",700,170,10,540,6,"1,426","14,965"
State Representative District 036,"9,868","4,351",178,"5,600",46,"20,043",588,287,9,449,2,"1,335","21,378"
State Representative District 037,"7,493","10,384",251,"8,962",27,"27,117",349,562,22,578,3,"1,514","28,631"
State Representative District 038,"7,064","7,294",175,"7,107",25,"21,665",381,403,20,481,7,"1,292","22,957"
State Representative District 039,"7,229","9,661",204,"8,512",28,"25,634",424,586,21,640,5,"1,676","27,310"
State Representative District 040,"7,257","7,122",172,"5,915",20,"20,486",405,350,14,441,2,"1,212","21,698"
