State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,"3,107","12,827","5,898",81,"21,913",235,477,568,13,"1,293","23,206"
State Representative District 002,"4,270","8,231","7,155",107,"19,763",293,488,756,11,"1,548","21,311"
State Representative District 003,"2,783","10,728","5,873",95,"19,479",207,377,529,8,"1,121","20,600"
State Representative District 004,"1,644","13,868","3,783",56,"19,351",132,586,312,14,"1,044","20,395"
State Representative District 005,"3,600","9,830","6,682",111,"20,223",221,466,484,14,"1,185","21,408"
State Representative District 006,"5,147","7,676","6,986",143,"19,952",382,452,637,13,"1,484","21,436"
State Representative District 007,"4,753","6,482","8,327",87,"19,649",317,421,905,6,"1,649","21,298"
State Representative District 008,"4,147","7,963","6,903",92,"19,105",256,379,599,9,"1,243","20,348"
State Representative District 009,"5,909","5,164","7,024",149,"18,246",593,433,971,10,"2,007","20,253"
State Representative District 010,"3,741","7,930","7,577",118,"19,366",248,363,602,10,"1,223","20,589"
State Representative District 011,"4,073","7,140","6,710",107,"18,030",436,421,766,7,"1,630","19,660"
State Representative District 012,"4,848","6,979","8,228",116,"20,171",222,284,490,10,"1,006","21,177"
State Representative District 013,"5,318","4,793","5,704",134,"15,949",583,448,818,22,"1,871","17,820"
State Representative District 014,"5,675","4,113","5,280",122,"15,190",570,314,595,9,"1,488","16,678"
State Representative District 015,"5,176","4,358","6,246",243,"16,023",713,508,929,46,"2,196","18,219"
State Representative District 016,"5,035","5,623","6,336",247,"17,241",778,671,"1,215",52,"2,716","19,957"
State Representative District 017,"3,991","7,795","6,500",131,"18,417",231,361,526,17,"1,135","19,552"
State Representative District 018,"4,233","7,281","6,142",85,"17,741",222,283,465,5,975,"18,716"
State Representative District 019,"6,148","10,263","10,686",228,"27,325",200,423,625,9,"1,257","28,582"
State Representative District 020,"4,499","6,658","7,817",144,"19,118",215,299,591,11,"1,116","20,234"
State Representative District 021,"3,625","8,227","7,308",107,"19,267",272,423,830,7,"1,532","20,799"
State Representative District 022,"4,759","10,231","7,277",177,"22,444",351,600,657,19,"1,627","24,071"
State Representative District 023,"3,655","9,775","5,989",161,"19,580",307,527,619,20,"1,473","21,053"
State Representative District 024,"3,222","9,021","5,542",95,"17,880",238,493,660,9,"1,400","19,280"
State Representative District 025,"5,817","8,640","8,416",183,"23,056",356,547,758,20,"1,681","24,737"
State Representative District 026,"6,355","6,910","7,547",143,"20,955",466,497,792,22,"1,777","22,732"
State Representative District 027,"4,338","6,642","6,103",107,"17,190",330,335,633,18,"1,316","18,506"
State Representative District 028,"4,833","7,443","7,415",102,"19,793",213,265,460,5,943,"20,736"
State Representative District 029,"7,065","5,922","8,086",116,"21,189",248,192,424,1,865,"22,054"
State Representative District 030,"7,293","8,001","8,490",254,"24,038",278,366,513,12,"1,169","25,207"
State Representative District 031,"7,595","4,396","6,043",181,"18,215",377,263,395,12,"1,047","19,262"
State Representative District 032,"7,873","2,452","4,877",200,"15,402",593,167,480,12,"1,252","16,654"
State Representative District 033,"8,375","3,028","5,541",186,"17,130",551,230,468,16,"1,265","18,395"
State Representative District 034,"9,347","3,238","5,807",214,"18,606",904,345,723,31,"2,003","20,609"
State Representative District 035,"7,359","1,938","4,214",194,"13,705",756,195,539,28,"1,518","15,223"
State Representative District 036,"9,816","3,937","5,978",223,"19,954",626,307,503,20,"1,456","21,410"
State Representative District 037,"7,924","10,174","10,139",269,"28,506",449,734,763,41,"1,987","30,493"
State Representative District 038,"7,228","7,351","7,903",237,"22,719",428,436,535,26,"1,425","24,144"
State Representative District 039,"7,681","9,281","9,488",259,"26,709",537,698,768,42,"2,045","28,754"
State Representative District 040,"7,227","6,649","6,363",197,"20,436",444,434,476,20,"1,374","21,810"
State Representative District 041,"11,806","3,719","4,841",221,"20,587","1,174",431,793,41,"2,439","23,026"
State Representative District 042,"7,382","6,296","6,563",232,"20,473",701,588,765,27,"2,081","22,554"
State Representative District 043,"7,819","6,261","5,889",174,"20,143",649,480,618,28,"1,775","21,918"
State Representative District 044,"8,184","10,198","12,361",304,"31,047",522,733,"1,063",33,"2,351","33,398"
State Representative District 045,"7,787","4,640","7,632",313,"20,372","1,407",835,"1,736",93,"4,071","24,443"
State Representative District 046,"7,457","5,068","8,304",260,"21,089","1,194",809,"1,735",74,"3,812","24,901"
