State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,3598,3203,2977,111,9889,1335,764,2068,57,4224,14113
State Representative District 002,3747,5747,3687,129,13310,1171,981,2018,48,4218,17528
State Representative District 003,2187,11351,4228,111,17877,541,1198,1389,39,3167,21044
State Representative District 004,1086,14755,2446,37,18324,257,1254,933,16,2460,20784
State Representative District 005,2122,11460,3680,102,17364,486,1104,1279,35,2904,20268
State Representative District 006,2932,7410,3927,122,14391,859,1109,1702,43,3713,18104
State Representative District 007,2788,10125,5155,118,18186,465,1057,1491,37,3050,21236
State Representative District 008,3952,6605,4279,123,14959,988,960,1944,50,3942,18901
State Representative District 009,3662,8879,5439,109,18089,615,980,1949,37,3581,21670
State Representative District 010,3975,10664,5840,137,20616,571,1158,1493,55,3277,23893
State Representative District 011,3683,9155,5827,150,18815,531,939,1504,46,3020,21835
State Representative District 012,2822,8659,4249,81,15811,661,1066,1630,53,3410,19221
State Representative District 013,3075,10872,5057,113,19117,504,1050,1313,37,2904,22021
State Representative District 014,3853,7641,4675,142,16311,911,1110,1920,52,3993,20304
State Representative District 015,4103,11098,4971,182,20354,570,1130,1141,43,2884,23238
State Representative District 016,3192,11517,4428,209,19346,645,1647,1585,77,3954,23300
State Representative District 017,2702,9799,4435,102,17038,477,1135,1652,40,3304,20342
State Representative District 018,2722,10527,4212,120,17581,510,1329,1717,44,3600,21181
State Representative District 019,4374,6118,4339,208,15039,1090,1212,1946,97,4345,19384
State Representative District 020,3932,4797,3867,203,12799,1165,1125,2077,130,4497,17296
State Representative District 021,4769,8095,5747,159,18770,776,957,1820,55,3608,22378
State Representative District 022,5602,9101,6944,170,21817,664,851,1485,49,3049,24866
State Representative District 023,3675,9578,6037,147,19437,479,925,1710,45,3159,22596
State Representative District 024,2955,9069,4306,123,16453,598,985,1453,36,3072,19525
State Representative District 025,4170,5175,4035,101,13481,981,828,1760,50,3619,17100
State Representative District 026,3325,8998,4570,105,16998,538,962,1467,38,3005,20003
State Representative District 027,6612,8066,8266,200,23144,836,885,1822,39,3582,26726
State Representative District 028,5834,7640,7272,187,20933,815,932,1818,56,3621,24554
State Representative District 029,5518,2878,3771,130,12297,1519,514,1701,65,3799,16096
State Representative District 030,6424,3216,4044,129,13813,1433,544,1767,70,3814,17627
State Representative District 031,7190,6394,5833,170,19587,1106,768,1607,48,3529,23116
State Representative District 032,7419,5539,5012,178,18148,1078,671,1389,48,3186,21334
State Representative District 033,5619,2412,3568,160,11759,1714,468,1932,60,4174,15933
State Representative District 034,6478,1680,3212,157,11527,2071,530,1760,56,4417,15944
State Representative District 035,8898,3643,4884,195,17620,1324,515,1406,57,3302,20922
State Representative District 036,9992,2998,4591,157,17738,2129,582,1753,71,4535,22273
State Representative District 037,3237,10913,5755,116,20021,502,1091,1550,37,3180,23201
State Representative District 038,4963,7163,5299,123,17548,771,787,1808,32,3398,20946
State Representative District 039,5858,4989,4869,164,15880,1235,647,1646,61,3589,19469
State Representative District 040,5953,6540,6301,190,18984,903,745,1593,43,3284,22268
State Representative District 041,6524,8413,7885,235,23057,854,944,1760,44,3602,26659
State Representative District 042,5887,7067,6519,167,19640,850,880,1505,54,3289,22929
State Representative District 043,6589,7397,6198,187,20371,857,652,1257,35,2801,23172
State Representative District 044,6860,6345,5412,172,18789,915,677,1268,50,2910,21699
State Representative District 045,5119,9240,7327,179,21865,529,671,1259,53,2512,24377
State Representative District 046,5546,8175,7753,165,21639,726,818,1609,48,3201,24840
State Representative District 047,4111,7839,5796,153,17899,651,857,1715,50,3273,21172
State Representative District 048,5061,7445,7074,162,19742,712,837,1821,51,3421,23163
State Representative District 049,4504,2887,5284,136,12811,1658,922,2316,89,4985,17796
State Representative District 050,6573,4288,6171,159,17191,1488,668,1953,72,4181,21372
