State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 001,"3,194","12,284","5,869",31,"21,378",260,521,565,5,"1,351","22,729"
State Representative District 002,"4,584","8,616","6,761",41,"20,002",402,416,824,2,"1,644","21,646"
State Representative District 003,"2,993","11,085","5,619",38,"19,735",264,468,756,6,"1,494","21,229"
State Representative District 004,"1,514","13,858","3,163",22,"18,557",113,499,389,2,"1,003","19,560"
State Representative District 005,"3,781","9,732","6,347",46,"19,906",342,525,722,4,"1,593","21,499"
State Representative District 006,"5,084","7,797","6,032",54,"18,967",455,400,672,3,"1,530","20,497"
State Representative District 007,"5,257","6,605","8,019",28,"19,909",477,388,"1,033",1,"1,899","21,808"
State Representative District 008,"4,521","8,219","6,879",25,"19,644",300,389,707,4,"1,400","21,044"
State Representative District 009,"6,674","5,109","6,454",60,"18,297",649,404,952,6,"2,011","20,308"
State Representative District 010,"4,023","8,073","7,529",34,"19,659",296,328,725,6,"1,355","21,014"
State Representative District 011,"4,273","7,262","6,859",35,"18,429",275,350,540,2,"1,167","19,596"
State Representative District 012,"5,346","7,016","8,071",59,"20,492",310,314,800,6,"1,430","21,922"
State Representative District 013,"5,349","5,167","4,990",65,"15,571",635,428,763,12,"1,838","17,409"
State Representative District 014,"5,937","4,310","4,674",47,"14,968",598,328,653,8,"1,587","16,555"
State Representative District 015,"5,356","4,256","5,791",112,"15,515",856,534,"1,055",16,"2,461","17,976"
State Representative District 016,"5,022","5,652","5,741",115,"16,530",826,625,"1,291",14,"2,756","19,286"
State Representative District 017,"4,542","7,895","6,269",42,"18,748",235,318,581,2,"1,136","19,884"
State Representative District 018,"4,400","7,274","5,594",30,"17,298",239,241,435,1,916,"18,214"
State Representative District 019,"5,199","9,596","8,785",81,"23,661",314,549,840,9,"1,712","25,373"
State Representative District 020,"4,614","6,601","7,354",59,"18,628",346,328,796,0,"1,470","20,098"
State Representative District 021,"3,832","8,480","7,112",33,"19,457",273,443,767,0,"1,483","20,940"
State Representative District 022,"4,664","10,248","6,590",79,"21,581",358,546,651,5,"1,560","23,141"
State Representative District 023,"3,815","9,854","5,966",63,"19,698",434,666,968,5,"2,073","21,771"
State Representative District 024,"3,217","9,465","5,195",33,"17,910",322,493,900,6,"1,721","19,631"
State Representative District 025,"5,696","8,354","7,370",53,"21,473",397,473,783,7,"1,660","23,133"
State Representative District 026,"6,515","7,173","6,762",57,"20,507",441,415,733,5,"1,594","22,101"
State Representative District 027,"4,778","6,458","5,805",36,"17,077",307,358,659,3,"1,327","18,404"
State Representative District 028,"5,256","7,074","7,003",32,"19,365",312,357,619,7,"1,295","20,660"
State Representative District 029,"7,645","5,608","6,864",39,"20,156",471,362,831,4,"1,668","21,824"
State Representative District 030,"6,810","7,803","7,019",122,"21,754",299,328,428,2,"1,057","22,811"
State Representative District 031,"7,601","4,637","5,165",96,"17,499",408,232,460,3,"1,103","18,602"
State Representative District 032,"7,686","2,573","4,209",107,"14,575",594,176,464,13,"1,247","15,822"
State Representative District 033,"7,895","3,109","4,609",84,"15,697",761,287,660,12,"1,720","17,417"
State Representative District 034,"8,621","3,598","4,780",114,"17,113","1,000",363,793,18,"2,174","19,287"
State Representative District 035,"7,477","2,193","3,726",91,"13,487",667,177,490,5,"1,339","14,826"
State Representative District 036,"9,651","4,908","5,425",122,"20,106",514,281,447,7,"1,249","21,355"
State Representative District 037,"6,585","10,176","7,617",142,"24,520",340,522,557,13,"1,432","25,952"
State Representative District 038,"6,628","7,139","6,393",114,"20,274",370,407,505,11,"1,293","21,567"
State Representative District 039,"6,363","9,776","7,539",126,"23,804",371,495,543,5,"1,414","25,218"
State Representative District 040,"6,828","7,729","5,675",84,"20,316",396,435,454,6,"1,291","21,607"
