State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 001,"3,071","11,994","6,225",31,"21,321",235,458,504,2,"1,199","22,520"
State Representative District 002,"5,052","6,969","7,851",43,"19,915",386,371,767,1,"1,525","21,440"
State Representative District 003,"3,275","9,919","6,451",42,"19,687",250,433,724,4,"1,411","21,098"
State Representative District 004,"1,445","13,086","3,510",26,"18,067",101,443,365,3,912,"18,979"
State Representative District 005,"3,847","9,064","6,777",40,"19,728",324,487,695,3,"1,509","21,237"
State Representative District 006,"5,119","7,207","6,549",53,"18,928",398,350,594,2,"1,344","20,272"
State Representative District 007,"5,231","6,316","8,300",26,"19,873",452,365,986,1,"1,804","21,677"
State Representative District 008,"4,478","8,022","7,234",28,"19,762",298,359,657,2,"1,316","21,078"
State Representative District 009,"6,692","4,812","6,683",49,"18,236",599,363,891,5,"1,858","20,094"
State Representative District 010,"4,055","7,367","8,164",36,"19,622",262,290,677,6,"1,235","20,857"
State Representative District 011,"4,146","6,976","7,302",29,"18,453",245,298,460,2,"1,005","19,458"
State Representative District 012,"5,565","6,161","8,768",62,"20,556",263,263,694,4,"1,224","21,780"
State Representative District 013,"5,171","4,761","5,353",63,"15,348",587,378,702,10,"1,677","17,025"
State Representative District 014,"5,824","3,996","5,019",50,"14,889",542,296,581,6,"1,425","16,314"
State Representative District 015,"5,286","4,105","5,943",101,"15,435",768,450,963,11,"2,192","17,627"
State Representative District 016,"4,845","5,367","5,923",100,"16,235",766,589,"1,223",15,"2,593","18,828"
State Representative District 017,"4,638","7,402","6,781",44,"18,865",226,293,539,1,"1,059","19,924"
State Representative District 018,"4,342","6,988","5,931",26,"17,287",186,165,329,1,681,"17,968"
State Representative District 019,"4,795","8,812","9,570",90,"23,267",255,449,714,8,"1,426","24,693"
State Representative District 020,"4,533","6,380","7,838",53,"18,804",292,281,694,0,"1,267","20,071"
State Representative District 021,"3,715","8,240","7,502",29,"19,486",235,375,697,0,"1,307","20,793"
State Representative District 022,"4,474","10,050","6,852",67,"21,443",319,487,581,4,"1,391","22,834"
State Representative District 023,"3,738","9,455","6,321",42,"19,556",404,625,908,4,"1,941","21,497"
State Representative District 024,"3,291","8,428","6,090",26,"17,835",305,457,869,5,"1,636","19,471"
State Representative District 025,"5,533","7,798","7,888",54,"21,273",344,409,675,6,"1,434","22,707"
State Representative District 026,"6,259","6,697","7,220",54,"20,230",394,376,679,3,"1,452","21,682"
State Representative District 027,"4,638","6,017","6,253",31,"16,939",281,318,580,1,"1,180","18,119"
State Representative District 028,"5,138","6,882","7,297",38,"19,355",292,329,564,4,"1,189","20,544"
State Representative District 029,"7,089","5,471","7,440",42,"20,042",423,305,742,3,"1,473","21,515"
State Representative District 030,"6,517","7,263","7,314",120,"21,214",273,269,366,1,909,"22,123"
State Representative District 031,"7,284","4,438","5,722",87,"17,531",293,179,352,2,826,"18,357"
State Representative District 032,"7,369","2,550","4,589",97,"14,605",478,140,390,7,"1,015","15,620"
State Representative District 033,"7,565","2,954","4,801",87,"15,407",766,271,672,11,"1,720","17,127"
State Representative District 034,"7,953","3,333","5,266",114,"16,666",976,367,793,14,"2,150","18,816"
State Representative District 035,"7,015","2,123","4,130",92,"13,360",623,156,480,6,"1,265","14,625"
State Representative District 036,"8,937","4,897","6,066",136,"20,036",401,221,370,2,994,"21,030"
State Representative District 037,"5,917","9,523","8,106",136,"23,682",270,366,440,12,"1,088","24,770"
State Representative District 038,"6,247","6,789","6,770",114,"19,920",335,331,471,4,"1,141","21,061"
State Representative District 039,"5,778","9,202","8,156",123,"23,259",268,361,418,5,"1,052","24,311"
State Representative District 040,"6,245","7,402","6,318",94,"20,059",353,375,411,5,"1,144","21,203"
State Representative District 041,"9,648","4,766","5,441",150,"20,005",736,323,705,17,"1,781","21,786"
State Representative District 042,"6,259","7,093","6,698",135,"20,185",445,469,628,9,"1,551","21,736"
State Representative District 043,"6,671","7,409","6,015",86,"20,181",476,418,528,5,"1,427","21,608"
