State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,"3,026","12,213",47,"6,019",10,"21,315",281,600,5,643,5,"1,534","22,849"
State Representative District 002,"4,281","8,304",69,"7,042",11,"19,707",299,406,4,740,1,"1,450","21,157"
State Representative District 003,"2,855","10,867",50,"5,804",16,"19,592",214,407,6,533,1,"1,161","20,753"
State Representative District 004,"1,488","13,954",36,"3,561",14,"19,053",142,500,10,337,3,992,"20,045"
State Representative District 005,"3,671","9,774",64,"6,526",27,"20,062",209,445,6,473,2,"1,135","21,197"
State Representative District 006,"4,942","7,643",74,"6,539",27,"19,225",430,471,9,659,1,"1,570","20,795"
State Representative District 007,"4,912","6,511",45,"8,304",14,"19,786",400,409,3,947,1,"1,760","21,546"
State Representative District 008,"4,248","8,051",42,"7,047",20,"19,408",275,353,6,629,1,"1,264","20,672"
State Representative District 009,"6,260","5,204",81,"7,315",45,"18,905",459,255,3,718,1,"1,436","20,341"
State Representative District 010,"3,771","7,985",52,"7,735",13,"19,556",248,323,8,635,2,"1,216","20,772"
State Representative District 011,"4,029","7,109",53,"6,764",27,"17,982",426,408,4,771,0,"1,609","19,591"
State Representative District 012,"5,024","6,953",67,"8,129",21,"20,194",221,281,10,509,0,"1,021","21,215"
State Representative District 013,"5,194","4,928",66,"5,265",28,"15,481",608,480,12,824,4,"1,928","17,409"
State Representative District 014,"5,649","4,176",56,"4,912",19,"14,812",623,353,9,645,3,"1,633","16,445"
State Representative District 015,"5,148","4,307",135,"6,162",50,"15,802",972,623,26,"1,260",4,"2,885","18,687"
State Representative District 016,"4,880","5,686",153,"6,197",45,"16,961",946,786,20,"1,496",10,"3,258","20,219"
State Representative District 017,"4,265","7,790",63,"6,613",22,"18,753",179,276,3,437,4,899,"19,652"
State Representative District 018,"4,232","7,222",47,"6,257",11,"17,769",247,319,5,469,1,"1,041","18,810"
State Representative District 019,"5,283","9,777",127,"9,744",18,"24,949",305,600,12,833,2,"1,752","26,701"
State Representative District 020,"4,396","6,498",79,"7,675",20,"18,668",274,310,5,655,0,"1,244","19,912"
State Representative District 021,"3,542","8,201",55,"7,355",15,"19,168",311,511,5,907,1,"1,735","20,903"
State Representative District 022,"4,582","10,165",105,"6,908",24,"21,784",473,742,13,833,3,"2,064","23,848"
State Representative District 023,"3,552","9,614",81,"6,023",31,"19,301",268,432,7,548,2,"1,257","20,558"
State Representative District 024,"3,083","9,279",52,"5,374",12,"17,800",243,474,9,617,0,"1,343","19,143"
State Representative District 025,"5,466","8,359",89,"7,872",21,"21,807",384,567,11,803,1,"1,766","23,573"
State Representative District 026,"6,162","7,026",90,"7,385",17,"20,680",412,453,11,738,2,"1,616","22,296"
State Representative District 027,"4,436","6,430",57,"6,117",12,"17,052",359,386,10,677,3,"1,435","18,487"
State Representative District 028,"4,947","7,038",55,"7,282",17,"19,339",253,325,7,583,1,"1,169","20,508"
State Representative District 029,"7,101","5,587",56,"7,351",18,"20,113",427,314,7,638,1,"1,387","21,500"
State Representative District 030,"6,795","7,995",165,"7,792",34,"22,781",306,362,16,514,0,"1,198","23,979"
State Representative District 031,"7,384","4,660",114,"5,619",30,"17,807",396,250,10,408,3,"1,067","18,874"
State Representative District 032,"7,615","2,544",106,"4,613",38,"14,916",578,161,13,428,4,"1,184","16,100"
State Representative District 033,"7,898","3,134",101,"5,152",39,"16,324",673,249,12,538,3,"1,475","17,799"
State Representative District 034,"8,429","3,457",116,"5,325",44,"17,371","1,017",366,22,815,5,"2,225","19,596"
State Representative District 035,"7,235","2,064",91,"3,909",45,"13,344",723,188,12,566,6,"1,495","14,839"
State Representative District 036,"9,169","4,515",152,"5,912",55,"19,803",641,332,10,509,2,"1,494","21,297"
State Representative District 037,"6,776","10,358",221,"8,926",30,"26,311",421,677,22,680,5,"1,805","28,116"
State Representative District 038,"6,585","7,300",159,"7,148",30,"21,222",418,454,24,526,5,"1,427","22,649"
State Representative District 039,"6,584","9,652",168,"8,488",28,"24,920",523,737,24,752,6,"2,042","26,962"
State Representative District 040,"6,670","7,264",155,"6,102",24,"20,215",474,426,17,517,3,"1,437","21,652"
State Representative District 041,"10,703","4,341",139,"4,854",45,"20,082","1,066",427,26,826,13,"2,358","22,440"
State Representative District 042,"6,836","6,954",173,"6,245",44,"20,252",619,575,18,718,0,"1,930","22,182"
State Representative District 043,"7,070","7,016",101,"5,792",36,"20,015",620,515,10,675,3,"1,823","21,838"
State Representative District 044,"6,011","9,503",157,"10,598",27,"26,296",830,"1,223",25,"1,602",4,"3,684","29,980"
State Representative District 045,"6,768","4,833",195,"7,289",63,"19,148","1,202",761,49,"1,556",12,"3,580","22,728"
State Representative District 046,"6,556","5,360",178,"7,502",57,"19,653","1,260",902,56,"1,797",18,"4,033","23,686"
State Representative District 047,"5,522","6,781",81,"7,692",17,"20,093",354,437,15,810,1,"1,617","21,710"
State Representative District 048,"5,120","7,512",71,"7,561",30,"20,294",286,332,11,613,2,"1,244","21,538"
State Representative District 049,"4,546","7,477",142,"7,891",37,"20,093",322,410,13,597,0,"1,342","21,435"
State Representative District 050,"3,696","8,788",56,"7,113",13,"19,666",203,420,7,592,3,"1,225","20,891"
State Representative District 051,"4,840","6,425",27,"8,050",8,"19,350",333,287,3,750,0,"1,373","20,723"
State Representative District 052,"5,562","5,376",44,"8,553",19,"19,554",389,297,10,798,1,"1,495","21,049"
State Representative District 053,"6,264","4,522",41,"8,509",14,"19,350",432,286,4,822,4,"1,548","20,898"
State Representative District 054,"3,793","8,404",46,"7,314",11,"19,568",254,353,1,551,1,"1,160","20,728"
State Representative District 055,"5,389","6,486",47,"6,873",24,"18,819",452,248,6,681,5,"1,392","20,211"
State Representative District 056,"4,676","7,160",51,"7,071",11,"18,969",347,328,5,669,2,"1,351","20,320"
State Representative District 057,"7,650","6,583",79,"8,330",13,"22,655",227,241,2,440,1,911,"23,566"
State Representative District 058,"6,542","5,171",32,"9,082",14,"20,841",332,248,5,683,1,"1,269","22,110"
State Representative District 059,"5,860","5,284",114,"7,460",36,"18,754",730,530,23,"1,236",8,"2,527","21,281"
State Representative District 060,"6,226","7,093",93,"7,654",33,"21,099",558,569,12,816,5,"1,960","23,059"
State Representative District 061,"6,822","3,877",83,"6,346",43,"17,171",606,276,14,624,6,"1,526","18,697"
State Representative District 062,"8,095","2,461",95,"5,836",49,"16,536",702,192,6,613,2,"1,515","18,051"
State Representative District 063,"4,786","6,551",67,"9,021",13,"20,438",331,348,7,761,3,"1,450","21,888"
State Representative District 064,"5,050","4,624",47,"8,323",12,"18,056",279,175,6,661,3,"1,124","19,180"
State Representative District 065,"8,479","3,990",150,"5,960",68,"18,647",730,299,21,706,5,"1,761","20,408"
State Representative District 066,"6,968","5,560",145,"6,878",53,"19,604",572,349,16,622,5,"1,564","21,168"
State Representative District 067,"6,080","7,193",149,"8,103",37,"21,562",438,488,9,697,2,"1,634","23,196"
State Representative District 068,"6,678","6,193",165,"8,217",43,"21,296",441,371,17,658,6,"1,493","22,789"
State Representative District 069,"7,225","4,093",160,"7,396",58,"18,932",654,279,18,733,6,"1,690","20,622"
State Representative District 070,"7,816","4,677",180,"7,243",41,"19,957",572,307,16,678,7,"1,580","21,537"
State Representative District 071,"5,296","4,845",46,"6,231",18,"16,436",386,273,6,635,1,"1,301","17,737"
State Representative District 072,"4,925","6,408",54,"8,242",15,"19,644",292,259,4,610,0,"1,165","20,809"
State Representative District 073,"6,173","6,201",83,"7,829",19,"20,305",272,248,7,497,6,"1,030","21,335"
State Representative District 074,"9,097","3,953",126,"6,056",46,"19,278","1,146",443,21,930,10,"2,550","21,828"
State Representative District 075,"4,479","6,738",70,"8,601",14,"19,902",287,314,7,691,2,"1,301","21,203"
State Representative District 076,"5,727","6,550",75,"8,336",17,"20,705",848,346,10,978,4,"2,186","22,891"
State Representative District 077,"8,147","5,910",149,"8,467",33,"22,706",672,486,9,854,3,"2,024","24,730"
State Representative District 078,"4,438","7,651",74,"6,842",28,"19,033",306,371,7,643,1,"1,328","20,361"
State Representative District 079,"3,259","9,861",80,"6,056",15,"19,271",420,644,9,801,2,"1,876","21,147"
State Representative District 080,"5,086","6,989",58,"6,561",16,"18,710",414,372,7,770,2,"1,565","20,275"
State Representative District 081,"6,779","4,295",47,"5,540",33,"16,694",599,340,4,836,0,"1,779","18,473"
State Representative District 082,"6,104","6,427",64,"5,739",55,"18,389",482,356,15,691,13,"1,557","19,946"
State Representative District 083,"7,537","3,439",76,"6,575",19,"17,646",615,316,9,971,3,"1,914","19,560"
State Representative District 084,"4,174","7,012",64,"7,080",15,"18,345",383,408,6,851,2,"1,650","19,995"
State Representative District 085,"12,278","3,873",185,"7,201",69,"23,606","2,114","1,060",40,"2,675",21,"5,910","29,516"
State Representative District 086,"9,881","3,095",154,"6,367",67,"19,564","1,867",730,28,"2,011",17,"4,653","24,217"
State Representative District 087,"7,923","4,182",86,"6,386",35,"18,612",790,351,11,932,5,"2,089","20,701"
State Representative District 088,"5,384","6,296",55,"7,277",14,"19,026",287,305,4,615,3,"1,214","20,240"
State Representative District 089,"6,914","4,421",97,"8,425",35,"19,892",723,405,13,957,4,"2,102","21,994"
State Representative District 090,"7,103","2,737",124,"7,504",48,"17,516","1,090",363,24,"1,281",5,"2,763","20,279"
State Representative District 091,"5,559","5,798",56,"7,266",32,"18,711",543,418,8,917,1,"1,887","20,598"
State Representative District 092,"5,652","5,920",103,"8,710",33,"20,418",511,445,7,840,5,"1,808","22,226"
State Representative District 093,"6,755","6,067",124,"8,187",34,"21,167",769,587,23,"1,195",6,"2,580","23,747"
State Representative District 094,"5,911","8,640",123,"9,721",30,"24,425",659,850,20,"1,156",3,"2,688","27,113"
State Representative District 095,"6,005","6,406",107,"8,311",23,"20,852",320,259,6,527,2,"1,114","21,966"
State Representative District 096,"4,085","6,341",38,"8,187",13,"18,664",222,215,5,578,2,"1,022","19,686"
State Representative District 097,"5,351","6,677",75,"9,439",22,"21,564",334,390,7,691,0,"1,422","22,986"
State Representative District 098,"6,152","4,007",41,"8,041",22,"18,263",543,225,8,842,9,"1,627","19,890"
State Representative District 099,"8,690","5,065",91,"6,911",30,"20,787",721,414,14,755,7,"1,911","22,698"
State Representative District 100,"7,762","3,949",104,"6,278",41,"18,134",811,402,14,872,10,"2,109","20,243"
Totals,"591,820","639,635","9,331","711,385","2,882","1,955,053","52,625","42,079","1,212","78,397",380,"174,693","2,129,746"
