State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,2826,2632,50,2087,16,7611,3081,1469,71,3709,25,8355,15966
State Representative District 002,3136,5022,57,2801,13,11029,2338,1828,70,3496,30,7762,18791
State Representative District 003,1973,10159,53,3335,12,15532,1112,2407,66,2586,20,6191,21723
State Representative District 004,1051,13256,18,2030,4,16359,531,2719,27,1603,9,4889,21248
State Representative District 005,2004,10328,66,3065,14,15477,1028,2306,41,2673,14,6062,21539
State Representative District 006,2590,6686,65,3245,22,12608,1849,2032,63,3327,22,7293,19901
State Representative District 007,2844,9008,74,4598,15,16539,927,1888,39,2966,20,5840,22379
State Representative District 008,3998,5482,75,3782,13,13350,2060,1694,74,3898,38,7764,21114
State Representative District 009,3623,7788,56,4776,14,16257,1311,1744,64,3787,5,6911,23168
State Representative District 010,3790,9565,67,4916,17,18355,1285,2111,73,3046,16,6531,24886
State Representative District 011,3685,8198,96,5135,14,17128,1120,1716,45,3026,14,5921,23049
State Representative District 012,2670,7486,57,3642,10,13865,1542,1946,46,3264,22,6820,20685
State Representative District 013,2915,9415,73,4226,11,16640,1011,2132,46,2672,19,5880,22520
State Representative District 014,3256,6669,62,3433,18,13438,1991,2181,64,3548,26,7810,21248
State Representative District 015,3775,9752,101,3773,14,17415,1171,2270,87,2371,27,5926,23341
State Representative District 016,2967,10151,106,3527,21,16772,1285,3041,112,3147,26,7611,24383
State Representative District 017,2677,8824,57,3833,12,15403,977,1944,58,3124,11,6114,21517
State Representative District 018,2488,9250,62,3259,14,15073,1147,2776,68,3564,26,7581,22654
State Representative District 019,3718,5283,110,3221,36,12368,2381,2272,139,3821,49,8662,21030
State Representative District 020,3300,3946,115,2759,33,10153,2740,2092,174,4222,65,9293,19446
State Representative District 021,4511,6950,93,4650,23,16227,1500,1784,74,3237,21,6616,22843
State Representative District 022,5133,7834,111,5409,14,18501,1443,1751,82,3010,17,6303,24804
State Representative District 023,3537,8413,105,5230,12,17297,1030,1813,59,3151,19,6072,23369
State Representative District 024,2943,7572,63,3708,15,14301,1324,1867,53,2901,20,6165,20466
State Representative District 025,3906,4463,48,3146,16,11579,2285,1522,58,3341,24,7230,18809
State Representative District 026,3401,7483,66,3902,10,14862,1261,1829,49,2986,25,6150,21012
State Representative District 027,5714,7061,108,6390,8,19281,1411,1445,65,3073,11,6005,25286
State Representative District 028,5133,6802,115,5775,20,17845,1405,1530,69,3041,13,6058,23903
State Representative District 029,4709,2428,74,2714,20,9945,3165,998,90,2912,30,7195,17140
State Representative District 030,5676,2770,73,3004,19,11542,3094,987,89,2989,34,7193,18735
State Representative District 031,6558,6057,111,4711,26,17463,1976,1329,88,2760,28,6181,23644
State Representative District 032,6961,5316,120,3909,16,16322,1983,1205,64,2436,24,5712,22034
State Representative District 033,4774,1991,79,2496,25,9365,3712,969,86,3170,39,7976,17341
State Representative District 034,5739,1444,77,2332,25,9617,4181,1015,103,3079,47,8425,18042
State Representative District 035,8555,3354,119,3718,35,15781,2465,1047,79,2412,18,6021,21802
State Representative District 036,9589,2951,108,3468,25,16141,3333,966,92,2578,35,7004,23145
State Representative District 037,3159,9823,76,4807,15,17880,1033,1991,51,2817,11,5903,23783
State Representative District 038,4812,6112,75,4455,11,15465,1732,1482,49,3477,16,6756,22221
State Representative District 039,5267,4314,108,3410,16,13115,2426,1212,71,2962,24,6695,19810
State Representative District 040,5390,5701,117,4806,20,16034,1734,1425,77,2819,24,6079,22113
State Representative District 041,5820,7356,140,6154,21,19491,1452,1611,80,2751,21,5915,25406
State Representative District 042,5454,6435,114,5190,15,17208,1438,1582,85,2507,20,5632,22840
State Representative District 043,6071,6930,108,4915,16,18040,1529,1235,60,2207,15,5046,23086
State Representative District 044,6408,5959,99,4375,31,16872,1866,1286,77,2358,16,5603,22475
State Representative District 045,4696,8299,134,5765,18,18912,1139,1382,73,2364,14,4972,23884
State Representative District 046,4981,7204,102,6151,19,18457,1347,1471,73,2880,11,5782,24239
State Representative District 047,3843,7082,104,4695,18,15742,1412,1606,62,3426,15,6521,22263
State Representative District 048,4983,6696,108,5547,24,17358,1413,1615,79,3614,16,6737,24095
State Representative District 049,4349,2220,83,3194,25,9871,3524,2326,156,4942,48,10996,20867
State Representative District 050,6325,3969,95,4576,29,14994,2756,1260,130,3286,30,7462,22456
State Representative District 051,4427,7568,141,5568,20,17724,1187,1573,79,3143,30,6012,23736
State Representative District 052,3642,4473,69,3221,11,11416,2385,1220,50,3315,22,6992,18408
State Representative District 053,4389,5820,56,4970,21,15256,2480,1265,55,3655,11,7466,22722
State Representative District 054,3322,8788,73,4337,10,16530,1146,1969,48,2863,14,6040,22570
State Representative District 055,3439,7963,61,4303,9,15775,1192,1677,62,2986,19,5936,21711
State Representative District 056,2816,8342,56,4214,8,15436,1070,1841,39,3026,22,5998,21434
State Representative District 057,3886,7622,73,5377,16,16974,1100,1498,43,3052,9,5702,22676
State Representative District 058,4006,6371,49,5586,9,16021,1292,1322,51,3512,18,6195,22216
State Representative District 059,5012,4950,65,5103,18,15148,1905,1222,54,4101,26,7308,22456
State Representative District 060,3901,7597,65,5371,7,16941,1209,1642,57,3403,28,6339,23280
State Representative District 061,5153,4065,77,3656,16,12967,2924,1141,61,3008,23,7157,20124
State Representative District 062,4882,2347,71,2847,17,10164,3793,865,68,3571,45,8342,18506
State Representative District 063,5028,6532,57,5722,13,17352,1387,1090,38,2830,20,5365,22717
State Representative District 064,4055,7697,68,4832,13,16665,1172,1777,46,2965,17,5977,22642
State Representative District 065,5692,7095,69,5101,11,17968,1447,1525,46,2662,16,5696,23664
State Representative District 066,4460,6919,55,5358,8,16800,1117,1332,35,3547,10,6041,22841
State Representative District 067,4060,7114,64,5836,12,17086,1003,1223,34,3167,13,5440,22526
State Representative District 068,3923,5987,56,4963,11,14940,1217,1221,46,3159,16,5659,20599
State Representative District 069,4557,4933,67,4843,19,14419,2333,1446,71,4636,27,8513,22932
State Representative District 070,4381,7003,69,5506,15,16974,1425,1426,47,3705,30,6633,23607
State Representative District 071,6007,3899,109,3580,19,13614,2876,1475,104,3697,34,8186,21800
State Representative District 072,6376,5069,75,4136,23,15679,2219,1322,100,2985,28,6654,22333
State Representative District 073,5802,6056,110,5734,18,17720,1539,1366,65,2703,15,5688,23408
State Representative District 074,6027,4469,93,4837,20,15446,2069,1212,107,3012,31,6431,21877
State Representative District 075,5579,4926,90,4557,27,15179,2043,1312,73,3103,20,6551,21730
State Representative District 076,4708,6575,95,5331,18,16727,1616,1423,54,3084,25,6202,22929
State Representative District 077,4994,3207,98,4214,35,12548,2533,1121,88,3275,37,7054,19602
