State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,3883,3434,3561,125,11003,1071,532,1428,42,3073,14076
State Representative District 002,4042,6092,4275,144,14553,898,656,1362,36,2952,17505
State Representative District 003,2374,11757,4653,117,18901,372,760,895,30,2057,20958
State Representative District 004,1158,15171,2764,39,19132,190,815,584,13,1602,20734
State Representative District 005,2264,11896,4063,117,18340,358,692,851,21,1922,20262
State Representative District 006,3187,7871,4491,133,15682,618,662,1127,31,2438,18120
State Representative District 007,2993,10617,5635,129,19374,287,575,927,23,1812,21186
State Representative District 008,4301,7003,4885,138,16327,691,551,1278,36,2556,18883
State Representative District 009,3871,9250,6037,122,19280,446,604,1303,24,2377,21657
State Representative District 010,4152,11144,6358,152,21806,422,671,916,33,2042,23848
State Representative District 011,3906,9574,6359,173,20012,344,520,929,24,1817,21829
State Representative District 012,3020,9096,4651,96,16863,496,619,1175,36,2326,19189
State Representative District 013,3248,11266,5478,126,20118,366,660,872,26,1924,22042
State Representative District 014,4095,8004,5166,161,17426,703,732,1328,32,2795,20221
State Representative District 015,4337,11563,5349,194,21443,377,667,727,27,1798,23241
State Representative District 016,3418,12151,4886,224,20679,450,1045,1055,58,2608,23287
State Representative District 017,2894,10303,5009,114,18320,318,659,996,30,2003,20323
State Representative District 018,2906,11044,4673,133,18756,357,862,1217,29,2465,21221
State Representative District 019,4721,6580,5003,242,16546,781,758,1237,65,2841,19387
State Representative District 020,4322,5246,4565,244,14377,808,682,1362,85,2937,17314
State Representative District 021,5023,8494,6399,174,20090,537,568,1120,35,2260,22350
State Representative District 022,5867,9454,7486,184,22991,439,526,878,37,1880,24871
State Representative District 023,3839,9975,6627,165,20606,335,556,1063,25,1979,22585
State Representative District 024,3159,9506,4771,138,17574,422,603,969,21,2015,19589
State Representative District 025,4514,5488,4658,118,14778,691,527,1108,32,2358,17136
State Representative District 026,3529,9390,5039,120,18078,365,577,937,25,1904,19982
State Representative District 027,6973,8500,8923,210,24606,495,478,1022,29,2024,26630
State Representative District 028,6169,8059,7949,218,22395,512,522,1049,30,2113,24508
State Representative District 029,5989,3104,4299,150,13542,1105,316,1109,48,2578,16120
State Representative District 030,6898,3413,4670,148,15129,1008,343,1102,49,2502,17631
State Representative District 031,7573,6727,6408,185,20893,743,454,985,31,2213,23106
State Representative District 032,7841,5839,5495,193,19368,728,417,884,28,2057,21425
State Representative District 033,6145,2598,4257,170,13170,1251,315,1194,51,2811,15981
State Representative District 034,7161,1855,3751,174,12941,1473,364,1168,38,3043,15984
State Representative District 035,9408,3861,5367,219,18855,888,333,847,32,2100,20955
State Representative District 036,10718,3235,5169,188,19310,1470,367,1133,47,3017,22327
State Representative District 037,3426,11331,6263,124,21144,348,658,977,30,2013,23157
State Representative District 038,5222,7478,5869,137,18706,552,472,1190,20,2234,20940
State Representative District 039,6302,5274,5370,191,17137,829,391,1027,34,2281,19418
State Representative District 040,6239,6846,6865,207,20157,624,445,933,31,2033,22190
State Representative District 041,6824,8786,8574,254,24438,562,535,1018,26,2141,26579
State Representative District 042,6220,7463,7102,190,20975,547,516,876,36,1975,22950
State Representative District 043,6867,7666,6652,200,21385,597,411,777,24,1809,23194
State Representative District 044,7174,6643,5903,187,19907,635,428,760,30,1853,21760
State Representative District 045,5290,9499,7730,198,22717,354,371,695,33,1453,24170
State Representative District 046,5770,8540,8348,182,22840,496,454,927,32,1909,24749
State Representative District 047,4364,8218,6356,180,19118,440,473,1088,23,2024,21142
State Representative District 048,5359,7832,7706,185,21082,478,475,1105,31,2089,23171
State Representative District 049,4965,3103,5881,163,14112,1225,719,1661,60,3665,17777
State Representative District 050,7084,4579,6787,179,18629,1002,395,1247,57,2701,21330
State Representative District 051,4772,8671,7337,205,20985,395,463,949,40,1847,22832
State Representative District 052,4634,5216,4799,121,14770,767,359,1056,28,2210,16980
State Representative District 053,4965,6858,6521,106,18450,840,400,1217,26,2483,20933
State Representative District 054,3673,10147,5525,146,19491,351,602,851,26,1830,21321
State Representative District 055,3771,9191,5620,125,18707,404,501,967,23,1895,20602
State Representative District 056,3058,9634,5438,130,18260,361,595,1029,15,2000,20260
State Representative District 057,4204,8795,7239,118,20356,376,426,936,18,1756,22112
State Representative District 058,4300,7340,7102,89,18831,412,416,1044,20,1892,20723
State Representative District 059,5610,6077,6835,150,18672,658,423,1386,30,2497,21169
State Representative District 060,4284,9094,6720,137,20235,480,544,1152,38,2214,22449
State Representative District 061,6133,4764,5024,163,16084,1057,369,1092,27,2545,18629
State Representative District 062,6121,2844,4216,152,13333,1345,320,1335,34,3034,16367
State Representative District 063,5376,7433,7387,93,20289,473,313,924,19,1729,22018
State Representative District 064,4038,9752,5637,121,19548,469,631,1068,26,2194,21742
State Representative District 065,6172,8626,6344,132,21274,481,478,960,17,1936,23210
State Representative District 066,4557,8329,6919,101,19906,316,372,1030,19,1737,21643
State Representative District 067,4393,8139,7479,121,20132,301,391,1024,12,1728,21860
State Representative District 068,4221,7211,6492,111,18035,414,359,935,14,1722,19757
State Representative District 069,5256,5934,6958,135,18283,710,469,1599,37,2815,21098
State Representative District 070,4745,8141,7220,130,20236,397,429,1126,24,1976,22212
State Representative District 071,6922,4933,5098,242,17195,1089,528,1403,50,3070,20265
State Representative District 072,7259,6225,5367,177,19028,731,473,1114,46,2364,21392
State Representative District 073,6536,6814,7426,196,20972,565,496,925,25,2011,22983
State Representative District 074,6939,5214,6538,202,18893,807,438,1080,49,2374,21267
State Representative District 075,6503,5822,6245,183,18753,651,411,1016,35,2113,20866
