State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 001,"3,066","12,005","6,226",31,"21,328",233,455,501,2,"1,191","22,519"
State Representative District 002,"5,046","6,979","7,873",44,"19,942",381,366,761,1,"1,509","21,451"
State Representative District 003,"3,280","9,939","6,470",41,"19,730",248,429,722,4,"1,403","21,133"
State Representative District 004,"1,448","13,097","3,520",27,"18,092",102,443,364,3,912,"19,004"
State Representative District 005,"3,837","9,081","6,792",41,"19,751",326,486,695,3,"1,510","21,261"
State Representative District 006,"5,113","7,210","6,569",54,"18,946",399,350,593,2,"1,344","20,290"
State Representative District 007,"5,222","6,302","8,337",27,"19,888",446,359,959,1,"1,765","21,653"
State Representative District 008,"4,476","8,032","7,243",27,"19,778",288,358,639,2,"1,287","21,065"
State Representative District 009,"6,689","4,813","6,709",49,"18,260",598,361,890,5,"1,854","20,114"
State Representative District 010,"4,052","7,368","8,189",38,"19,647",260,287,675,6,"1,228","20,875"
State Representative District 011,"4,152","6,991","7,306",30,"18,479",244,295,459,2,"1,000","19,479"
State Representative District 012,"5,563","6,170","8,790",64,"20,587",260,263,691,4,"1,218","21,805"
State Representative District 013,"5,174","4,774","5,373",62,"15,383",588,379,700,10,"1,677","17,060"
State Representative District 014,"5,818","4,004","5,026",50,"14,898",542,294,582,6,"1,424","16,322"
State Representative District 015,"5,285","4,115","5,968",103,"15,471",764,447,959,11,"2,181","17,652"
State Representative District 016,"4,856","5,389","5,951",102,"16,298",758,586,"1,213",15,"2,572","18,870"
State Representative District 017,"4,598","7,390","6,756",45,"18,789",226,293,537,1,"1,057","19,846"
State Representative District 018,"4,345","6,988","5,944",26,"17,303",185,166,326,1,678,"17,981"
State Representative District 019,"4,811","8,839","9,621",94,"23,365",255,446,705,8,"1,414","24,779"
State Representative District 020,"4,522","6,385","7,853",53,"18,813",292,280,687,0,"1,259","20,072"
State Representative District 021,"3,715","8,260","7,519",30,"19,524",233,371,695,0,"1,299","20,823"
State Representative District 022,"4,475","10,073","6,871",68,"21,487",316,480,578,4,"1,378","22,865"
State Representative District 023,"3,741","9,476","6,347",46,"19,610",404,622,906,4,"1,936","21,546"
State Representative District 024,"3,298","8,439","6,101",26,"17,864",304,455,865,5,"1,629","19,493"
State Representative District 025,"5,532","7,812","7,911",55,"21,310",341,402,674,6,"1,423","22,733"
State Representative District 026,"6,246","6,714","7,263",56,"20,279",393,375,670,3,"1,441","21,720"
State Representative District 027,"4,638","6,027","6,267",31,"16,963",280,318,575,1,"1,174","18,137"
State Representative District 028,"5,129","6,894","7,347",38,"19,408",291,327,561,4,"1,183","20,591"
State Representative District 029,"7,097","5,510","7,537",39,"20,183",418,304,734,3,"1,459","21,642"
State Representative District 030,"6,512","7,280","7,363",126,"21,281",274,262,367,1,904,"22,185"
State Representative District 031,"7,276","4,457","5,737",88,"17,558",291,178,350,2,821,"18,379"
State Representative District 032,"7,365","2,545","4,609",96,"14,615",477,140,388,7,"1,012","15,627"
State Representative District 033,"7,561","2,955","4,840",86,"15,442",758,265,665,11,"1,699","17,141"
State Representative District 034,"7,963","3,338","5,288",114,"16,703",974,365,784,14,"2,137","18,840"
State Representative District 035,"7,019","2,127","4,124",92,"13,362",621,154,479,6,"1,260","14,622"
State Representative District 036,"8,949","4,890","6,088",142,"20,069",400,220,368,2,990,"21,059"
State Representative District 037,"5,927","9,559","8,163",137,"23,786",268,361,435,12,"1,076","24,862"
State Representative District 038,"6,254","6,796","6,791",114,"19,955",332,329,469,5,"1,135","21,090"
State Representative District 039,"5,780","9,224","8,196",127,"23,327",267,359,415,5,"1,046","24,373"
State Representative District 040,"6,251","7,413","6,341",95,"20,100",351,375,406,5,"1,137","21,237"
State Representative District 041,"9,677","4,769","5,436",149,"20,031",733,323,706,17,"1,779","21,810"
State Representative District 042,"6,263","7,098","6,716",139,"20,216",447,467,623,8,"1,545","21,761"
State Representative District 043,"6,678","7,420","6,047",87,"20,232",469,416,524,5,"1,414","21,646"
State Representative District 044,"4,890","8,666","10,282",105,"23,943",549,858,"1,257",4,"2,668","26,611"
State Representative District 045,"5,729","4,492","7,046",172,"17,439","1,223",725,"1,756",24,"3,728","21,167"
State Representative District 046,"5,455","4,668","7,153",146,"17,422",745,555,"1,142",31,"2,473","19,895"
State Representative District 047,"5,724","6,302","8,054",58,"20,138",308,344,735,3,"1,390","21,528"
State Representative District 048,"5,343","6,905","7,969",74,"20,291",265,310,555,3,"1,133","21,424"
State Representative District 049,"4,453","7,227","8,000",108,"19,788",237,248,468,9,962,"20,750"
