State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,4882,3528,3863,128,12401,1450,640,1937,37,4064,16465
State Representative District 002,4693,6116,4481,122,15412,1154,843,1770,50,3817,19229
State Representative District 003,2776,11729,4632,124,19261,482,981,1169,33,2665,21926
State Representative District 004,1412,15008,2750,41,19211,234,1061,727,17,2039,21250
State Representative District 005,2698,11786,4264,97,18845,550,1029,1534,27,3140,21985
State Representative District 006,3780,7838,4932,139,16689,905,896,1840,35,3676,20365
State Representative District 007,3572,10134,6021,124,19851,479,713,1527,24,2743,22594
State Representative District 008,5384,6286,5548,135,17353,1144,794,2225,58,4221,21574
State Representative District 009,4664,8835,6693,118,20310,670,756,2010,25,3461,23771
State Representative District 010,4777,10633,6415,141,21966,596,870,1583,39,3088,25054
State Representative District 011,4571,9050,6707,130,20458,533,717,1487,29,2766,23224
State Representative District 012,3795,8678,5483,98,18054,714,751,1541,38,3044,21098
State Representative District 013,3765,10807,5790,110,20472,543,807,1493,39,2882,23354
State Representative District 014,4651,8031,5176,149,18007,905,949,1681,43,3578,21585
State Representative District 015,4710,11212,5247,178,21347,431,713,898,41,2083,23430
State Representative District 016,3845,11908,5168,211,21132,603,1221,1567,62,3453,24585
State Representative District 017,3404,10092,5228,113,18837,513,805,1706,29,3053,21890
State Representative District 018,3300,11035,5218,130,19683,568,1171,1793,41,3573,23256
State Representative District 019,5230,6417,5095,220,16962,1147,1104,2050,95,4396,21358
State Representative District 020,4825,4914,4729,260,14728,1519,1109,2457,127,5212,19940
State Representative District 021,5636,7977,6226,172,20011,718,704,1489,39,2950,22961
State Representative District 022,6214,8570,7028,183,21995,590,652,1210,50,2502,24497
State Representative District 023,4376,9455,6695,151,20677,478,707,1506,33,2724,23401
State Representative District 024,3889,8690,5250,114,17943,689,749,1396,36,2870,20813
State Representative District 025,5446,5333,4750,110,15639,1177,631,1723,33,3564,19203
State Representative District 026,4306,8554,5395,117,18372,712,771,1444,36,2963,21335
State Representative District 027,6635,7460,7716,168,21979,596,668,1300,39,2603,24582
State Representative District 028,6100,7339,7286,166,20891,742,760,1520,52,3074,23965
State Representative District 029,6935,3033,4294,167,14429,1380,429,1267,56,3132,17561
State Representative District 030,7980,3378,4469,163,15990,1366,408,1304,65,3143,19133
State Representative District 031,8085,6522,6109,171,20887,957,718,1262,83,3020,23907
State Representative District 032,8594,5882,5206,189,19871,946,611,1145,54,2756,22627
State Representative District 033,7200,2529,4089,186,14004,1714,467,1513,50,3744,17748
