State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,3348,3108,82,2975,21,9534,2495,1212,64,3153,19,6943,16477
State Representative District 002,3680,5662,96,3680,25,13143,1912,1480,57,2923,25,6397,19540
State Representative District 003,2374,11735,93,4639,22,18863,671,1265,39,1608,11,3594,22457
State Representative District 004,1161,15154,33,2732,6,19086,342,1430,17,1040,6,2835,21921
State Representative District 005,2270,11911,103,4050,14,18348,681,1237,25,1791,9,3743,22091
State Representative District 006,3190,7852,106,4485,27,15660,1189,1134,33,2310,17,4683,20343
State Representative District 007,2959,10430,106,5416,20,18931,623,1147,25,2014,15,3824,22755
State Representative District 008,4310,6990,116,4877,22,16315,1356,995,46,2620,22,5039,21354
State Representative District 009,3877,9238,105,6017,16,19253,848,1008,39,2495,5,4395,23648
State Representative District 010,4163,11108,129,6320,22,21742,768,1124,44,1810,10,3756,25498
State Representative District 011,3910,9571,146,6347,27,20001,663,902,36,1849,6,3456,23457
State Representative District 012,3029,9103,83,4640,14,16869,929,1056,39,2140,19,4183,21052
State Representative District 013,3165,11016,107,5226,14,19528,672,1223,30,1780,15,3720,23248
State Representative District 014,3765,7466,111,4387,24,15753,1554,1709,47,2975,19,6304,22057
State Representative District 015,4348,11569,167,5340,28,21452,620,1040,40,1245,10,2955,24407
State Representative District 016,3313,11818,187,4601,33,19952,892,1956,81,2209,11,5149,25101
State Representative District 017,2904,10311,99,4979,15,18308,642,1081,42,1999,8,3772,22080
State Representative District 018,2916,11039,107,4643,24,18729,697,1566,42,2311,16,4632,23361
State Representative District 019,4731,6567,184,4978,57,16517,1481,1407,96,2534,36,5554,22071
State Representative District 020,4318,5234,189,4552,54,14347,1753,1295,117,2856,46,6067,20414
State Representative District 021,5038,8507,147,6384,32,20108,895,904,44,1904,13,3760,23868
State Representative District 022,5888,9452,158,7460,27,22985,764,836,50,1567,10,3227,26212
State Representative District 023,3850,9973,147,6605,18,20593,588,871,36,1877,9,3381,23974
State Representative District 024,3168,9513,117,4759,20,17577,852,1026,33,1821,12,3744,21321
State Representative District 025,4530,5501,90,4641,28,14790,1427,876,33,2150,18,4504,19294
State Representative District 026,3537,9381,101,5012,18,18049,770,984,30,1764,16,3564,21613
State Representative District 027,6984,8487,195,8869,17,24552,780,749,34,1680,6,3249,27801
State Representative District 028,6179,8049,184,7912,33,22357,857,849,46,1793,8,3553,25910
State Representative District 029,5984,3103,118,4275,31,13511,1832,525,54,1777,21,4209,17720
State Representative District 030,6899,3414,117,4654,29,15113,1746,544,58,1829,20,4197,19310
State Representative District 031,7582,6721,155,6375,30,20863,1174,747,51,1564,17,3553,24416
State Representative District 032,7846,5851,158,5471,35,19361,1130,664,37,1419,16,3266,22627
State Representative District 033,6145,2594,132,4223,39,13133,2266,556,48,2086,32,4988,18121
State Representative District 034,7164,1854,122,3743,54,12937,2875,682,59,2153,27,5796,18733
State Representative District 035,9422,3865,178,5345,40,18850,1479,568,39,1380,15,3481,22331
State Representative District 036,10732,3243,152,5141,36,19304,2438,636,56,1849,21,5000,24304
State Representative District 037,3443,11324,103,6236,23,21129,610,1030,33,1630,6,3309,24438
State Representative District 038,5235,7468,121,5855,17,18696,1007,796,30,2165,8,4006,22702
