State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,2786,2638,51,2206,15,7696,3019,1466,75,3663,25,8248,15944
State Representative District 002,3099,5034,70,2914,16,11133,2340,1833,70,3456,28,7727,18860
State Representative District 003,1973,10274,53,3412,12,15724,1095,2373,66,2553,20,6107,21831
State Representative District 004,1036,13435,19,2097,4,16591,521,2643,26,1583,9,4782,21373
State Representative District 005,2000,10368,68,3130,14,15580,1013,2279,41,2647,13,5993,21573
State Representative District 006,2596,6692,69,3355,23,12735,1818,2035,63,3289,20,7225,19960
State Representative District 007,2793,9161,71,4646,15,16686,919,1854,37,2929,19,5758,22444
State Representative District 008,3934,5580,82,3822,13,13431,2040,1678,73,3823,40,7654,21085
State Representative District 009,3526,7892,59,4844,13,16334,1300,1756,62,3740,5,6863,23197
State Representative District 010,3756,9645,72,5088,18,18579,1269,2105,70,3002,16,6462,25041
State Representative District 011,3629,8276,106,5241,18,17270,1110,1700,47,2977,14,5848,23118
State Representative District 012,2597,7624,59,3639,7,13926,1509,1929,48,3233,23,6742,20668
State Representative District 013,2864,9532,68,4281,11,16756,992,2085,47,2638,21,5783,22539
State Representative District 014,3230,6661,68,3540,18,13517,1989,2159,59,3549,24,7780,21297
State Representative District 015,3751,9784,108,3852,20,17515,1167,2267,86,2355,24,5899,23414
State Representative District 016,2979,10280,120,3642,23,17044,1262,2995,109,3089,23,7478,24522
State Representative District 017,2632,8826,56,3962,12,15488,968,1945,60,3072,11,6056,21544
State Representative District 018,2462,9286,65,3344,15,15172,1145,2737,67,3520,23,7492,22664
State Representative District 019,3731,5317,123,3335,43,12549,2344,2272,138,3784,47,8585,21134
State Representative District 020,3331,4000,125,2935,33,10424,2702,2068,172,4153,67,9162,19586
State Representative District 021,4447,7081,107,4692,23,16350,1497,1774,71,3219,22,6583,22933
State Representative District 022,5075,7843,109,5468,13,18508,1465,1770,88,3023,18,6364,24872
State Representative District 023,3446,8516,107,5327,11,17407,1027,1810,62,3119,19,6037,23444
State Representative District 024,2848,7650,66,3720,16,14300,1320,1892,55,2890,19,6176,20476
State Representative District 025,3839,4457,53,3311,15,11675,2270,1535,57,3294,24,7180,18855
State Representative District 026,3311,7608,71,3970,11,14971,1226,1822,49,2950,24,6071,21042
State Representative District 027,5673,7024,109,6572,8,19386,1505,1506,68,3143,12,6234,25620
State Representative District 028,5029,6668,110,5883,23,17713,1530,1619,73,3125,13,6360,24073
State Representative District 029,4648,2425,69,2825,18,9985,3141,996,88,2869,30,7124,17109
State Representative District 030,5640,2761,75,3130,26,11632,3026,976,90,2991,31,7114,18746
State Representative District 031,6539,5991,112,4833,28,17503,2045,1356,88,2789,27,6305,23808
State Representative District 032,6875,5223,121,4016,23,16258,2030,1213,63,2471,25,5802,22060
State Representative District 033,4682,1966,78,2612,26,9364,3683,969,85,3173,40,7950,17314
State Representative District 034,5665,1405,78,2412,23,9583,4157,1017,101,3030,45,8350,17933
State Representative District 035,8427,3290,126,3861,32,15736,2477,1023,75,2409,19,6003,21739
State Representative District 036,9300,2813,107,3529,25,15774,3588,1000,98,2687,36,7409,23183
State Representative District 037,3105,9948,73,4866,12,18004,1026,1977,53,2780,12,5848,23852
State Representative District 038,4720,6227,75,4551,13,15586,1711,1460,48,3466,16,6701,22287
State Representative District 039,5230,4359,115,3616,19,13339,2419,1218,66,2944,24,6671,20010
State Representative District 040,5350,5651,120,5004,17,16142,1765,1430,75,2787,23,6080,22222
State Representative District 041,5804,7355,135,6339,26,19659,1500,1626,83,2790,18,6017,25676
State Representative District 042,5395,6368,109,5279,15,17166,1491,1596,80,2504,20,5691,22857
State Representative District 043,5989,6837,112,5037,14,17989,1631,1290,62,2253,16,5252,23241
State Representative District 044,6393,5895,97,4517,29,16931,1839,1279,79,2349,18,5564,22495
State Representative District 045,4698,8316,129,5935,18,19096,1139,1381,79,2386,15,5000,24096
State Representative District 046,4943,7208,101,6314,21,18587,1385,1497,73,2895,10,5860,24447
State Representative District 047,3762,7111,105,4822,23,15823,1396,1591,64,3393,13,6457,22280
State Representative District 048,4888,6693,113,5720,23,17437,1412,1615,81,3610,16,6734,24171
State Representative District 049,4189,2176,78,3193,25,9661,3604,2318,155,4966,50,11093,20754
State Representative District 050,6166,3928,96,4664,28,14882,2838,1289,133,3364,31,7655,22537
State Representative District 051,4372,7591,141,5784,21,17909,1201,1569,81,3104,28,5983,23892
State Representative District 052,3667,4500,64,3415,15,11661,2330,1177,53,3245,22,6827,18488
State Representative District 053,4356,5836,58,5059,22,15331,2470,1269,52,3630,10,7431,22762
State Representative District 054,3258,8890,73,4330,10,16561,1141,1956,47,2835,14,5993,22554
State Representative District 055,3395,7957,70,4465,9,15896,1188,1675,60,2931,19,5873,21769
State Representative District 056,2769,8354,60,4280,8,15471,1069,1852,38,3025,22,6006,21477
State Representative District 057,3856,7626,72,5489,16,17059,1102,1488,43,3033,9,5675,22734
State Representative District 058,3967,6380,50,5717,10,16124,1274,1322,51,3473,19,6139,22263
State Representative District 059,4965,5034,71,5215,17,15302,1893,1235,54,4069,27,7278,22580
State Representative District 060,3849,7632,69,5387,8,16945,1194,1653,59,3377,28,6311,23256
State Representative District 061,5126,4022,79,3726,18,12971,2918,1147,61,3010,22,7158,20129
State Representative District 062,4810,2299,69,2910,17,10105,3752,875,66,3549,44,8286,18391
State Representative District 063,4961,6531,58,5833,14,17397,1392,1072,39,2805,20,5328,22725
State Representative District 064,3919,7931,72,4866,15,16803,1158,1766,47,2928,15,5914,22717
State Representative District 065,5670,7171,73,5229,12,18155,1418,1515,45,2629,14,5621,23776
State Representative District 066,4352,7007,58,5446,10,16873,1107,1335,34,3523,9,6008,22881
State Representative District 067,4038,7085,67,5931,13,17134,982,1220,32,3132,11,5377,22511
State Representative District 068,3895,6000,57,5085,14,15051,1190,1194,46,3111,13,5554,20605
State Representative District 069,4514,4957,71,5057,24,14623,2287,1429,68,4560,28,8372,22995
State Representative District 070,4340,7022,72,5638,19,17091,1392,1430,47,3651,30,6550,23641
State Representative District 071,5913,3887,115,3712,18,13645,2881,1466,106,3686,33,8172,21817
State Representative District 072,6349,5097,76,4260,24,15806,2178,1321,100,2951,27,6577,22383
State Representative District 073,5768,6015,109,5929,19,17840,1562,1369,61,2656,14,5662,23502
State Representative District 074,5944,4443,99,4989,20,15495,2107,1233,101,3007,25,6473,21968
State Representative District 075,5534,4851,94,4604,25,15108,2058,1326,75,3094,19,6572,21680
State Representative District 076,4627,6614,93,5417,17,16768,1623,1426,53,3068,29,6199,22967
State Representative District 077,4950,3238,94,4378,33,12693,2505,1090,87,3274,40,6996,19689
State Representative District 078,6503,2974,120,3878,38,13513,3175,1194,97,3211,47,7724,21237
State Representative District 079,6084,3806,84,4681,26,14681,2296,1063,99,3159,31,6648,21329
State Representative District 080,5868,5712,102,5308,35,17025,1904,1262,89,2914,30,6199,23224
State Representative District 081,4775,4402,87,4871,20,14155,2837,1362,81,4505,27,8812,22967
State Representative District 082,4050,6566,89,5221,15,15941,1447,1366,50,3246,22,6131,22072
State Representative District 083,5660,6972,107,6154,12,18905,1530,1223,68,2865,12,5698,24603
