State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 001,"3,104","12,017","5,987",23,"21,131",222,434,467,2,"1,125","22,256"
State Representative District 002,"5,151","6,990","7,619",32,"19,792",374,369,744,1,"1,488","21,280"
State Representative District 003,"3,358","9,969","6,381",36,"19,744",235,426,648,3,"1,312","21,056"
State Representative District 004,"1,468","13,117","3,464",22,"18,071",87,401,304,2,794,"18,865"
State Representative District 005,"3,851","9,017","6,665",34,"19,567",323,500,688,4,"1,515","21,082"
State Representative District 006,"5,245","7,236","6,321",46,"18,848",411,393,596,3,"1,403","20,251"
State Representative District 007,"5,424","6,405","8,226",21,"20,076",393,331,893,2,"1,619","21,695"
State Representative District 008,"4,533","8,094","7,135",22,"19,784",297,348,611,1,"1,257","21,041"
State Representative District 009,"6,811","4,797","6,526",44,"18,178",596,360,874,3,"1,833","20,011"
State Representative District 010,"4,199","7,455","8,057",41,"19,752",237,272,610,4,"1,123","20,875"
State Representative District 011,"4,166","7,072","7,254",24,"18,516",190,248,362,1,801,"19,317"
State Representative District 012,"5,712","6,165","8,546",59,"20,482",258,256,721,3,"1,238","21,720"
State Representative District 013,"5,325","4,803","5,205",48,"15,381",570,400,689,11,"1,670","17,051"
State Representative District 014,"5,955","4,050","4,905",45,"14,955",521,309,552,4,"1,386","16,341"
State Representative District 015,"5,528","4,246","5,992",79,"15,845",563,315,648,8,"1,534","17,379"
State Representative District 016,"5,144","5,685","6,393",85,"17,307",431,327,559,5,"1,322","18,629"
State Representative District 017,"4,727","7,425","6,635",36,"18,823",226,283,504,1,"1,014","19,837"
State Representative District 018,"4,448","7,096","5,882",29,"17,455",177,161,294,1,633,"18,088"
State Representative District 019,"4,761","8,651","8,973",72,"22,457",255,459,711,7,"1,432","23,889"
State Representative District 020,"4,623","6,466","7,517",48,"18,654",285,275,661,1,"1,222","19,876"
State Representative District 021,"3,791","8,372","7,298",26,"19,487",225,356,600,0,"1,181","20,668"
State Representative District 022,"4,622","10,288","6,778",50,"21,738",225,324,389,4,942,"22,680"
State Representative District 023,"3,756","9,434","6,216",34,"19,440",369,643,852,5,"1,869","21,309"
State Representative District 024,"3,297","8,491","5,895",21,"17,704",312,448,856,5,"1,621","19,325"
State Representative District 025,"5,587","7,787","7,551",44,"20,969",365,410,677,4,"1,456","22,425"
State Representative District 026,"6,351","6,755","7,090",40,"20,236",374,364,608,2,"1,348","21,584"
State Representative District 027,"4,725","6,093","6,175",27,"17,020",275,307,528,1,"1,111","18,131"
State Representative District 028,"5,240","6,869","7,136",32,"19,277",268,307,496,3,"1,074","20,351"
State Representative District 029,"7,215","5,501","7,011",33,"19,760",443,331,784,3,"1,561","21,321"
State Representative District 030,"6,574","7,197","7,061",90,"20,922",212,245,295,1,753,"21,675"
State Representative District 031,"7,379","4,468","5,565",75,"17,487",284,174,309,2,769,"18,256"
State Representative District 032,"7,469","2,567","4,483",82,"14,601",418,134,321,5,878,"15,479"
State Representative District 033,"7,987","3,068","4,870",82,"16,007",405,194,413,5,"1,017","17,024"
State Representative District 034,"8,436","3,459","5,420",95,"17,410",576,226,475,6,"1,283","18,693"
State Representative District 035,"7,271","2,164","4,203",77,"13,715",406,114,332,6,858,"14,573"
State Representative District 036,"9,025","5,000","5,941",116,"20,082",365,221,357,3,946,"21,028"
State Representative District 037,"5,802","9,341","7,663",113,"22,919",271,398,441,12,"1,122","24,041"
State Representative District 038,"6,324","6,776","6,562",86,"19,748",269,301,376,3,949,"20,697"
State Representative District 039,"5,776","9,094","7,689",99,"22,658",279,392,433,4,"1,108","23,766"
State Representative District 040,"6,389","7,524","6,141",82,"20,136",286,327,336,4,953,"21,089"
State Representative District 041,"9,716","4,867","5,419",132,"20,134",602,293,564,13,"1,472","21,606"
State Representative District 042,"6,246","7,154","6,391",103,"19,894",497,498,666,12,"1,673","21,567"
State Representative District 043,"6,736","7,610","5,813",76,"20,235",417,395,481,4,"1,297","21,532"
State Representative District 044,"4,640","8,178","9,238",73,"22,129",619,959,"1,394",5,"2,977","25,106"
State Representative District 045,"5,602","4,465","7,029",138,"17,234","1,240",749,"1,750",27,"3,766","21,000"
State Representative District 046,"5,436","4,722","7,213",143,"17,514",675,563,"1,097",20,"2,355","19,869"
State Representative District 047,"5,867","6,338","7,863",44,"20,112",275,319,622,3,"1,219","21,331"
State Representative District 048,"5,449","6,905","7,788",54,"20,196",250,317,528,2,"1,097","21,293"
State Representative District 049,"4,514","7,189","7,861",72,"19,636",216,262,448,5,931,"20,567"
State Representative District 050,"3,815","8,847","7,090",35,"19,787",285,322,581,4,"1,192","20,979"
State Representative District 051,"5,242","6,100","8,022",18,"19,382",335,260,702,3,"1,300","20,682"
State Representative District 052,"6,126","5,107","8,837",24,"20,094",294,214,578,4,"1,090","21,184"
State Representative District 053,"6,708","4,423","8,446",36,"19,613",424,239,766,2,"1,431","21,044"
State Representative District 054,"4,017","8,385","7,530",24,"19,956",211,230,494,1,936,"20,892"
State Representative District 055,"5,134","6,432","7,072",46,"18,684",284,177,396,1,858,"19,542"
State Representative District 056,"4,924","7,009","7,395",31,"19,359",211,221,388,2,822,"20,181"
State Representative District 057,"7,449","6,044","8,368",38,"21,899",194,189,335,3,721,"22,620"
State Representative District 058,"7,170","4,754","8,857",27,"20,808",338,196,611,5,"1,150","21,958"
State Representative District 059,"5,399","5,115","7,963",124,"18,601",468,315,669,15,"1,467","20,068"
State Representative District 060,"5,871","6,891","7,809",73,"20,644",386,312,553,10,"1,261","21,905"
State Representative District 061,"7,098","3,882","6,776",60,"17,816",356,186,440,2,984,"18,800"
State Representative District 062,"8,516","2,380","6,278",64,"17,238",522,110,443,3,"1,078","18,316"
State Representative District 063,"4,711","6,348","9,231",45,"20,335",240,231,555,5,"1,031","21,366"
State Representative District 064,"5,441","4,443","8,309",29,"18,222",255,166,555,2,978,"19,200"
State Representative District 065,"7,806","4,052","5,861",99,"17,818","1,070",367,989,13,"2,439","20,257"
State Representative District 066,"6,523","5,739","6,849",89,"19,200",745,399,890,13,"2,047","21,247"
State Representative District 067,"5,489","6,791","7,768",88,"20,136",540,507,852,7,"1,906","22,042"
State Representative District 068,"6,268","5,965","7,779",104,"20,116",566,482,846,17,"1,911","22,027"
State Representative District 069,"6,834","3,587","6,935",98,"17,454",953,386,"1,100",13,"2,452","19,906"
State Representative District 070,"7,658","4,599","7,116",72,"19,445",767,357,806,3,"1,933","21,378"
State Representative District 071,"5,351","5,019","6,421",22,"16,813",455,375,735,2,"1,567","18,380"
State Representative District 072,"5,291","6,219","8,129",32,"19,671",288,254,585,1,"1,128","20,799"
State Representative District 073,"6,204","5,825","7,629",56,"19,714",281,235,488,5,"1,009","20,723"
State Representative District 074,"8,246","3,986","5,927",100,"18,259","1,120",486,"1,110",14,"2,730","20,989"
State Representative District 075,"5,004","5,908","8,866",37,"19,815",304,224,660,3,"1,191","21,006"
State Representative District 076,"5,577","6,533","8,782",66,"20,958",518,262,613,4,"1,397","22,355"
State Representative District 077,"7,480","5,342","7,946",82,"20,850",607,434,786,3,"1,830","22,680"
State Representative District 078,"4,713","7,223","7,030",49,"19,015",275,253,579,4,"1,111","20,126"
State Representative District 079,"3,597","9,148","6,479",55,"19,279",391,460,639,5,"1,495","20,774"
State Representative District 080,"5,804","6,439","6,752",33,"19,028",367,317,628,2,"1,314","20,342"
State Representative District 081,"7,554","4,118","5,787",30,"17,489",555,280,635,3,"1,473","18,962"
State Representative District 082,"5,934","6,447","5,993",92,"18,466",398,326,681,8,"1,413","19,879"
State Representative District 083,"8,270","3,188","6,608",43,"18,109",617,258,824,2,"1,701","19,810"
State Representative District 084,"4,311","7,075","7,165",32,"18,583",433,385,819,3,"1,640","20,223"
State Representative District 085,"10,596","3,893","8,775",228,"23,492","1,668",697,"1,733",30,"4,128","27,620"
State Representative District 086,"9,095","3,081","7,170",151,"19,497","1,353",597,"1,551",34,"3,535","23,032"
State Representative District 087,"8,501","3,905","6,357",43,"18,806",631,299,736,4,"1,670","20,476"
State Representative District 088,"5,650","5,955","6,980",36,"18,621",342,320,633,2,"1,297","19,918"
State Representative District 089,"7,009","4,443","8,418",67,"19,937",568,294,780,2,"1,644","21,581"
State Representative District 090,"7,602","2,748","7,295",99,"17,744",718,246,835,7,"1,806","19,550"
State Representative District 091,"5,503","5,834","7,479",33,"18,849",466,473,837,1,"1,777","20,626"
State Representative District 092,"5,708","5,688","8,617",68,"20,081",524,360,852,4,"1,740","21,821"
State Representative District 093,"6,687","6,137","8,055",90,"20,969",615,480,924,5,"2,024","22,993"
State Representative District 094,"5,513","8,381","9,376",104,"23,374",499,591,926,4,"2,020","25,394"
State Representative District 095,"5,969","6,107","8,045",85,"20,206",521,301,749,10,"1,581","21,787"
State Representative District 096,"4,459","5,835","8,359",15,"18,668",165,171,392,0,728,"19,396"
State Representative District 097,"5,649","6,279","9,083",55,"21,066",368,306,736,4,"1,414","22,480"
State Representative District 098,"6,483","3,880","7,887",30,"18,280",936,353,"1,238",5,"2,532","20,812"
State Representative District 099,"8,764","4,959","7,195",80,"20,998",558,362,679,7,"1,606","22,604"
State Representative District 100,"8,006","3,681","6,385",71,"18,143",619,273,641,8,"1,541","19,684"
Totals,"593,484","614,601","710,327","6,193","1,924,605","44,673","33,976","67,137",550,"146,336","2,070,941"
