State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,"3,216","12,482",38,"6,225",15,"21,976",180,402,3,397,2,984,"22,960"
State Representative District 002,"4,527","8,676",63,"7,166",10,"20,442",174,212,1,374,1,762,"21,204"
State Representative District 003,"3,016","11,118",51,"5,898",17,"20,100",121,221,2,288,1,633,"20,733"
State Representative District 004,"1,560","14,156",44,"3,521",17,"19,298",98,422,2,252,0,774,"20,072"
State Representative District 005,"3,812","10,014",58,"6,658",27,"20,569",119,235,2,237,1,594,"21,163"
State Representative District 006,"5,171","7,883",69,"6,544",29,"19,696",280,297,3,397,1,978,"20,674"
State Representative District 007,"5,212","6,739",50,"8,484",14,"20,499",278,259,1,619,0,"1,157","21,656"
State Representative District 008,"4,461","8,272",43,"7,184",18,"19,978",161,193,3,365,1,723,"20,701"
State Representative District 009,"6,629","5,240",67,"6,928",35,"18,899",214,149,4,304,1,672,"19,571"
State Representative District 010,"3,976","8,251",51,"7,867",10,"20,155",192,214,5,459,2,872,"21,027"
State Representative District 011,"4,290","7,334",44,"7,127",22,"18,817",179,205,1,353,2,740,"19,557"
State Representative District 012,"5,239","7,100",62,"8,384",22,"20,807",140,153,7,276,0,576,"21,383"
State Representative District 013,"5,536","5,263",65,"5,460",30,"16,354",352,284,10,448,1,"1,095","17,449"
State Representative District 014,"6,060","4,436",57,"5,005",23,"15,581",330,212,4,374,2,922,"16,503"
State Representative District 015,"5,452","4,435",123,"6,258",46,"16,314",737,477,15,938,2,"2,169","18,483"
State Representative District 016,"5,188","5,839",135,"6,283",41,"17,486",738,609,8,"1,171",9,"2,535","20,021"
State Representative District 017,"4,505","8,095",59,"6,756",24,"19,439",78,139,2,193,1,413,"19,852"
State Representative District 018,"4,422","7,453",49,"6,283",11,"18,218",166,215,2,279,1,663,"18,881"
State Representative District 019,"5,440","9,976",117,"9,395",17,"24,945",161,323,3,441,1,929,"25,874"
State Representative District 020,"4,657","6,733",74,"7,632",15,"19,111",243,270,2,577,0,"1,092","20,203"
State Representative District 021,"3,812","8,569",51,"7,467",14,"19,913",170,262,2,528,1,963,"20,876"
State Representative District 022,"4,737","10,474",93,"6,995",26,"22,325",324,516,2,568,2,"1,412","23,737"
State Representative District 023,"3,826","10,016",74,"6,231",29,"20,176",255,399,5,568,1,"1,228","21,404"
State Representative District 024,"3,256","9,659",52,"5,527",13,"18,507",162,285,5,370,0,822,"19,329"
State Representative District 025,"5,814","8,653",89,"7,913",17,"22,486",198,270,4,373,1,846,"23,332"
State Representative District 026,"6,533","7,382",88,"7,481",16,"21,500",204,230,3,369,1,807,"22,307"
State Representative District 027,"4,805","6,704",59,"6,371",13,"17,952",185,236,2,383,0,806,"18,758"
State Representative District 028,"5,179","7,264",50,"7,286",17,"19,796",150,155,4,305,1,615,"20,411"
State Representative District 029,"7,531","5,710",55,"7,234",16,"20,546",224,168,3,368,1,764,"21,310"
State Representative District 030,"7,051","8,199",158,"7,592",34,"23,034",182,174,3,251,0,610,"23,644"
State Representative District 031,"7,744","4,790",122,"5,633",35,"18,324",204,137,3,245,1,590,"18,914"
State Representative District 032,"8,196","2,684",99,"4,685",39,"15,703",301,80,10,218,3,612,"16,315"
State Representative District 033,"8,367","3,270",98,"5,157",39,"16,931",370,152,6,302,1,831,"17,762"
State Representative District 034,"8,998","3,747",127,"5,444",48,"18,364",584,194,10,452,1,"1,241","19,605"
State Representative District 035,"7,883","2,265",97,"4,209",50,"14,504",381,101,3,262,3,750,"15,254"
State Representative District 036,"9,783","4,953",151,"5,938",52,"20,877",330,151,5,248,1,735,"21,612"
State Representative District 037,"6,980","10,769",218,"8,584",37,"26,588",197,351,14,327,2,891,"27,479"
