State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,4797,3464,96,3853,30,12240,1325,601,26,1779,9,3740,15980
State Representative District 002,4609,6058,91,4490,31,15279,1058,785,34,1606,12,3495,18774
State Representative District 003,2708,11615,99,4590,24,19036,465,899,22,1085,7,2478,21514
State Representative District 004,1384,14929,28,2745,12,19098,225,953,12,670,4,1864,20962
State Representative District 005,2642,11666,74,4223,19,18624,487,951,23,1359,6,2826,21450
State Representative District 006,3727,7774,103,4888,31,16523,821,799,27,1632,10,3289,19812
State Representative District 007,3515,10079,99,6039,23,19755,449,716,17,1434,10,2626,22381
State Representative District 008,5314,6225,108,5531,26,17204,1006,707,35,1951,21,3720,20924
State Representative District 009,4572,8763,101,6646,15,20097,600,626,22,1707,4,2959,23056
State Representative District 010,4715,10552,119,6385,24,21795,539,774,24,1373,9,2719,24514
State Representative District 011,4495,8999,109,6649,21,20273,502,674,20,1408,8,2612,22885
State Representative District 012,3739,8601,74,5451,19,17884,638,719,21,1396,12,2786,20670
State Representative District 013,3712,10722,89,5766,24,20313,347,653,19,1019,4,2042,22355
State Representative District 014,4596,7885,107,5188,37,17813,833,941,25,1535,11,3345,21158
State Representative District 015,4664,11102,145,5227,31,21169,408,710,31,867,10,2026,23195
State Representative District 016,3780,11786,168,5118,40,20892,579,1151,43,1453,11,3237,24129
State Representative District 017,3352,9964,89,5172,20,18597,457,769,28,1521,4,2779,21376
State Representative District 018,3217,10903,99,5113,26,19358,534,1112,31,1658,11,3346,22704
State Representative District 019,5117,6364,166,5066,51,16764,1062,1018,60,1831,31,4002,20766
State Representative District 020,4714,4880,202,4672,59,14527,1387,965,82,2209,34,4677,19204
State Representative District 021,5521,7865,135,6158,35,19714,657,675,32,1367,9,2740,22454
State Representative District 022,6134,8475,156,6968,22,21755,589,663,40,1175,7,2474,24229
State Representative District 023,4291,9329,128,6674,22,20444,449,662,25,1384,10,2530,22974
