State Representative District,Dem_Active,Rep_Active,NoParty_Active,Other_Active,Total_Active,Dem_Inactive,Rep_Inactive,NoParty_Inactive,Other_Inactive,Total_Inactive,GrandTotal_All
State Representative District 001,"3,212","11,816","6,012",15,"21,055",301,566,750,1,"1,618","22,673"
State Representative District 002,"5,298","6,804","7,740",25,"19,867",469,447,920,1,"1,837","21,704"
State Representative District 003,"3,482","9,753","6,585",23,"19,843",311,508,904,2,"1,725","21,568"
State Representative District 004,"1,460","13,067","3,417",17,"17,961",132,499,372,2,"1,005","18,966"
State Representative District 005,"3,909","8,869","6,781",24,"19,583",362,555,770,3,"1,690","21,273"
State Representative District 006,"5,242","6,981","6,423",38,"18,684",490,467,707,2,"1,666","20,350"
State Representative District 007,"5,535","6,421","8,138",17,"20,111",511,425,"1,253",2,"2,191","22,302"
State Representative District 008,"4,714","8,003","7,181",11,"19,909",334,396,737,1,"1,468","21,377"
State Representative District 009,"6,714","4,775","6,623",16,"18,128",706,466,"1,042",4,"2,218","20,346"
State Representative District 010,"4,385","7,232","8,374",35,"20,026",375,421,"1,070",3,"1,869","21,895"
State Representative District 011,"4,242","6,853","7,296",13,"18,404",376,378,770,2,"1,526","19,930"
State Representative District 012,"5,749","6,111","8,517",41,"20,418",383,353,926,1,"1,663","22,081"
State Representative District 013,"5,359","4,700","5,192",42,"15,293",761,469,865,4,"2,099","17,392"
State Representative District 014,"6,004","3,982","4,853",30,"14,869",677,377,768,6,"1,828","16,697"
State Representative District 015,"5,537","4,093","5,804",50,"15,484",957,485,"1,119",7,"2,568","18,052"
State Representative District 016,"5,119","5,587","6,149",60,"16,915",747,545,"1,008",6,"2,306","19,221"
State Representative District 017,"4,901","7,069","6,727",20,"18,717",284,336,545,1,"1,166","19,883"
State Representative District 018,"4,668","6,872","5,854",26,"17,420",472,410,967,1,"1,850","19,270"
State Representative District 019,"4,812","8,226","8,618",42,"21,698",499,683,"1,262",6,"2,450","24,148"
State Representative District 020,"4,823","6,309","7,456",30,"18,618",489,460,"1,198",2,"2,149","20,767"
State Representative District 021,"3,939","8,269","7,386",20,"19,614",323,500,930,1,"1,754","21,368"
State Representative District 022,"4,670","10,150","6,555",24,"21,399",375,526,675,4,"1,580","22,979"
State Representative District 023,"3,817","9,228","6,186",29,"19,260",533,870,"1,240",1,"2,644","21,904"
State Representative District 024,"3,406","8,338","5,830",14,"17,588",412,622,"1,203",5,"2,242","19,830"
State Representative District 025,"5,726","7,442","7,475",29,"20,672",444,519,881,3,"1,847","22,519"
State Representative District 026,"6,458","6,594","7,025",29,"20,106",476,425,738,3,"1,642","21,748"
State Representative District 027,"4,991","5,892","6,214",21,"17,118",685,609,"1,327",5,"2,626","19,744"
State Representative District 028,"5,414","6,823","7,054",21,"19,312",585,527,"1,005",1,"2,118","21,430"
State Representative District 029,"7,586","5,394","6,879",25,"19,884",735,508,"1,134",4,"2,381","22,265"
State Representative District 030,"6,586","6,989","6,807",52,"20,434",214,224,316,1,755,"21,189"
State Representative District 031,"7,447","4,347","5,441",40,"17,275",305,193,330,3,831,"18,106"
State Representative District 032,"7,611","2,541","4,448",55,"14,655",509,170,462,3,"1,144","15,799"
State Representative District 033,"7,893","3,029","4,867",53,"15,842",463,214,435,5,"1,117","16,959"
State Representative District 034,"8,222","3,433","5,303",72,"17,030",710,257,610,8,"1,585","18,615"
State Representative District 035,"7,165","2,088","4,031",45,"13,329",605,151,504,5,"1,265","14,594"
State Representative District 036,"9,087","4,949","5,825",84,"19,945",400,246,416,2,"1,064","21,009"
State Representative District 037,"5,714","8,853","7,275",65,"21,907",277,388,430,7,"1,102","23,009"
State Representative District 038,"6,285","6,600","6,298",51,"19,234",254,270,375,2,901,"20,135"
State Representative District 039,"5,707","8,715","7,382",59,"21,863",270,334,403,4,"1,011","22,874"
State Representative District 040,"6,405","7,385","6,060",46,"19,896",294,310,323,2,929,"20,825"
State Representative District 041,"9,579","4,781","5,176",76,"19,612",690,302,602,13,"1,607","21,219"
