State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,"3,026","12,277",50,"6,076",10,"21,439",260,525,4,596,5,"1,390","22,829"
State Representative District 002,"4,278","8,312",70,"7,257",13,"19,930",281,367,4,676,1,"1,329","21,259"
State Representative District 003,"2,853","10,888",52,"5,899",16,"19,708",190,351,6,508,1,"1,056","20,764"
State Representative District 004,"1,504","13,960",38,"3,610",14,"19,126",125,455,8,304,3,895,"20,021"
State Representative District 005,"3,652","9,822",67,"6,544",27,"20,112",188,403,5,436,2,"1,034","21,146"
State Representative District 006,"4,936","7,637",78,"6,631",26,"19,308",419,434,8,635,2,"1,498","20,806"
State Representative District 007,"4,884","6,505",49,"8,367",14,"19,819",368,372,2,891,1,"1,634","21,453"
State Representative District 008,"4,221","8,051",44,"7,104",21,"19,441",251,299,6,594,1,"1,151","20,592"
State Representative District 009,"6,230","5,207",85,"7,373",44,"18,939",454,253,3,713,2,"1,425","20,364"
State Representative District 010,"3,754","7,979",58,"7,771",13,"19,575",230,287,7,587,2,"1,113","20,688"
State Representative District 011,"4,039","7,137",58,"6,788",28,"18,050",401,352,3,734,0,"1,490","19,540"
State Representative District 012,"4,998","6,939",67,"8,197",21,"20,222",204,231,9,467,0,911,"21,133"
State Representative District 013,"5,178","4,913",67,"5,336",24,"15,518",579,460,12,807,5,"1,863","17,381"
State Representative District 014,"5,621","4,184",57,"4,969",18,"14,849",609,327,9,635,3,"1,583","16,432"
State Representative District 015,"5,151","4,329",143,"6,210",54,"15,887",955,608,24,"1,240",4,"2,831","18,718"
State Representative District 016,"4,808","5,600",155,"6,112",41,"16,716","1,021",833,26,"1,639",14,"3,533","20,249"
State Representative District 017,"4,237","7,805",62,"6,635",23,"18,762",166,240,3,394,3,806,"19,568"
State Representative District 018,"4,225","7,219",47,"6,273",12,"17,776",227,277,5,442,0,951,"18,727"
State Representative District 019,"5,351","9,826",134,"9,968",19,"25,298",263,514,12,745,2,"1,536","26,834"
State Representative District 020,"4,388","6,491",82,"7,803",20,"18,784",269,280,5,633,0,"1,187","19,971"
State Representative District 021,"3,542","8,155",58,"7,401",14,"19,170",278,460,4,872,1,"1,615","20,785"
State Representative District 022,"4,583","10,169",109,"6,979",25,"21,865",458,702,13,812,3,"1,988","23,853"
State Representative District 023,"3,575","9,646",91,"6,087",29,"19,428",245,380,7,502,3,"1,137","20,565"
State Representative District 024,"3,095","9,257",52,"5,449",12,"17,865",226,429,10,587,0,"1,252","19,117"
State Representative District 025,"5,485","8,378",91,"8,034",20,"22,008",349,506,10,721,1,"1,587","23,595"
State Representative District 026,"6,147","7,023",98,"7,474",14,"20,756",384,410,10,695,2,"1,501","22,257"
State Representative District 027,"4,403","6,425",60,"6,162",13,"17,063",328,348,9,641,2,"1,328","18,391"
State Representative District 028,"4,943","7,054",53,"7,361",18,"19,429",230,293,6,551,1,"1,081","20,510"
State Representative District 029,"7,073","5,623",57,"7,470",20,"20,243",371,268,2,582,1,"1,224","21,467"
State Representative District 030,"6,770","7,996",173,"7,935",35,"22,909",280,321,13,476,0,"1,090","23,999"
State Representative District 031,"7,397","4,631",122,"5,718",30,"17,898",367,227,8,393,3,998,"18,896"
State Representative District 032,"7,587","2,531",109,"4,645",40,"14,912",563,144,14,429,4,"1,154","16,066"
State Representative District 033,"7,968","3,118",101,"5,193",43,"16,423",625,229,11,506,2,"1,373","17,796"
State Representative District 034,"8,591","3,396",126,"5,346",40,"17,499",978,342,21,777,6,"2,124","19,623"
State Representative District 035,"7,269","2,056",97,"3,939",45,"13,406",715,176,11,555,6,"1,463","14,869"
State Representative District 036,"9,166","4,478",160,"6,005",53,"19,862",615,302,10,472,4,"1,403","21,265"
State Representative District 037,"6,833","10,378",223,"9,138",30,"26,602",364,578,23,590,4,"1,559","28,161"
State Representative District 038,"6,548","7,305",167,"7,315",24,"21,359",390,409,24,495,7,"1,325","22,684"
State Representative District 039,"6,614","9,662",180,"8,698",30,"25,184",453,619,20,682,5,"1,779","26,963"
State Representative District 040,"6,696","7,231",159,"6,168",24,"20,278",424,362,15,462,2,"1,265","21,543"
State Representative District 041,"10,816","4,283",141,"4,888",44,"20,172",993,393,26,795,13,"2,220","22,392"
State Representative District 042,"6,838","6,945",179,"6,378",45,"20,385",554,504,14,660,0,"1,732","22,117"
State Representative District 043,"7,130","6,988",116,"5,868",32,"20,134",567,447,9,618,4,"1,645","21,779"
State Representative District 044,"6,166","9,582",170,"11,001",26,"26,945",669,"1,024",22,"1,378",4,"3,097","30,042"
State Representative District 045,"6,823","4,817",200,"7,336",63,"19,239","1,103",682,41,"1,460",12,"3,298","22,537"
State Representative District 046,"6,576","5,327",189,"7,532",57,"19,681","1,203",821,53,"1,732",17,"3,826","23,507"
State Representative District 047,"5,520","6,805",80,"7,886",18,"20,309",307,381,14,758,1,"1,461","21,770"
State Representative District 048,"5,115","7,515",80,"7,694",29,"20,433",253,289,8,563,1,"1,114","21,547"
State Representative District 049,"4,564","7,503",149,"8,010",38,"20,264",301,348,13,540,0,"1,202","21,466"
State Representative District 050,"3,713","8,798",58,"7,176",14,"19,759",181,349,6,531,3,"1,070","20,829"
State Representative District 051,"4,828","6,417",31,"8,117",8,"19,401",309,261,3,697,0,"1,270","20,671"
State Representative District 052,"5,552","5,369",44,"8,658",20,"19,643",356,264,9,742,1,"1,372","21,015"
State Representative District 053,"6,241","4,499",43,"8,577",14,"19,374",395,261,4,766,4,"1,430","20,804"
State Representative District 054,"3,807","8,370",47,"7,356",9,"19,589",219,312,0,513,1,"1,045","20,634"
State Representative District 055,"5,475","6,475",53,"6,995",27,"19,025",419,234,6,651,5,"1,315","20,340"
State Representative District 056,"4,656","7,139",55,"7,160",11,"19,021",327,297,4,636,2,"1,266","20,287"
State Representative District 057,"7,637","6,593",78,"8,419",15,"22,742",206,223,2,394,1,826,"23,568"
State Representative District 058,"6,515","5,178",34,"9,165",13,"20,905",292,221,5,637,1,"1,156","22,061"
State Representative District 059,"5,833","5,245",119,"7,504",36,"18,737",683,484,22,"1,174",7,"2,370","21,107"
State Representative District 060,"6,215","7,069",91,"7,756",35,"21,166",525,514,10,765,5,"1,819","22,985"
State Representative District 061,"6,760","3,871",88,"6,425",42,"17,186",598,249,10,593,6,"1,456","18,642"
